ativo,target,total_linhas,acertos_esmble_jan_tot,acc_esmble_jan_tot (%),precision_esmble_jan_tot,acertos_esmble_jan_par,acc_esmble_jan_par (%),precision_esmble_jan_par
PETR4,GERAL,435,259,59.54,75.49,324,74.48,76.25
PETR4,1.01,145,108,74.48,82.17,120,82.76,82.76
PETR4,1.015,145,88,60.69,76.19,110,75.86,77.3
PETR4,1.02,145,63,43.45,62.5,94,64.83,68.15
ITUB4,GERAL,435,214,49.2,63.96,245,56.32,60.69
ITUB4,1.01,145,84,57.93,76.12,98,67.59,70.59
ITUB4,1.015,145,62,42.76,50.0,83,57.24,60.82
ITUB4,1.02,145,68,46.9,30.0,64,44.14,44.59
VALE3,GERAL,435,231,53.1,75.91,312,71.72,75.32
VALE3,1.01,145,103,71.03,82.76,117,80.69,81.69
VALE3,1.015,145,59,40.69,64.52,98,67.59,72.09
VALE3,1.02,145,69,47.59,73.81,97,66.9,71.05
