ativo|target|total_linhas|acertos_in_precision|acc_in_precision (%)|precision_in_precision|acertos_esmble_jan_tot|acc_esmble_jan_tot (%)|precision_esmble_jan_tot|acertos_esmble_jan_par|acc_esmble_jan_par (%)|precision_esmble_jan_par
PETR4|GERAL|1740|1208|69.43|76.14|1015|58.33|77.11|1251|71.9|75.63
PETR4|1.01|580|459|79.14|83.06|400|68.97|82.47|476|82.07|83.33
PETR4|1.015|580|405|69.83|75.99|339|58.45|76.06|419|72.24|75.46
PETR4|1.02|580|344|59.31|67.52|276|47.59|67.98|356|61.38|66.8
ITUB4|GERAL|1740|1153|66.26|73.67|947|54.43|74.3|1180|67.82|72.33
ITUB4|1.01|580|428|73.79|79.8|364|62.76|78.96|440|75.86|79.03
ITUB4|1.015|580|382|65.86|72.82|313|53.97|74.09|392|67.59|71.34
ITUB4|1.02|580|343|59.14|65.45|270|46.55|60.74|348|60.0|64.12
VALE3|GERAL|1740|1109|63.74|71.63|925|53.16|73.36|1131|65.0|70.96
VALE3|1.01|580|429|73.97|80.36|364|62.76|79.32|439|75.69|79.59
VALE3|1.015|580|354|61.03|69.09|286|49.31|69.53|372|64.14|69.29
VALE3|1.02|580|326|56.21|62.32|275|47.41|62.86|320|55.17|60.8
