ativo,target,janela,tecnica,acuracia,precisao
PETR4,1.01,15,RNA,,
PETR4,1.01,15,Random Forest,,
PETR4,1.01,15,SVC,,
PETR4,1.01,20,RNA,,
PETR4,1.01,20,Random Forest,,
PETR4,1.01,20,SVC,,
PETR4,1.01,25,RNA,,
PETR4,1.01,25,Random Forest,,
PETR4,1.01,25,SVC,,
PETR4,1.015,15,RNA,,
PETR4,1.015,15,Random Forest,,
PETR4,1.015,15,SVC,,
PETR4,1.015,20,RNA,,
PETR4,1.015,20,Random Forest,,
PETR4,1.015,20,SVC,,
PETR4,1.015,25,RNA,,
PETR4,1.015,25,Random Forest,,
PETR4,1.015,25,SVC,,
PETR4,1.02,15,RNA,,
PETR4,1.02,15,Random Forest,,
PETR4,1.02,15,SVC,,
PETR4,1.02,20,RNA,,
PETR4,1.02,20,Random Forest,,
PETR4,1.02,20,SVC,,
PETR4,1.02,25,RNA,,
PETR4,1.02,25,Random Forest,,
PETR4,1.02,25,SVC,,
ITUB4,1.01,15,RNA,,
ITUB4,1.01,15,Random Forest,,
ITUB4,1.01,15,SVC,,
ITUB4,1.01,20,RNA,,
ITUB4,1.01,20,Random Forest,,
ITUB4,1.01,20,SVC,,
ITUB4,1.01,25,RNA,,
ITUB4,1.01,25,Random Forest,,
ITUB4,1.01,25,SVC,,
ITUB4,1.015,15,RNA,,
ITUB4,1.015,15,Random Forest,,
ITUB4,1.015,15,SVC,,
ITUB4,1.015,20,RNA,,
ITUB4,1.015,20,Random Forest,,
ITUB4,1.015,20,SVC,,
ITUB4,1.015,25,RNA,,
ITUB4,1.015,25,Random Forest,,
ITUB4,1.015,25,SVC,,
ITUB4,1.02,15,RNA,,
ITUB4,1.02,15,Random Forest,,
ITUB4,1.02,15,SVC,,
ITUB4,1.02,20,RNA,,
ITUB4,1.02,20,Random Forest,,
ITUB4,1.02,20,SVC,,
ITUB4,1.02,25,RNA,,
ITUB4,1.02,25,Random Forest,,
ITUB4,1.02,25,SVC,,
VALE3,1.01,15,RNA,,
VALE3,1.01,15,Random Forest,,
VALE3,1.01,15,SVC,,
VALE3,1.01,20,RNA,,
VALE3,1.01,20,Random Forest,,
VALE3,1.01,20,SVC,,
VALE3,1.01,25,RNA,,
VALE3,1.01,25,Random Forest,,
VALE3,1.01,25,SVC,,
VALE3,1.015,15,RNA,,
VALE3,1.015,15,Random Forest,,
VALE3,1.015,15,SVC,,
VALE3,1.015,20,RNA,,
VALE3,1.015,20,Random Forest,,
VALE3,1.015,20,SVC,,
VALE3,1.015,25,RNA,,
VALE3,1.015,25,Random Forest,,
VALE3,1.015,25,SVC,,
VALE3,1.02,15,RNA,,
VALE3,1.02,15,Random Forest,,
VALE3,1.02,15,SVC,,
VALE3,1.02,20,RNA,,
VALE3,1.02,20,Random Forest,,
VALE3,1.02,20,SVC,,
VALE3,1.02,25,RNA,,
VALE3,1.02,25,Random Forest,,
VALE3,1.02,25,SVC,,
PETR4,1.01,15,RNA,,
PETR4,1.01,15,Random Forest,,
PETR4,1.01,15,SVC,,
PETR4,1.01,20,RNA,,
PETR4,1.01,20,Random Forest,,
PETR4,1.01,20,SVC,,
PETR4,1.01,25,RNA,,
PETR4,1.01,25,Random Forest,,
PETR4,1.01,25,SVC,,
PETR4,1.015,15,RNA,,
PETR4,1.015,15,Random Forest,,
PETR4,1.015,15,SVC,,
PETR4,1.015,20,RNA,,
PETR4,1.015,20,Random Forest,,
PETR4,1.015,20,SVC,,
PETR4,1.015,25,RNA,,
PETR4,1.015,25,Random Forest,,
PETR4,1.015,25,SVC,,
PETR4,1.02,15,RNA,,
PETR4,1.02,15,Random Forest,,
PETR4,1.02,15,SVC,,
PETR4,1.02,20,RNA,,
PETR4,1.02,20,Random Forest,,
PETR4,1.02,20,SVC,,
PETR4,1.02,25,RNA,,
PETR4,1.02,25,Random Forest,,
PETR4,1.02,25,SVC,,
ITUB4,1.01,15,RNA,,
ITUB4,1.01,15,Random Forest,,
ITUB4,1.01,15,SVC,,
ITUB4,1.01,20,RNA,,
ITUB4,1.01,20,Random Forest,,
ITUB4,1.01,20,SVC,,
ITUB4,1.01,25,RNA,,
ITUB4,1.01,25,Random Forest,,
ITUB4,1.01,25,SVC,,
ITUB4,1.015,15,RNA,,
ITUB4,1.015,15,Random Forest,,
ITUB4,1.015,15,SVC,,
ITUB4,1.015,20,RNA,,
ITUB4,1.015,20,Random Forest,,
ITUB4,1.015,20,SVC,,
ITUB4,1.015,25,RNA,,
ITUB4,1.015,25,Random Forest,,
ITUB4,1.015,25,SVC,,
ITUB4,1.02,15,RNA,,
ITUB4,1.02,15,Random Forest,,
ITUB4,1.02,15,SVC,,
ITUB4,1.02,20,RNA,,
ITUB4,1.02,20,Random Forest,,
ITUB4,1.02,20,SVC,,
ITUB4,1.02,25,RNA,,
ITUB4,1.02,25,Random Forest,,
ITUB4,1.02,25,SVC,,
VALE3,1.01,15,RNA,,
VALE3,1.01,15,Random Forest,,
VALE3,1.01,15,SVC,,
VALE3,1.01,20,RNA,,
VALE3,1.01,20,Random Forest,,
VALE3,1.01,20,SVC,,
VALE3,1.01,25,RNA,,
VALE3,1.01,25,Random Forest,,
VALE3,1.01,25,SVC,,
VALE3,1.015,15,RNA,,
VALE3,1.015,15,Random Forest,,
VALE3,1.015,15,SVC,,
VALE3,1.015,20,RNA,,
VALE3,1.015,20,Random Forest,,
VALE3,1.015,20,SVC,,
VALE3,1.015,25,RNA,,
VALE3,1.015,25,Random Forest,,
VALE3,1.015,25,SVC,,
VALE3,1.02,15,RNA,,
VALE3,1.02,15,Random Forest,,
VALE3,1.02,15,SVC,,
VALE3,1.02,20,RNA,,
VALE3,1.02,20,Random Forest,,
VALE3,1.02,20,SVC,,
VALE3,1.02,25,RNA,,
VALE3,1.02,25,Random Forest,,
VALE3,1.02,25,SVC,,
PETR4,1.01,15,RNA,,
PETR4,1.01,15,Random Forest,,
PETR4,1.01,15,SVC,,
PETR4,1.01,20,RNA,,
PETR4,1.01,20,Random Forest,,
PETR4,1.01,20,SVC,,
PETR4,1.01,25,RNA,,
PETR4,1.01,25,Random Forest,,
PETR4,1.01,25,SVC,,
PETR4,1.015,15,RNA,,
PETR4,1.015,15,Random Forest,,
PETR4,1.015,15,SVC,,
PETR4,1.015,20,RNA,,
PETR4,1.015,20,Random Forest,,
PETR4,1.015,20,SVC,,
PETR4,1.015,25,RNA,,
PETR4,1.015,25,Random Forest,,
PETR4,1.015,25,SVC,,
PETR4,1.02,15,RNA,,
PETR4,1.02,15,Random Forest,,
PETR4,1.02,15,SVC,,
PETR4,1.02,20,RNA,,
PETR4,1.02,20,Random Forest,,
PETR4,1.02,20,SVC,,
PETR4,1.02,25,RNA,,
PETR4,1.02,25,Random Forest,,
PETR4,1.02,25,SVC,,
ITUB4,1.01,15,RNA,,
ITUB4,1.01,15,Random Forest,,
ITUB4,1.01,15,SVC,,
ITUB4,1.01,20,RNA,,
ITUB4,1.01,20,Random Forest,,
ITUB4,1.01,20,SVC,,
ITUB4,1.01,25,RNA,,
ITUB4,1.01,25,Random Forest,,
ITUB4,1.01,25,SVC,,
ITUB4,1.015,15,RNA,,
ITUB4,1.015,15,Random Forest,,
ITUB4,1.015,15,SVC,,
ITUB4,1.015,20,RNA,,
ITUB4,1.015,20,Random Forest,,
ITUB4,1.015,20,SVC,,
ITUB4,1.015,25,RNA,,
ITUB4,1.015,25,Random Forest,,
ITUB4,1.015,25,SVC,,
ITUB4,1.02,15,RNA,,
ITUB4,1.02,15,Random Forest,,
ITUB4,1.02,15,SVC,,
ITUB4,1.02,20,RNA,,
ITUB4,1.02,20,Random Forest,,
ITUB4,1.02,20,SVC,,
ITUB4,1.02,25,RNA,,
ITUB4,1.02,25,Random Forest,,
ITUB4,1.02,25,SVC,,
VALE3,1.01,15,RNA,,
VALE3,1.01,15,Random Forest,,
VALE3,1.01,15,SVC,,
VALE3,1.01,20,RNA,,
VALE3,1.01,20,Random Forest,,
VALE3,1.01,20,SVC,,
VALE3,1.01,25,RNA,,
VALE3,1.01,25,Random Forest,,
VALE3,1.01,25,SVC,,
VALE3,1.015,15,RNA,,
VALE3,1.015,15,Random Forest,,
VALE3,1.015,15,SVC,,
VALE3,1.015,20,RNA,,
VALE3,1.015,20,Random Forest,,
VALE3,1.015,20,SVC,,
VALE3,1.015,25,RNA,,
VALE3,1.015,25,Random Forest,,
VALE3,1.015,25,SVC,,
VALE3,1.02,15,RNA,,
VALE3,1.02,15,Random Forest,,
VALE3,1.02,15,SVC,,
VALE3,1.02,20,RNA,,
VALE3,1.02,20,Random Forest,,
VALE3,1.02,20,SVC,,
VALE3,1.02,25,RNA,,
VALE3,1.02,25,Random Forest,,
VALE3,1.02,25,SVC,,
PETR4,1.01,15,RNA,0.6,0.5
PETR4,1.01,15,Random Forest,0.35,0.3076923076923077
PETR4,1.01,15,SVC,0.35,0.2727272727272727
PETR4,1.01,20,RNA,0.6,0.5
PETR4,1.01,20,Random Forest,0.6,0.5
PETR4,1.01,20,SVC,0.5333333333333333,0.4444444444444444
PETR4,1.01,25,RNA,0.5,0.5555555555555556
PETR4,1.01,25,Random Forest,0.5,0.5555555555555556
PETR4,1.01,25,SVC,0.5,0.5555555555555556
PETR4,1.015,15,RNA,0.5,0.2222222222222222
PETR4,1.015,15,Random Forest,0.4,0.0
PETR4,1.015,15,SVC,0.45,0.2
PETR4,1.015,20,RNA,0.3333333333333333,0.1111111111111111
PETR4,1.015,20,Random Forest,0.6666666666666666,0.25
PETR4,1.015,20,SVC,0.5333333333333333,0.1666666666666666
PETR4,1.015,25,RNA,0.3,0.1666666666666666
PETR4,1.015,25,Random Forest,0.3,0.1666666666666666
PETR4,1.015,25,SVC,0.3,0.25
PETR4,1.02,15,RNA,0.45,0.2
PETR4,1.02,15,Random Forest,0.55,0.1666666666666666
PETR4,1.02,15,SVC,0.45,0.2
PETR4,1.02,20,RNA,0.4666666666666667,0.1428571428571428
PETR4,1.02,20,Random Forest,0.6,0.2
PETR4,1.02,20,SVC,0.6666666666666666,0.25
PETR4,1.02,25,RNA,0.1,0.125
PETR4,1.02,25,Random Forest,0.4,0.2
PETR4,1.02,25,SVC,0.5,0.3333333333333333
ITUB4,1.01,15,RNA,0.55,0.5294117647058824
ITUB4,1.01,15,Random Forest,0.55,0.5294117647058824
ITUB4,1.01,15,SVC,0.45,0.4666666666666667
ITUB4,1.01,20,RNA,0.4666666666666667,0.5
ITUB4,1.01,20,Random Forest,0.4666666666666667,0.5
ITUB4,1.01,20,SVC,0.6,0.5714285714285714
ITUB4,1.01,25,RNA,0.5,0.5
ITUB4,1.01,25,Random Forest,0.6,0.5555555555555556
ITUB4,1.01,25,SVC,0.5,0.5
ITUB4,1.015,15,RNA,0.5,0.4285714285714285
ITUB4,1.015,15,Random Forest,0.5,0.4285714285714285
ITUB4,1.015,15,SVC,0.4,0.3571428571428571
ITUB4,1.015,20,RNA,0.3333333333333333,0.3636363636363636
ITUB4,1.015,20,Random Forest,0.4666666666666667,0.4545454545454545
ITUB4,1.015,20,SVC,0.4,0.4166666666666667
ITUB4,1.015,25,RNA,0.4,0.4
ITUB4,1.015,25,Random Forest,0.5,0.4444444444444444
ITUB4,1.015,25,SVC,0.3,0.3333333333333333
ITUB4,1.02,15,RNA,0.35,0.3125
ITUB4,1.02,15,Random Forest,0.45,0.3333333333333333
ITUB4,1.02,15,SVC,0.45,0.3
ITUB4,1.02,20,RNA,0.5333333333333333,0.4545454545454545
ITUB4,1.02,20,Random Forest,0.4666666666666667,0.4166666666666667
ITUB4,1.02,20,SVC,0.4666666666666667,0.4
ITUB4,1.02,25,RNA,0.3,0.3
ITUB4,1.02,25,Random Forest,0.4,0.3333333333333333
ITUB4,1.02,25,SVC,0.4,0.3333333333333333
VALE3,1.01,15,RNA,0.6,0.5882352941176471
VALE3,1.01,15,Random Forest,0.6,0.5789473684210527
VALE3,1.01,15,SVC,0.6,0.5789473684210527
VALE3,1.01,20,RNA,0.5333333333333333,0.5
VALE3,1.01,20,Random Forest,0.6,0.5384615384615384
VALE3,1.01,20,SVC,0.6,0.5384615384615384
VALE3,1.01,25,RNA,0.5,0.4444444444444444
VALE3,1.01,25,Random Forest,0.4,0.375
VALE3,1.01,25,SVC,0.5,0.4285714285714285
VALE3,1.015,15,RNA,0.6,0.5333333333333333
VALE3,1.015,15,Random Forest,0.5,0.4736842105263157
