ativo,target,janela,data,target_real,resultado_real,RNA,Random Forest,SVC,ensemble_tecnicas
ITUB4,1.01,60,2020-04-22,1,0.0419240499749904,1,0,1,0
ITUB4,1.01,60,2020-04-23,1,0.1094755606811048,1,1,1,1
ITUB4,1.01,60,2020-04-24,1,0.1197771513340761,1,1,1,1
ITUB4,1.01,60,2020-04-27,1,0.0496083162536329,1,1,1,1
ITUB4,1.01,60,2020-04-28,0,-0.0535429469946082,1,1,1,1
ITUB4,1.01,60,2020-04-29,1,0.0352107806956834,1,1,1,1
ITUB4,1.01,60,2020-04-30,1,0.0646924819329424,1,0,1,0
ITUB4,1.01,60,2020-05-04,1,0.0527027143348253,0,1,1,0
ITUB4,1.01,60,2020-05-05,1,0.0190265670812666,1,1,1,1
ITUB4,1.01,60,2020-05-06,1,0.029043803007893,1,1,1,1
ITUB4,1.01,60,2020-05-07,1,0.0458673921279189,1,1,1,1
ITUB4,1.01,60,2020-05-08,1,0.0387911974836179,1,1,1,1
ITUB4,1.01,60,2020-05-11,1,0.0115503822856724,1,1,1,1
ITUB4,1.01,60,2020-05-12,1,0.0551977969544617,1,1,1,1
ITUB4,1.01,60,2020-05-13,1,0.0764898522257555,1,1,1,1
ITUB4,1.01,60,2020-05-14,1,0.019555547004098,1,1,1,1
ITUB4,1.01,60,2020-05-15,1,0.021826285052616,0,1,1,0
ITUB4,1.01,60,2020-05-18,1,0.0318161451531571,1,1,1,1
ITUB4,1.01,60,2020-05-19,1,0.103055194581868,1,1,1,1
ITUB4,1.01,60,2020-05-20,1,0.1243093961366046,1,1,1,1
ITUB4,1.01,60,2020-05-21,1,0.0805309974223686,1,1,1,1
ITUB4,1.01,60,2020-05-22,1,0.0213300097270932,1,1,1,1
ITUB4,1.01,60,2020-05-25,0,-0.0530209449775563,1,1,1,1
ITUB4,1.01,60,2020-05-26,1,0.017343484225633,1,1,1,1
ITUB4,1.01,60,2020-05-27,1,0.0777557491283429,1,1,1,1
ITUB4,1.01,60,2020-05-28,1,0.1556272357347239,1,1,1,1
ITUB4,1.01,60,2020-05-29,1,0.1752080278273537,1,1,1,1
ITUB4,1.01,60,2020-06-01,1,0.1958333603261217,1,1,1,1
ITUB4,1.01,60,2020-06-02,1,0.091254792676962,1,1,1,1
ITUB4,1.01,60,2020-06-03,1,0.1136980977753343,1,1,1,1
ITUB4,1.01,60,2020-06-04,1,0.0191761487670174,1,1,1,1
ITUB4,1.01,60,2020-06-05,1,0.0315103223026373,1,1,1,1
ITUB4,1.01,60,2020-06-08,1,0.0243017999946182,1,1,1,1
ITUB4,1.01,60,2020-06-09,0,-0.0686588308598515,1,1,1,1
ITUB4,1.01,60,2020-06-10,1,0.0397529584979643,1,1,1,1
ITUB4,1.01,60,2020-06-12,1,0.1119522350129791,1,1,1,1
ITUB4,1.01,60,2020-06-15,1,0.0656603762514884,1,1,1,1
ITUB4,1.01,60,2020-06-16,1,0.0786860193200329,1,1,1,1
ITUB4,1.01,60,2020-06-17,1,0.0656603762514884,1,1,1,1
ITUB4,1.01,60,2020-06-18,0,-0.0804270834185341,1,1,1,1
ITUB4,1.01,60,2020-06-19,0,-0.0674036938550665,1,1,1,1
ITUB4,1.01,60,2020-06-22,0,-0.0718411269320794,1,1,1,1
ITUB4,1.01,60,2020-06-23,0,-0.0115714964483225,1,1,1,1
ITUB4,1.01,60,2020-06-24,1,0.0188243871782018,1,1,1,1
ITUB4,1.01,60,2020-06-25,1,0.0315052044712051,1,1,1,1
ITUB4,1.01,60,2020-06-26,1,0.052743593136606,1,1,1,1
ITUB4,1.01,60,2020-06-29,1,0.0398954633876609,1,1,1,1
ITUB4,1.01,60,2020-06-30,1,0.0878905710078512,1,1,1,1
ITUB4,1.01,60,2020-07-01,1,0.0509433793906513,1,1,1,1
ITUB4,1.01,60,2020-07-02,1,0.0553239855096487,1,1,1,1
ITUB4,1.01,60,2020-07-03,1,0.0269173717505821,1,0,1,0
ITUB4,1.01,60,2020-07-06,1,0.0102078163129992,1,1,1,1
ITUB4,1.01,60,2020-07-07,1,0.0337710737671925,1,0,1,0
ITUB4,1.01,60,2020-07-08,1,0.0196150745476848,1,1,1,1
ITUB4,1.01,60,2020-07-09,1,0.0315398893803837,1,1,1,1
ITUB4,1.01,60,2020-07-10,1,0.0127504739779884,1,1,1,1
ITUB4,1.01,60,2020-07-13,1,0.0392523296035429,1,1,1,1
ITUB4,1.01,60,2020-07-14,0,-0.0087146005574519,1,1,1,1
ITUB4,1.01,60,2020-07-15,1,0.0320206492912065,1,1,1,1
ITUB4,1.01,60,2020-07-16,1,0.0343047079898222,1,0,1,0
ITUB4,1.01,60,2020-07-17,1,0.0289908412231794,1,1,1,1
ITUB4,1.01,60,2020-07-20,1,0.0159420256153361,1,1,1,1
ITUB4,1.01,60,2020-07-21,0,-0.0017953001258705,1,1,1,1
ITUB4,1.01,60,2020-07-22,1,0.0428043728953482,1,1,1,1
ITUB4,1.01,60,2020-07-23,1,0.0812144174818889,0,1,1,0
ITUB4,1.01,60,2020-07-24,1,0.0698460864603234,1,1,1,1
ITUB4,1.01,60,2020-07-27,1,0.0277778183979766,1,1,1,1
ITUB4,1.01,60,2020-07-28,1,0.0120781527957367,1,1,1,1
ITUB4,1.01,60,2020-07-29,1,0.0129170904539339,1,1,1,1
ITUB4,1.01,60,2020-07-30,0,-0.0807325903076521,1,1,1,1
ITUB4,1.01,60,2020-07-31,1,0.0225091816275135,1,1,1,1
ITUB4,1.01,60,2020-08-03,1,0.0167618724249269,1,1,1,1
ITUB4,1.01,60,2020-08-04,1,0.0114722531177198,1,1,1,1
ITUB4,1.01,60,2020-08-05,1,0.0291828894726329,1,1,1,1
ITUB4,1.01,60,2020-08-06,1,0.0319937620696397,1,1,1,1
ITUB4,1.01,60,2020-08-07,1,0.0301724220613508,1,1,1,1
ITUB4,1.01,60,2020-08-10,0,-0.0532159525713544,1,1,1,1
ITUB4,1.01,60,2020-08-11,0,-0.0603347770534901,1,1,1,1
ITUB4,1.01,60,2020-08-12,0,-0.0458277134218768,1,1,0,0
ITUB4,1.01,60,2020-08-13,1,0.0260480446429944,1,0,1,0
ITUB4,1.01,60,2020-08-14,0,-0.0221293053693227,1,0,1,0
ITUB4,1.01,60,2020-08-17,0,-0.0219333838774211,1,0,1,0
ITUB4,1.01,60,2020-08-18,1,0.0209703957335603,1,0,1,0
ITUB4,1.01,60,2020-08-19,1,0.0476793111604112,0,0,0,1
ITUB4,1.01,60,2020-08-20,1,0.038477640629406,1,1,1,1
ITUB4,1.01,60,2020-08-21,1,0.0239175171518604,0,1,1,0
ITUB4,1.01,60,2020-08-24,0,-0.0085227676662281,1,1,1,1
ITUB4,1.01,60,2020-08-25,1,0.0106995536203511,1,1,1,1
ITUB4,1.01,60,2020-08-26,1,0.0280451867478208,1,1,1,1
ITUB4,1.01,60,2020-08-27,1,0.0106995536203511,0,1,1,0
ITUB4,1.01,60,2020-08-28,1,0.0556993363520099,1,1,1,1
ITUB4,1.01,60,2020-08-31,1,0.0682865540187092,1,1,1,1
ITUB4,1.01,60,2020-09-01,1,0.0472278966949555,1,1,1,1
ITUB4,1.01,60,2020-09-02,1,0.0537189746357746,1,1,1,1
ITUB4,1.01,60,2020-09-03,0,-0.049682071299363,1,1,1,1
ITUB4,1.01,60,2020-09-04,1,0.0101791466760754,1,1,1,1
ITUB4,1.01,60,2020-09-08,0,-0.0223577098086357,1,1,1,1
ITUB4,1.01,60,2020-09-09,1,0.0106557448863138,1,1,1,1
ITUB4,1.01,60,2020-09-10,1,0.0116909874562709,1,1,1,1
ITUB4,1.01,60,2020-09-11,1,0.0184951403690551,1,1,1,1
