ativo,target,janela,data,target_real,resultado_real,RNA,Random Forest,SVC,ensemble_tecnicas
PETR4,1.01,60,2020-04-22,1,0.0133721536123996,1,1,1,1
PETR4,1.01,60,2020-04-23,1,0.1072496936241176,1,1,1,1
PETR4,1.01,60,2020-04-24,1,0.144981405668146,1,1,1,1
PETR4,1.01,60,2020-04-27,1,0.0845069560830893,1,1,1,1
PETR4,1.01,60,2020-04-28,1,0.0382021499655578,1,1,1,1
PETR4,1.01,60,2020-04-29,1,0.0278085666627887,1,1,1,1
PETR4,1.01,60,2020-04-30,1,0.0602407802116999,1,1,1,1
PETR4,1.01,60,2020-05-04,1,0.0379889216983171,1,1,1,1
PETR4,1.01,60,2020-05-05,1,0.0593171999291648,1,1,1,1
PETR4,1.01,60,2020-05-06,1,0.0664788575486343,1,1,1,1
PETR4,1.01,60,2020-05-07,1,0.0670799178249585,1,1,1,1
PETR4,1.01,60,2020-05-08,1,0.0344260879153188,1,1,1,1
PETR4,1.01,60,2020-05-11,1,0.0161900445935392,1,1,1,1
PETR4,1.01,60,2020-05-12,1,0.0153341664049888,1,1,1,1
PETR4,1.01,60,2020-05-13,1,0.0879309545069753,1,1,1,1
PETR4,1.01,60,2020-05-14,1,0.0806003418315148,1,1,1,1
PETR4,1.01,60,2020-05-15,1,0.0922651612400966,1,1,1,1
PETR4,1.01,60,2020-05-18,1,0.0680714034989544,1,1,1,1
PETR4,1.01,60,2020-05-19,1,0.035620830404597,1,1,1,1
PETR4,1.01,60,2020-05-20,1,0.0302563143860075,1,1,1,1
PETR4,1.01,60,2020-05-21,1,0.0686169933976437,1,1,1,1
PETR4,1.01,60,2020-05-22,1,0.0313140539654954,1,1,1,1
PETR4,1.01,60,2020-05-25,1,0.0180180422799871,1,1,1,1
PETR4,1.01,60,2020-05-26,1,0.0383838527951476,1,1,1,1
PETR4,1.01,60,2020-05-27,1,0.0868462317950209,1,1,1,1
PETR4,1.01,60,2020-05-28,1,0.120716069065146,1,1,1,1
PETR4,1.01,60,2020-05-29,1,0.0873448918647057,1,1,1,1
PETR4,1.01,60,2020-06-01,1,0.1098793864624998,1,1,1,1
PETR4,1.01,60,2020-06-02,1,0.0535223310601669,1,1,1,1
PETR4,1.01,60,2020-06-03,1,0.0766712675108134,1,1,1,1
PETR4,1.01,60,2020-06-04,1,0.0331986179337593,1,1,1,1
PETR4,1.01,60,2020-06-05,0,-0.0864745645982563,1,1,1,1
PETR4,1.01,60,2020-06-08,0,-0.0603721659282762,1,1,1,1
PETR4,1.01,60,2020-06-09,0,-0.0237551860048348,1,1,1,1
PETR4,1.01,60,2020-06-10,1,0.0625605891186835,1,1,1,1
PETR4,1.01,60,2020-06-12,1,0.1060070899326826,1,1,1,1
PETR4,1.01,60,2020-06-15,1,0.0306123388057701,1,1,1,1
PETR4,1.01,60,2020-06-16,1,0.0344506793207464,1,1,1,1
PETR4,1.01,60,2020-06-17,1,0.0491030301452115,1,1,1,1
PETR4,1.01,60,2020-06-18,0,-0.0454545176613091,1,1,1,1
PETR4,1.01,60,2020-06-19,1,0.021759269062189,1,1,1,1
PETR4,1.01,60,2020-06-22,1,0.0400565652864548,1,1,1,1
PETR4,1.01,60,2020-06-23,0,0.0079105963337711,1,1,1,1
PETR4,1.01,60,2020-06-24,1,0.0425633478118987,1,1,1,1
PETR4,1.01,60,2020-06-25,1,0.0490334162424885,1,1,1,1
PETR4,1.01,60,2020-06-26,1,0.0545022994188575,1,1,1,1
PETR4,1.01,60,2020-06-29,1,0.0426428940302974,1,1,1,1
PETR4,1.01,60,2020-06-30,1,0.0510344454365885,1,1,1,1
PETR4,1.01,60,2020-07-01,1,0.0343891523900985,1,1,1,1
PETR4,1.01,60,2020-07-02,1,0.0414578272901293,1,1,1,1
PETR4,1.01,60,2020-07-03,1,0.0209915254059085,1,1,1,1
PETR4,1.01,60,2020-07-06,1,0.0210385081005113,1,1,1,1
PETR4,1.01,60,2020-07-07,1,0.0160355046958906,1,1,0,0
PETR4,1.01,60,2020-07-08,0,0.0052676869876084,1,1,1,1
PETR4,1.01,60,2020-07-09,1,0.0558811186680954,1,1,1,1
PETR4,1.01,60,2020-07-10,1,0.0362672536887196,1,1,1,1
PETR4,1.01,60,2020-07-13,1,0.0587438283283716,1,0,1,0
PETR4,1.01,60,2020-07-14,0,-0.0198276761796528,1,1,1,1
