ativo,target,janela,data,target_real,resultado_real,RNA,Random Forest,SVC,ensemble_tecnicas
VALE3,1.01,60,2020-04-22,1,0.0462000563990114,1,1,1,1
VALE3,1.01,60,2020-04-23,1,0.0924602465845176,1,1,1,1
VALE3,1.01,60,2020-04-24,1,0.0656770385119533,1,1,1,1
VALE3,1.01,60,2020-04-27,1,0.0482301155649904,1,1,1,1
VALE3,1.01,60,2020-04-28,1,0.0447629667206057,1,1,1,1
VALE3,1.01,60,2020-04-29,1,0.0100634509639321,1,1,1,1
VALE3,1.01,60,2020-04-30,1,0.0750572321543694,1,1,1,1
VALE3,1.01,60,2020-05-04,1,0.1014623124112421,1,1,1,1
VALE3,1.01,60,2020-05-05,1,0.1145055548251172,1,1,1,1
VALE3,1.01,60,2020-05-06,1,0.0793337905016553,1,1,1,1
VALE3,1.01,60,2020-05-07,1,0.0368421263494358,1,1,1,1
VALE3,1.01,60,2020-05-08,1,0.0215723132967033,1,1,1,1
VALE3,1.01,60,2020-05-11,1,0.017964081472769,1,1,1,1
VALE3,1.01,60,2020-05-12,1,0.0712061439406808,1,1,1,1
VALE3,1.01,60,2020-05-13,1,0.0992700905254231,1,1,1,1
VALE3,1.01,60,2020-05-14,1,0.102279732017267,1,1,1,1
VALE3,1.01,60,2020-05-15,1,0.0661501699685702,1,1,1,1
VALE3,1.01,60,2020-05-18,1,0.0461988380493125,1,1,1,1
VALE3,1.01,60,2020-05-19,0,-0.0612703635267868,1,1,1,1
VALE3,1.01,60,2020-05-20,0,-0.0590935199569855,1,1,1,1
VALE3,1.01,60,2020-05-21,1,0.0179239507671695,1,0,1,0
VALE3,1.01,60,2020-05-22,0,-0.0256759213527646,1,1,1,1
VALE3,1.01,60,2020-05-25,1,0.0520047593486665,1,1,1,1
VALE3,1.01,60,2020-05-26,1,0.0804574818114016,1,1,1,1
VALE3,1.01,60,2020-05-27,1,0.0558823687831138,1,1,1,1
VALE3,1.01,60,2020-05-28,1,0.0571984346228384,1,1,1,1
VALE3,1.01,60,2020-05-29,1,0.0545248193496865,1,1,1,1
VALE3,1.01,60,2020-06-01,1,0.0539033334328888,1,1,1,1
VALE3,1.01,60,2020-06-02,1,0.051948031214527,1,0,1,0
VALE3,1.01,60,2020-06-03,1,0.0554728165467885,1,1,1,1
VALE3,1.01,60,2020-06-04,0,-0.0388366657687804,1,1,1,1
VALE3,1.01,60,2020-06-05,1,0.0121862421657421,1,1,1,1
VALE3,1.01,60,2020-06-08,1,0.0192023550184292,1,1,1,1
VALE3,1.01,60,2020-06-09,1,0.0107448415734461,0,1,1,0
VALE3,1.01,60,2020-06-10,1,0.0508285286922203,1,1,0,0
VALE3,1.01,60,2020-06-12,1,0.0769524004769395,1,1,1,1
VALE3,1.01,60,2020-06-15,1,0.0200036018829636,1,1,1,1
VALE3,1.01,60,2020-06-16,1,0.0200036018829636,1,1,1,1
VALE3,1.01,60,2020-06-17,0,-0.0126110085073921,1,1,1,1
VALE3,1.01,60,2020-06-18,0,-0.0166873623735978,1,1,1,1
VALE3,1.01,60,2020-06-19,1,0.0283636389019301,1,0,1,0
VALE3,1.01,60,2020-06-22,1,0.0255717848688812,1,1,1,1
VALE3,1.01,60,2020-06-23,1,0.01244446920864,1,1,0,0
VALE3,1.01,60,2020-06-24,1,0.0261261504090937,1,1,1,1
VALE3,1.01,60,2020-06-25,1,0.018783564572679,1,1,1,1
VALE3,1.01,60,2020-06-26,1,0.0198412966103826,1,1,1,1
VALE3,1.01,60,2020-06-29,1,0.0198412966103826,1,1,1,1
VALE3,1.01,60,2020-06-30,1,0.0117688936028408,1,1,1,1
VALE3,1.01,60,2020-07-01,1,0.0388331690938836,1,1,1,1
VALE3,1.01,60,2020-07-02,1,0.045652192486693,1,1,1,1
VALE3,1.01,60,2020-07-03,1,0.0290604466022168,1,1,1,1
VALE3,1.01,60,2020-07-06,1,0.0172717826757964,1,1,1,1
VALE3,1.01,60,2020-07-07,1,0.0407732886550897,1,1,1,1
VALE3,1.01,60,2020-07-08,1,0.077364385845065,1,1,1,1
VALE3,1.01,60,2020-07-09,1,0.1134111755834186,1,1,1,1
VALE3,1.01,60,2020-07-10,1,0.0900745044865591,1,1,1,1
VALE3,1.01,60,2020-07-13,1,0.0864986230069944,0,1,1,0
VALE3,1.01,60,2020-07-14,1,0.010112377039718,1,1,1,1
VALE3,1.01,60,2020-07-15,0,-0.0261011473856809,1,0,1,0
VALE3,1.01,60,2020-07-16,1,0.0163636528247503,1,0,1,0
VALE3,1.01,60,2020-07-17,0,-0.0371400507967367,1,1,1,1
VALE3,1.01,60,2020-07-20,0,-0.0304434105900401,1,0,1,0
VALE3,1.01,60,2020-07-21,1,0.0283664124093461,1,1,1,1
VALE3,1.01,60,2020-07-22,1,0.028881456252136,1,1,1,1
VALE3,1.01,60,2020-07-23,1,0.0747823263560174,1,1,1,1
VALE3,1.01,60,2020-07-24,1,0.0651438267512929,1,1,1,1
VALE3,1.01,60,2020-07-27,1,0.0370675424078903,1,1,1,1
VALE3,1.01,60,2020-07-28,1,0.0284267432500686,1,1,1,1
VALE3,1.01,60,2020-07-29,0,-0.0256821620514344,1,1,1,1
VALE3,1.01,60,2020-07-30,1,0.0294598940431287,1,1,1,1
VALE3,1.01,60,2020-07-31,1,0.0168121490875943,1,1,1,1
