ativo,target,data,melhor_precision,valor_melhor_precision,concordancia_valor
PETR4,1.02,2020-06-04,RandomForest_75,1.0,1.0
PETR4,1.015,2020-06-04,RandomForest_90,1.0,1.0
PETR4,1.01,2020-06-04,RandomForest_75,1.0,1.0
PETR4,1.02,2020-06-05,"RandomForest_75, RandomForest_90","1.0, 1.0",1.0
PETR4,1.015,2020-06-05,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.01,2020-06-05,RandomForest_60,1.0,1.0
PETR4,1.02,2020-06-08,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.015,2020-06-08,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.01,2020-06-08,RandomForest_60,1.0,1.0
PETR4,1.02,2020-06-09,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.015,2020-06-09,RandomForest_75,1.0,1.0
PETR4,1.01,2020-06-09,RandomForest_90,1.0,1.0
PETR4,1.02,2020-06-10,"RandomForest_75, RandomForest_90","1.0, 1.0",1.0
PETR4,1.01,2020-06-10,RandomForest_60,1.0,1.0
PETR4,1.015,2020-06-10,RandomForest_90,1.0,1.0
PETR4,1.01,2020-06-12,RandomForest_60,1.0,1.0
PETR4,1.02,2020-06-12,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.015,2020-06-12,"RandomForest_75, RandomForest_90","1.0, 1.0",1.0
PETR4,1.01,2020-06-15,RandomForest_90,1.0,1.0
PETR4,1.02,2020-06-15,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.015,2020-06-15,RandomForest_60,1.0,1.0
PETR4,1.01,2020-06-16,RandomForest_60,1.0,1.0
PETR4,1.02,2020-06-16,RandomForest_75,1.0,1.0
PETR4,1.015,2020-06-16,"RandomForest_60, RandomForest_90","1.0, 1.0",1.0
PETR4,1.01,2020-06-17,RandomForest_60,1.0,1.0
PETR4,1.02,2020-06-17,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.015,2020-06-17,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.02,2020-06-18,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 0.0, 1.0",0.0
PETR4,1.015,2020-06-18,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.01,2020-06-18,RandomForest_60,1.0,1.0
PETR4,1.015,2020-06-19,"RandomForest_60, RandomForest_90","1.0, 1.0",1.0
PETR4,1.01,2020-06-19,RandomForest_90,1.0,1.0
PETR4,1.02,2020-06-19,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.015,2020-06-22,"RandomForest_60, RandomForest_90","1.0, 1.0",1.0
PETR4,1.01,2020-06-22,"RandomForest_60, RandomForest_90","1.0, 1.0",1.0
PETR4,1.02,2020-06-22,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.015,2020-06-23,"RandomForest_60, RandomForest_90","1.0, 1.0",1.0
PETR4,1.01,2020-06-23,"RandomForest_60, RandomForest_90","1.0, 1.0",1.0
PETR4,1.02,2020-06-23,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.015,2020-06-24,RandomForest_60,1.0,1.0
PETR4,1.01,2020-06-24,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.02,2020-06-24,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.01,2020-06-25,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
