ativo,target,janela,data,target_real,resultado_real,RNA,Random Forest,SVC,ensemble_tecnicas
PETR4,1.01,60,2020-04-22,1,0.01,1,1,1,1
PETR4,1.01,60,2020-04-23,1,0.01,1,1,1,1
PETR4,1.01,60,2020-04-24,1,0.01,1,1,1,1
PETR4,1.01,60,2020-04-27,1,0.01,1,1,1,1
PETR4,1.01,60,2020-04-28,1,0.01,1,1,1,1
PETR4,1.01,60,2020-04-29,1,0.01,1,1,1,1
PETR4,1.01,60,2020-04-30,1,0.01,1,1,1,1
PETR4,1.01,60,2020-05-04,1,0.01,1,1,1,1
PETR4,1.01,60,2020-05-05,1,0.01,1,1,1,1
PETR4,1.01,60,2020-05-06,1,0.01,1,1,1,1
PETR4,1.01,60,2020-05-07,1,0.01,1,1,1,1
PETR4,1.01,60,2020-05-08,1,0.01,1,1,1,1
PETR4,1.01,60,2020-05-11,1,0.01,1,1,1,1
PETR4,1.01,60,2020-05-12,1,0.01,1,1,1,1
PETR4,1.01,60,2020-05-13,1,0.01,1,1,1,1
PETR4,1.01,60,2020-05-14,1,0.01,1,1,1,1
PETR4,1.01,60,2020-05-15,1,0.01,1,1,1,1
PETR4,1.01,60,2020-05-18,1,0.01,1,1,1,1
PETR4,1.01,60,2020-05-19,1,0.01,1,1,1,1
PETR4,1.01,60,2020-05-20,1,0.01,1,1,1,1
PETR4,1.01,60,2020-05-21,1,0.01,1,1,1,1
PETR4,1.01,60,2020-05-22,1,0.01,1,1,1,1
PETR4,1.01,60,2020-05-25,1,0.01,1,1,1,1
PETR4,1.01,60,2020-05-26,1,0.01,1,1,1,1
PETR4,1.01,60,2020-05-27,1,0.01,1,1,1,1
PETR4,1.01,60,2020-05-28,1,0.01,1,1,1,1
PETR4,1.01,60,2020-05-29,1,0.01,1,1,1,1
PETR4,1.01,60,2020-06-01,1,0.01,1,1,1,1
PETR4,1.01,60,2020-06-02,1,0.01,1,1,1,1
PETR4,1.01,60,2020-06-03,1,0.01,1,1,1,1
PETR4,1.01,60,2020-06-04,1,0.01,1,1,1,1
PETR4,1.01,60,2020-06-05,0,-0.0864745645982563,1,1,1,1
PETR4,1.01,60,2020-06-08,0,-0.0603721659282762,1,1,1,1
PETR4,1.01,60,2020-06-09,0,-0.0237551860048348,1,1,1,1
PETR4,1.01,60,2020-06-10,1,0.01,1,1,1,1
PETR4,1.01,60,2020-06-12,1,0.01,1,1,1,1
PETR4,1.01,60,2020-06-15,1,0.01,1,1,1,1
PETR4,1.01,60,2020-06-16,1,0.01,1,1,1,1
PETR4,1.01,60,2020-06-17,1,0.01,1,1,1,1
PETR4,1.01,60,2020-06-18,0,-0.0454545176613091,1,1,1,1
PETR4,1.01,60,2020-06-19,1,0.01,1,1,1,1
PETR4,1.01,60,2020-06-22,1,0.01,1,1,1,1
PETR4,1.01,60,2020-06-23,0,0.0079105963337711,1,1,1,1
PETR4,1.01,60,2020-06-24,1,0.01,1,1,1,1
PETR4,1.01,60,2020-06-25,1,0.01,1,1,1,1
PETR4,1.01,60,2020-06-26,1,0.01,1,1,1,1
PETR4,1.01,60,2020-06-29,1,0.01,1,1,1,1
PETR4,1.01,60,2020-06-30,1,0.01,1,1,1,1
PETR4,1.01,60,2020-07-01,1,0.01,1,1,1,1
PETR4,1.01,60,2020-07-02,1,0.01,1,1,1,1
PETR4,1.01,60,2020-07-03,1,0.01,1,1,1,1
PETR4,1.01,60,2020-07-06,1,0.01,1,1,1,1
PETR4,1.01,60,2020-07-07,1,0.01,1,1,0,0
PETR4,1.01,60,2020-07-08,0,0.0052676869876084,1,1,1,1
PETR4,1.01,60,2020-07-09,1,0.01,1,1,1,1
PETR4,1.01,60,2020-07-10,1,0.01,1,1,1,1
PETR4,1.01,60,2020-07-13,1,0.01,1,0,1,0
PETR4,1.01,60,2020-07-14,0,-0.0198276761796528,1,1,1,1
PETR4,1.01,60,2020-07-15,1,0.01,1,1,1,1
PETR4,1.01,60,2020-07-16,1,0.01,0,0,1,0
PETR4,1.01,60,2020-07-17,1,0.01,1,1,1,1
PETR4,1.01,60,2020-07-20,1,0.01,1,1,1,1
PETR4,1.01,60,2020-07-21,0,-0.0042728634059212,1,1,1,1
PETR4,1.01,60,2020-07-22,0,-0.0155440557454417,1,1,1,1
PETR4,1.01,60,2020-07-23,1,0.01,1,1,1,1
PETR4,1.01,60,2020-07-24,1,0.01,1,1,1,1
PETR4,1.01,60,2020-07-27,1,0.01,1,1,1,1
PETR4,1.01,60,2020-07-28,0,-0.0534086229706406,1,0,1,0
PETR4,1.01,60,2020-07-29,0,-0.0497381707311704,1,1,1,1
PETR4,1.01,60,2020-07-30,1,0.01,1,0,1,0
PETR4,1.01,60,2020-07-31,1,0.01,1,1,1,1
PETR4,1.01,60,2020-08-03,1,0.01,1,1,1,1
PETR4,1.01,60,2020-08-04,1,0.01,0,1,1,0
PETR4,1.01,60,2020-08-05,1,0.01,1,1,1,1
PETR4,1.01,60,2020-08-06,1,0.01,1,1,1,1
