ativo|target|data|target_real|resultado_real|esmble_jan_tot|esmble_jan_par|in_precision
VALE3|1.01|2020-06-04|0|-0.0388366657687804|1|1|1.0
VALE3|1.01|2020-06-05|1|0.01|1|1|1.0
VALE3|1.01|2020-06-08|1|0.01|1|1|1.0
VALE3|1.01|2020-06-09|1|0.01|1|1|1.0
VALE3|1.01|2020-06-10|1|0.01|0|1|1.0
VALE3|1.01|2020-06-12|1|0.01|1|1|1.0
VALE3|1.01|2020-06-15|1|0.01|1|1|1.0
VALE3|1.01|2020-06-16|1|0.01|1|1|1.0
VALE3|1.01|2020-06-17|0|-0.0126110085073921|1|1|1.0
VALE3|1.01|2020-06-18|0|-0.0166873623735978|1|1|1.0
VALE3|1.01|2020-06-19|1|0.01|0|1|0.0
VALE3|1.01|2020-06-22|1|0.01|1|1|1.0
VALE3|1.01|2020-06-23|1|0.01|0|1|1.0
VALE3|1.01|2020-06-24|1|0.01|1|1|1.0
VALE3|1.01|2020-06-25|1|0.01|1|1|1.0
VALE3|1.01|2020-06-26|1|0.01|1|1|1.0
VALE3|1.01|2020-06-29|1|0.01|1|1|1.0
VALE3|1.01|2020-06-30|1|0.01|1|1|1.0
VALE3|1.01|2020-07-01|1|0.01|1|1|1.0
VALE3|1.01|2020-07-02|1|0.01|1|1|1.0
VALE3|1.01|2020-07-03|1|0.01|1|1|1.0
VALE3|1.01|2020-07-06|1|0.01|1|1|1.0
VALE3|1.01|2020-07-07|1|0.01|0|1|0.0
VALE3|1.01|2020-07-08|1|0.01|1|1|1.0
VALE3|1.01|2020-07-09|1|0.01|0|1|0.0
VALE3|1.01|2020-07-10|1|0.01|1|1|1.0
VALE3|1.01|2020-07-13|1|0.01|1|1|1.0
VALE3|1.01|2020-07-14|1|0.01|1|1|1.0
VALE3|1.01|2020-07-15|0|-0.0261011473856809|0|0|0.0
VALE3|1.01|2020-07-16|1|0.01|0|1|0.0
VALE3|1.01|2020-07-17|0|-0.0371400507967367|1|1|1.0
VALE3|1.01|2020-07-20|0|-0.0304434105900401|0|1|0.0
VALE3|1.01|2020-07-21|1|0.01|0|1|1.0
VALE3|1.01|2020-07-22|1|0.01|1|1|1.0
VALE3|1.01|2020-07-23|1|0.01|1|1|1.0
VALE3|1.01|2020-07-24|1|0.01|1|1|1.0
VALE3|1.01|2020-07-27|1|0.01|1|1|1.0
VALE3|1.01|2020-07-28|1|0.01|1|1|1.0
VALE3|1.01|2020-07-29|0|-0.0256821620514344|1|1|1.0
VALE3|1.01|2020-07-30|1|0.01|1|1|1.0
VALE3|1.01|2020-07-31|1|0.01|1|1|1.0
VALE3|1.01|2020-08-03|1|0.01|1|1|1.0
VALE3|1.01|2020-08-04|1|0.01|1|1|1.0
VALE3|1.01|2020-08-05|0|-0.0373682563472914|0|1|1.0
VALE3|1.01|2020-08-06|1|0.01|0|1|1.0
VALE3|1.01|2020-08-07|1|0.01|0|1|1.0
VALE3|1.01|2020-08-10|0|-0.0229335824594626|1|1|1.0
VALE3|1.01|2020-08-11|1|0.01|1|1|1.0
VALE3|1.01|2020-08-12|1|0.01|0|1|1.0
VALE3|1.01|2020-08-13|1|0.01|1|1|1.0
VALE3|1.01|2020-08-14|1|0.01|1|1|1.0
VALE3|1.01|2020-08-17|0|-0.017377564125757|1|1|1.0
VALE3|1.01|2020-08-18|0|-0.0070966770956596|1|1|1.0
VALE3|1.01|2020-08-19|1|0.01|0|1|1.0
VALE3|1.01|2020-08-20|1|0.01|1|1|1.0
VALE3|1.01|2020-08-21|0|-0.03415953373041|1|1|1.0
