ativo|target|data|Close|Open|Low|High|ln_open|ln_high|log_return|log_return_binario|esmble_jan_tot|esmble_jan_par|in_precision
ITUB4|1.01|2020-06-04|15.781222|15.248672|15.077073|15.875897|2.724492417294353|2.764802047119476|0.04030962982512287|1|1|1|1.0
ITUB4|1.01|2020-06-05|16.130337|16.662887|16.083|16.982417|2.813183911041564|2.832178514687305|0.018994603645741126|1|0|1|1.0
ITUB4|1.01|2020-06-08|16.781231|16.33744|16.278268|16.852238|2.7934594064110794|2.8244834669698076|0.031024060558728195|1|1|1|1.0
ITUB4|1.01|2020-06-09|16.449867|16.313771|16.130337|16.710225|2.7920095977564534|2.8160208075076736|0.024011209751220175|1|1|1|1.0
ITUB4|1.01|2020-06-10|15.733884|16.633301|15.668794|16.668804|2.8114067701996985|2.8135389485379907|0.0021321783382921566|0|1|1|1.0
ITUB4|1.01|2020-06-12|15.420271|15.331513|15.159914|15.603705|2.729910383382214|2.7475083860568312|0.01759800267461742|1|1|1|1.0
ITUB4|1.01|2020-06-15|15.059321|14.852218|14.810798|15.378851|2.6981492143649346|2.7329932538745365|0.03484403950960191|1|1|1|1.0
ITUB4|1.01|2020-06-16|15.491278|15.680629|15.207251|15.722049|2.752426128913603|2.7550641220185335|0.002637993104930292|0|1|1|1.0
ITUB4|1.01|2020-06-17|15.686546|15.491278|15.473526|15.940986|2.7402771558672736|2.7688935284126193|0.02861637254534566|1|1|1|1.0
ITUB4|1.01|2020-06-18|16.301937|15.680629|15.574119|16.514957|2.752426128913603|2.8042664551457515|0.05184032623214829|1|1|1|1.0
ITUB4|1.01|2020-06-19|16.621467|16.627384|16.319688|16.710225|2.8110509747575767|2.8160208075076736|0.004969832750096881|0|1|1|1.0
ITUB4|1.01|2020-06-22|16.106669|16.59188|15.923235|16.710225|2.8089134190598606|2.8160208075076736|0.007107388447813001|0|0|1|1.0
ITUB4|1.01|2020-06-23|15.893649|16.390695|15.716132|16.420281|2.7967137957615384|2.7985172171543438|0.0018034213928053155|0|0|1|1.0
ITUB4|1.01|2020-06-24|15.290092|15.852228|15.148079|15.929152|2.7633100582679027|2.7681508896111255|0.0048408313432228844|0|1|1|1.0
ITUB4|1.01|2020-06-25|15.473526|15.40252|15.094824|15.580036|2.7345311323962505|2.745990351094618|0.011459218698367746|1|1|1|1.0
ITUB4|1.01|2020-06-26|15.213169|15.213169|15.112576|15.514947|2.7221614343392906|2.7418038818455237|0.01964244750623312|1|1|1|1.0
ITUB4|1.01|2020-06-29|15.668794|15.325596|15.236837|15.692463|2.7295243717675195|2.7531805333925274|0.023656161625007943|1|1|1|1.0
ITUB4|1.01|2020-06-30|15.059321|15.514947|15.059321|15.568202|2.7418038818455237|2.7452305006934887|0.003426618847965024|0|0|1|1.0
ITUB4|1.01|2020-07-01|15.453042|15.157007|15.121482|15.51817|2.71846293328223|2.7420115954317286|0.02354866214949869|1|1|1|1.0
ITUB4|1.01|2020-07-02|15.719474|15.68987|15.636584|16.133923|2.75301528117843|2.7809240739733334|0.027908792794903547|1|1|1|1.0
ITUB4|1.01|2020-07-03|15.68987|15.624742|15.512249|15.802364|2.7488556834861404|2.760159549094092|0.01130386560795138|1|0|1|0.0
ITUB4|1.01|2020-07-06|16.418117|16.056954|15.897095|16.489165|2.7761420267692736|2.802703498539879|0.026561471770605305|1|1|1|1.0
ITUB4|1.01|2020-07-07|15.612901|16.240496|15.583297|16.406276|2.7875078761390597|2.797663944552546|0.010156068413486263|1|0|1|1.0
ITUB4|1.01|2020-07-08|15.950381|15.778681|15.68987|16.02735|2.7586597251053977|2.7742966379211143|0.015636912815716553|1|1|1|1.0
ITUB4|1.01|2020-07-09|15.956302|15.997747|15.737236|16.086557|2.7724478998247704|2.777983954265588|0.005536054440817839|0|1|1|1.0
ITUB4|1.01|2020-07-10|16.10432|15.956302|15.760919|16.169447|2.7698538609134316|2.783123473870013|0.013269612956581245|1|1|1|1.0
ITUB4|1.01|2020-07-13|15.867491|16.252337|15.867491|16.311544|2.788236713819921|2.791873078001566|0.0036363641816450354|0|1|1|1.0
ITUB4|1.01|2020-07-14|16.133923|15.837888|15.654346|16.234575|2.7624050441632675|2.787143227201688|0.02473818303842057|1|1|1|1.0
ITUB4|1.01|2020-07-15|16.246417|16.305624|16.02735|16.459562|2.791510078978168|2.800906584931324|0.009396505953155998|0|1|1|1.0
ITUB4|1.01|2020-07-16|15.974064|16.086557|15.93854|16.175368|2.777983954265588|2.7834895912873567|0.005505637021768539|0|0|1|0.0
ITUB4|1.01|2020-07-17|16.116161|16.051033|15.985905|16.222734|2.7757732088756373|2.7864135918196964|0.010640382944059112|1|1|1|1.0
ITUB4|1.01|2020-07-20|16.163527|16.133923|15.962223|16.299703|2.7809240739733334|2.791146886787819|0.010222812814485671|1|1|1|1.0
