ativo|target|data|Close|Open|Low|High|ln_open|ln_high|log_return|log_return_binario|esmble_jan_tot|esmble_jan_par|in_precision|compra_esmble_jan_tot|rend_decisao_esmble_jan_tot|dias_esmble_jan_tot|venda_esmble_jan_tot|compra_esmble_jan_par|rend_decisao_esmble_jan_par|dias_esmble_jan_par|venda_esmble_jan_par|compra_in_precision|rend_decisao_in_precision|dias_in_precision|venda_in_precision
PETR4|1.01|2020-06-04|6.372321|6.360427|6.256353|6.476396|1.8500955134631312|1.868164182803193|0.0180686693400615|1|1|1|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
PETR4|1.01|2020-06-05|6.571549|6.628047|6.559655|6.848089|1.89131019066772|1.9239696352503144|0.0326594445825942|1|1|1|1.0|6.628047|0.03319861793375942|0.0|6.694327469999999|6.628047|0.03319861793375942|0.0|6.694327469999999|6.628047|0.03319861793375942|0.0|6.694327469999999
PETR4|1.01|2020-06-08|6.699412|6.705359|6.544787|6.717253|1.9029070574330496|1.9046792911999304|0.0017722337668806|0|1|1|1.0|6.705359|0.0017738051012631446|1.0|0.0|6.705359|0.0017738051012631446|1.0|0.0|6.705359|0.0017738051012631446|1.0|0.0
PETR4|1.01|2020-06-09|6.458554|6.550734|6.434766|6.553708|1.8795771044374905|1.8800309963393445|0.0004538919018541|0|1|1|1.0|6.705359|-0.022616387877218702|2.0|0.0|6.705359|-0.022616387877218702|2.0|0.0|6.705359|-0.022616387877218702|2.0|0.0
PETR4|1.01|2020-06-10|6.363401|6.509105|6.244459|6.512078|1.8732019659703552|1.8736586065154828|0.0004566405451273|0|1|1|1.0|6.705359|-0.028824854866085443|3.0|0.0|6.705359|-0.028824854866085443|3.0|0.0|6.705359|-0.028824854866085443|3.0|0.0
PETR4|1.01|2020-06-12|6.125516|6.131464|5.976839|6.295009|1.813433546882476|1.8397570972014048|0.0263235503189287|1|1|1|1.0|6.705359|-0.06119731993469691|4.0|6.125516|6.705359|-0.06119731993469691|4.0|6.125516|6.705359|-0.06119731993469691|4.0|6.125516
PETR4|1.01|2020-06-15|6.155252|5.890606|5.81032|6.27122|1.773358878618946|1.8359709130695836|0.0626120344506375|1|1|1|1.0|5.890606|0.06461372565063757|0.0|5.94951206|5.890606|0.06461372565063757|0.0|5.94951206|5.890606|0.06461372565063757|0.0|5.94951206
PETR4|1.01|2020-06-16|6.35448|6.410977|6.295009|6.515052|1.8580116774148443|1.8741151921259227|0.0161035147110781|1|1|1|1.0|6.410977|0.016233875117630265|0.0|6.47508677|6.410977|0.016233875117630265|0.0|6.47508677|6.410977|0.016233875117630265|0.0|6.47508677
PETR4|1.01|2020-06-17|6.375295|6.387189|6.289062|6.49721|1.8542942654990813|1.8713728539864651|0.0170785884873838|1|1|1|1.0|6.387189|0.017225261378675298|0.0|6.45106089|6.387189|0.017225261378675298|0.0|6.45106089|6.387189|0.017225261378675298|0.0|6.45106089
PETR4|1.01|2020-06-18|6.422872|6.297982|6.268247|6.473422|1.840229264624574|1.8677048713206248|0.0274756066960504|1|1|1|1.0|6.297982|0.027856541984400723|0.0|6.36096182|6.297982|0.027856541984400723|0.0|6.36096182|6.297982|0.027856541984400723|0.0|6.36096182
