ativo|target|data|Close|Open|Low|High|ln_open|ln_high|log_return|log_return_binario|esmble_jan_tot|esmble_jan_par|in_precision|compra_esmble_jan_tot|rend_decisao_esmble_jan_tot|dias_esmble_jan_tot|venda_esmble_jan_tot|compra_esmble_jan_par|rend_decisao_esmble_jan_par|dias_esmble_jan_par|venda_esmble_jan_par|compra_in_precision|rend_decisao_in_precision|dias_in_precision|venda_in_precision
VALE3|1.01|2020-06-04|33.635192|32.462855|32.341996|33.659364|3.480096512624105|3.5162912937534907|0.0361947811293856|1|1|1|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
VALE3|1.01|2020-06-05|33.00068|34.076329|32.837519|34.263661|3.5286029790230575|3.5340853464980744|0.0054823674750168|0|1|1|1.0|34.076329|0.005497423152593633|1.0|0.0|34.076329|0.005497423152593633|1.0|0.0|34.076329|0.005497423152593633|1.0|0.0
VALE3|1.01|2020-06-08|33.10341|33.22427|32.619972|33.629149|3.5032806329508612|3.5153932206446146|0.0121125876937533|1|1|1|1.0|34.076329|-0.013122892433630483|2.0|0.0|34.076329|-0.013122892433630483|2.0|0.0|34.076329|-0.013122892433630483|2.0|0.0
VALE3|1.01|2020-06-09|33.230313|32.728746|32.704574|33.230313|3.488253774305232|3.503462501521661|0.0152087272164287|1|1|1|1.0|34.076329|-0.02482708744829875|3.0|0.0|34.076329|-0.02482708744829875|3.0|0.0|34.076329|-0.02482708744829875|3.0|0.0
VALE3|1.01|2020-06-10|32.752918|33.181969|32.487027|33.357215|3.5020066259792713|3.5072740907921993|0.005267464812928|0|0|1|1.0|34.076329|-0.02110303606940773|4.0|32.752918|34.076329|-0.02110303606940773|4.0|32.752918|34.076329|-0.02110303606940773|4.0|32.752918
VALE3|1.01|2020-06-12|32.26948|32.456812|31.411378|32.662273|3.4799103440777555|3.486220680956526|0.0063103368787706|0|1|1|1.0|0.0|0.0|0.0|0.0|32.456812|0.006330289000657232|1.0|0.0|32.456812|0.006330289000657232|1.0|0.0
VALE3|1.01|2020-06-15|32.559543|31.725612|31.502022|32.891906|3.4571243041945285|3.4932266092667934|0.0361023050722648|1|1|1|1.0|31.725612|0.036761907067387606|0.0|32.04286812|32.456812|0.013405321508470994|0.0|32.78138012|32.456812|0.013405321508470994|0.0|32.78138012
VALE3|1.01|2020-06-16|33.472032|33.532461|32.765004|33.538504|3.5125139547426603|3.512694151941742|0.0001801971990817|0|1|1|1.0|33.532461|0.00018021343557233542|1.0|0.0|33.532461|0.00018021343557233542|1.0|0.0|33.532461|0.00018021343557233542|1.0|0.0
VALE3|1.01|2020-06-17|33.961512|33.532461|33.327|34.106544|3.5125139547426603|3.5294892720361974|0.0169753172935371|1|1|1|1.0|33.532461|0.017120216735658077|0.0|33.86778561|33.532461|0.017120216735658077|0.0|33.86778561|33.532461|0.017120216735658077|0.0|33.86778561
VALE3|1.01|2020-06-18|33.943384|34.021942|33.604977|34.166974|3.5270056694066776|3.5312595049918487|0.0042538355851711|0|1|1|1.0|34.021942|0.004262895986360816|1.0|0.0|34.021942|0.004262895986360816|1.0|0.0|34.021942|0.004262895986360816|1.0|0.0
VALE3|1.01|2020-06-19|33.339086|34.040071|33.061109|34.203231|3.5275383894844317|3.5323201132904125|0.0047817238059808|0|0|1|0.0|34.021942|0.005328590590155012|2.0|0.0|34.021942|0.005328590590155012|2.0|0.0|34.021942|0.005328590590155012|2.0|0.0
VALE3|1.01|2020-06-22|33.236356|33.236356|32.891906|33.44786|3.503644337022298|3.5099878084439733|0.0063434714216752|0|1|1|1.0|34.021942|-0.016873875100957027|3.0|0.0|34.021942|-0.016873875100957027|3.0|0.0|34.021942|-0.016873875100957027|3.0|0.0
VALE3|1.01|2020-06-23|33.592891|33.556633|33.459946|34.17906|3.513234548794682|3.531613175846429|0.0183786270517472|1|0|1|1.0|34.021942|0.0046181373185574465|4.0|33.592891|34.021942|0.0046181373185574465|4.0|33.592891|34.021942|0.0046181373185574465|4.0|33.592891
VALE3|1.01|2020-06-24|33.472032|33.991727|33.127582|33.99777|3.5261171714787767|3.526294934229865|0.0001777627510883|0|1|1|1.0|0.0|0.0|0.0|0.0|33.991727|0.00017777855182248757|1.0|0.0|33.991727|0.00017777855182248757|1.0|0.0
VALE3|1.01|2020-06-25|33.840653|33.538504|33.157797|33.931298|3.512694151941742|3.524337833295785|0.0116436813540428|1|1|1|1.0|33.538504|0.01171173287872336|0.0|33.87388904|33.991727|-0.0017777560993002556|2.0|0.0|33.991727|-0.0017777560993002556|2.0|0.0
VALE3|1.01|2020-06-26|33.61102|33.780223|33.363258|34.414736|3.5198755128972365|3.538484844747245|0.0186093318500084|1|1|1|1.0|33.780223|0.01878356457267906|0.0|34.11802523|33.991727|0.012444469208640103|0.0|34.33164427|33.991727|0.012444469208640103|0.0|34.33164427
VALE3|1.01|2020-06-29|33.617063|33.502246|33.139668|33.786266|3.5116124813597396|3.5200543885530697|0.0084419071933301|0|1|1|1.0|33.502246|0.008477640573709542|1.0|0.0|33.502246|0.008477640573709542|1.0|0.0|33.502246|0.008477640573709542|1.0|0.0
VALE3|1.01|2020-06-30|33.792309|33.502246|33.242399|34.166974|3.5116124813597396|3.5312595049918487|0.0196470236321091|1|1|1|1.0|33.502246|0.019841296610382593|0.0|33.83726846|33.502246|0.019841296610382593|0.0|33.83726846|33.502246|0.019841296610382593|0.0|33.83726846
VALE3|1.01|2020-07-01|32.958379|33.888997|32.662273|33.888997|3.5230903894300383|3.5230903894300383|0.0|0|1|1|1.0|33.888997|0.0|1.0|0.0|33.888997|0.0|1.0|0.0|33.888997|0.0|1.0|0.0
VALE3|1.01|2020-07-02|33.532461|33.145711|33.085281|33.683536|3.500913326662557|3.517009171986774|0.0160958453242168|1|1|1|1.0|33.888997|-0.006062764265345674|2.0|0.0|33.888997|-0.006062764265345674|2.0|0.0|33.888997|-0.006062764265345674|2.0|0.0
VALE3|1.01|2020-07-03|33.393473|33.357215|33.194055|33.659364|3.5072740907921993|3.5162912937534907|0.0090172029612913|0|1|1|1.0|33.888997|-0.006776034121045448|3.0|0.0|33.888997|-0.006776034121045448|3.0|0.0|33.888997|-0.006776034121045448|3.0|0.0
VALE3|1.01|2020-07-06|34.185103|33.89504|33.592891|34.287833|3.523268690997294|3.5347905682107275|0.0115218772134335|1|1|1|1.0|33.888997|0.011768893602840938|0.0|34.22788697000001|33.888997|0.011768893602840938|0.0|34.22788697000001|33.888997|0.011768893602840938|0.0|34.22788697000001
VALE3|1.01|2020-07-07|34.064243|34.287833|33.901083|34.432864|3.5347905682107275|3.5390114571613|0.0042208889505723|0|0|1|0.0|34.287833|0.004229809448733696|1.0|0.0|34.287833|0.004229809448733696|1.0|0.0|34.287833|0.004229809448733696|1.0|0.0
VALE3|1.01|2020-07-08|34.638326|34.384521|33.713751|34.880045|3.5376064921818218|3.551914889177562|0.0143083969957396|1|1|1|1.0|34.287833|0.0172717826757965|0.0|34.63071133|34.287833|0.0172717826757965|0.0|34.63071133|34.287833|0.0172717826757965|0.0|34.63071133
VALE3|1.01|2020-07-09|34.094458|34.759185|33.876911|34.855873|3.5484438536320995|3.5512216452464194|0.0027777916143199|0|0|1|0.0|34.759185|0.002781653252226723|1.0|0.0|34.759185|0.002781653252226723|1.0|0.0|34.759185|0.002781653252226723|1.0|0.0
VALE3|1.01|2020-07-10|34.426821|34.154888|33.937341|34.62624|3.5309057090099394|3.5446117761406266|0.0137060671306872|1|1|1|1.0|34.759185|-0.0038247444524375186|2.0|0.0|34.759185|-0.0038247444524375186|2.0|0.0|34.759185|-0.0038247444524375186|2.0|0.0
VALE3|1.01|2020-07-13|34.837744|34.886087|34.837744|35.786491|3.552088096429903|3.577570475824883|0.0254823793949801|1|1|1|1.0|34.759185|0.02955495072741193|0.0|35.10677685|34.759185|0.02955495072741193|0.0|35.10677685|34.759185|0.02955495072741193|0.0|35.10677685
VALE3|1.01|2020-07-14|37.285148|35.000904|34.988818|37.448308|3.5553738897272904|3.62296152870225|0.0675876389749596|1|1|1|1.0|35.000904|0.06992402253381795|0.0|35.35091304|35.000904|0.06992402253381795|0.0|35.35091304|35.000904|0.06992402253381795|0.0|35.35091304
