ativo|target|data|Close|Open|Low|High|ln_open|ln_high|log_return|log_return_binario|esmble_jan_tot|esmble_jan_par|in_precision|compra_esmble_jan_tot|rend_decisao_esmble_jan_tot|dias_esmble_jan_tot|venda_esmble_jan_tot|compra_esmble_jan_par|rend_decisao_esmble_jan_par|dias_esmble_jan_par|venda_esmble_jan_par|compra_in_precision|rend_decisao_in_precision|dias_in_precision|venda_in_precision|dinheiro_esmble_jan_tot|investido_esmble_jan_tot|qtde_ativos_esmble_jan_tot|capital_teorico_esmble_jan_tot|dinheiro_esmble_jan_par|investido_esmble_jan_par|qtde_ativos_esmble_jan_par|capital_teorico_esmble_jan_par|dinheiro_in_precision|investido_in_precision|qtde_ativos_in_precision|capital_teorico_in_precision
VALE3|1.01|2020-06-04|33.635192|32.462855|32.341996|33.659364|3.480096512624105|3.5162912937534907|0.0361947811293856|1|1|1|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1000.0|0.0|0.0|1000.0|1000.0|0.0|0.0|1000.0|1000.0|0.0|0.0|1000.0
VALE3|1.01|2020-06-05|33.00068|34.076329|32.837519|34.263661|3.5286029790230575|3.5340853464980744|0.0054823674750168|0|1|1|1.0|34.076329|0.0054974231525936|1.0|0.0|34.076329|0.0054974231525936|1.0|0.0|34.076329|0.0054974231525936|1.0|0.0|0.0|1000.0|29.3458840592835|1000.0|0.0|1000.0|29.3458840592835|1000.0|0.0|1000.0|29.3458840592835|1000.0
VALE3|1.01|2020-06-08|33.10341|33.22427|32.619972|33.629149|3.5032806329508612|3.5153932206446146|0.0121125876937533|1|1|1|1.0|34.076329|-0.0131228924336304|2.0|0.0|34.076329|-0.0131228924336304|2.0|0.0|34.076329|-0.0131228924336304|2.0|0.0|0.0|1000.0|29.3458840592835|1000.0|0.0|1000.0|29.3458840592835|1000.0|0.0|1000.0|29.3458840592835|1000.0
VALE3|1.01|2020-06-09|33.230313|32.728746|32.704574|33.230313|3.488253774305232|3.503462501521661|0.0152087272164287|1|1|1|1.0|34.076329|-0.0248270874482987|3.0|0.0|34.076329|-0.0248270874482987|3.0|0.0|34.076329|-0.0248270874482987|3.0|0.0|0.0|1000.0|29.3458840592835|1000.0|0.0|1000.0|29.3458840592835|1000.0|0.0|1000.0|29.3458840592835|1000.0
VALE3|1.01|2020-06-10|32.752918|33.181969|32.487027|33.357215|3.5020066259792713|3.5072740907921993|0.005267464812928|0|0|1|1.0|34.076329|-0.0211030360694077|4.0|32.752918|34.076329|-0.0211030360694077|4.0|32.752918|34.076329|-0.0211030360694077|4.0|32.752918|0.0|1000.0|29.3458840592835|1000.0|0.0|1000.0|29.3458840592835|1000.0|0.0|1000.0|29.3458840592835|1000.0
VALE3|1.01|2020-06-12|32.26948|32.456812|31.411378|32.662273|3.4799103440777555|3.486220680956526|0.0063103368787706|0|1|1|1.0|0.0|0.0|0.0|0.0|32.456812|0.0063302890006572|1.0|0.0|32.456812|0.0063302890006572|1.0|0.0|961.1633342312197|0.0|0.0|961.1633342312197|0.0|961.1633342312197|29.613608823664496|961.1633342312197|0.0|961.1633342312197|29.613608823664496|961.1633342312197
VALE3|1.01|2020-06-15|32.559543|31.725612|31.502022|32.891906|3.4571243041945285|3.4932266092667934|0.0361023050722648|1|1|1|1.0|31.725612|0.0367619070673876|0.0|32.04286812|32.456812|0.0134053215084709|0.0|32.78138012|32.456812|0.0134053215084709|0.0|32.78138012|0.0|961.1633342312197|30.296132167008146|961.1633342312197|0.0|961.1633342312197|29.613608823664496|961.1633342312197|0.0|961.1633342312197|29.613608823664496|961.1633342312197
VALE3|1.01|2020-06-16|33.472032|33.532461|32.765004|33.538504|3.5125139547426603|3.512694151941742|0.0001801971990817|0|1|1|1.0|33.532461|0.0001802134355723|1.0|0.0|33.532461|0.0001802134355723|1.0|0.0|33.532461|0.0001802134355723|1.0|0.0|0.0|970.7749675735319|28.950304827716998|970.7749675735319|0.0|970.774967573532|28.950304827717|970.774967573532|0.0|970.774967573532|28.950304827717|970.774967573532
VALE3|1.01|2020-06-17|33.961512|33.532461|33.327|34.106544|3.5125139547426603|3.5294892720361974|0.0169753172935371|1|1|1|1.0|33.532461|0.017120216735658|0.0|33.86778561|33.532461|0.017120216735658|0.0|33.86778561|33.532461|0.017120216735658|0.0|33.86778561|0.0|970.7749675735319|28.950304827716998|970.7749675735319|0.0|970.774967573532|28.950304827717|970.774967573532|0.0|970.774967573532|28.950304827717|970.774967573532
VALE3|1.01|2020-06-18|33.943384|34.021942|33.604977|34.166974|3.5270056694066776|3.5312595049918487|0.0042538355851711|0|1|1|1.0|34.021942|0.0042628959863608|1.0|0.0|34.021942|0.0042628959863608|1.0|0.0|34.021942|0.0042628959863608|1.0|0.0|0.0|980.4827172492672|28.81912846860027|980.4827172492672|0.0|980.4827172492674|28.819128468600272|980.4827172492674|0.0|980.4827172492674|28.819128468600272|980.4827172492674
VALE3|1.01|2020-06-19|33.339086|34.040071|33.061109|34.203231|3.5275383894844317|3.5323201132904125|0.0047817238059808|0|0|1|0.0|34.021942|0.005328590590155|2.0|0.0|34.021942|0.005328590590155|2.0|0.0|34.021942|0.005328590590155|2.0|0.0|0.0|980.4827172492672|28.81912846860027|980.4827172492672|0.0|980.4827172492674|28.819128468600272|980.4827172492674|0.0|980.4827172492674|28.819128468600272|980.4827172492674
VALE3|1.01|2020-06-22|33.236356|33.236356|32.891906|33.44786|3.503644337022298|3.5099878084439733|0.0063434714216752|0|1|1|1.0|34.021942|-0.016873875100957|3.0|0.0|34.021942|-0.016873875100957|3.0|0.0|34.021942|-0.016873875100957|3.0|0.0|0.0|980.4827172492672|28.81912846860027|980.4827172492672|0.0|980.4827172492674|28.819128468600272|980.4827172492674|0.0|980.4827172492674|28.819128468600272|980.4827172492674
VALE3|1.01|2020-06-23|33.592891|33.556633|33.459946|34.17906|3.513234548794682|3.531613175846429|0.0183786270517472|1|0|1|1.0|34.021942|0.0046181373185574|4.0|33.592891|34.021942|0.0046181373185574|4.0|33.592891|34.021942|0.0046181373185574|4.0|33.592891|0.0|980.4827172492672|28.81912846860027|980.4827172492672|0.0|980.4827172492674|28.819128468600272|980.4827172492674|0.0|980.4827172492674|28.819128468600272|980.4827172492674
