ativo,target,janela,tecnica,data,target_pred,resultado_real,valor_obtido
ITUB4-50,1.01,15,RNA,2005-02-18,1,0.0747330960854093,107473.30960854093
ITUB4-50,1.01,15,RNA,2005-02-21,1,0.0709219858156029,107473.30960854093
ITUB4-50,1.01,15,RNA,2005-02-22,1,0.0449826989619377,107473.30960854093
ITUB4-50,1.01,15,RNA,2005-02-23,1,0.0486111111111111,107473.30960854093
ITUB4-50,1.01,15,RNA,2005-02-24,0,-0.016611295681063,107473.30960854093
ITUB4-50,1.01,15,RNA,2005-02-25,1,0.0370370370370369,111453.8025570054
ITUB4-50,1.01,15,RNA,2005-02-28,0,0.1041666666666667,111453.8025570054
ITUB4-50,1.01,15,RNA,2005-03-01,0,0.0816326530612245,111453.8025570054
ITUB4-50,1.01,15,RNA,2005-03-02,1,0.06,118141.03071042574
ITUB4-50,1.01,15,RNA,2005-03-03,1,0.0258064516129032,118141.03071042574
ITUB4-50,1.01,15,RNA,2005-03-04,1,-0.0223642172523961,118141.03071042574
ITUB4-50,1.01,15,RNA,2005-03-07,1,-0.0287539936102235,118141.03071042574
ITUB4-50,1.01,15,RNA,2005-03-08,1,0.0161812297734629,120052.69787402487
ITUB4-50,1.01,15,RNA,2005-03-09,1,-0.03257328990228,120052.69787402487
ITUB4-50,1.01,15,RNA,2005-03-10,1,-0.0226537216828478,120052.69787402487
ITUB4-50,1.01,15,RNA,2005-03-11,1,0.0133333333333334,120052.69787402487
ITUB4-50,1.01,15,RNA,2005-03-14,1,-0.0263157894736841,116893.41635102424
ITUB4-50,1.01,15,RNA,2005-03-15,1,0.0305084745762711,116893.41635102424
ITUB4-50,1.01,15,RNA,2005-03-16,0,-0.0631229235880398,116893.41635102424
ITUB4-50,1.01,15,RNA,2005-03-17,0,-0.0897009966777406,116893.41635102424
ITUB4-50,1.01,15,Random Forest,2005-02-18,1,0.0747330960854093,107473.30960854093
ITUB4-50,1.01,15,Random Forest,2005-02-21,1,0.0709219858156029,107473.30960854093
ITUB4-50,1.01,15,Random Forest,2005-02-22,1,0.0449826989619377,107473.30960854093
ITUB4-50,1.01,15,Random Forest,2005-02-23,1,0.0486111111111111,107473.30960854093
ITUB4-50,1.01,15,Random Forest,2005-02-24,1,-0.016611295681063,105688.03868481104
ITUB4-50,1.01,15,Random Forest,2005-02-25,1,0.0370370370370369,105688.03868481104
ITUB4-50,1.01,15,Random Forest,2005-02-28,1,0.1041666666666667,105688.03868481104
ITUB4-50,1.01,15,Random Forest,2005-03-01,1,0.0816326530612245,105688.03868481104
ITUB4-50,1.01,15,Random Forest,2005-03-02,0,0.06,105688.03868481104
ITUB4-50,1.01,15,Random Forest,2005-03-03,1,0.0258064516129032,108415.47194119326
ITUB4-50,1.01,15,Random Forest,2005-03-04,1,-0.0223642172523961,108415.47194119326
ITUB4-50,1.01,15,Random Forest,2005-03-07,1,-0.0287539936102235,108415.47194119326
ITUB4-50,1.01,15,Random Forest,2005-03-08,1,0.0161812297734629,110169.76760367212
ITUB4-50,1.01,15,Random Forest,2005-03-09,1,-0.03257328990228,110169.76760367212
ITUB4-50,1.01,15,Random Forest,2005-03-10,1,-0.0226537216828478,110169.76760367212
ITUB4-50,1.01,15,Random Forest,2005-03-11,1,0.0133333333333334,110169.76760367212
ITUB4-50,1.01,15,Random Forest,2005-03-14,1,-0.0263157894736841,107270.5631930492
ITUB4-50,1.01,15,Random Forest,2005-03-15,1,0.0305084745762711,107270.5631930492
ITUB4-50,1.01,15,Random Forest,2005-03-16,0,-0.0631229235880398,107270.5631930492
ITUB4-50,1.01,15,Random Forest,2005-03-17,0,-0.0897009966777406,107270.5631930492
ITUB4-50,1.01,15,SVC,2005-02-18,1,0.0747330960854093,107473.30960854093
