ativo,target,janela,tecnica,data,target_pred,resultado_real,valor_obtido
PETR4-50,1.01,15,RNA,2005-02-21,1,0.086021505376344,108602.1505376344
PETR4-50,1.01,15,RNA,2005-02-22,0,0.0706713780918726,108602.1505376344
PETR4-50,1.01,15,RNA,2005-02-23,0,0.0448275862068965,108602.1505376344
PETR4-50,1.01,15,RNA,2005-02-24,1,0.0271186440677964,108602.1505376344
PETR4-50,1.01,15,RNA,2005-02-25,0,0.0133779264214044,108602.1505376344
PETR4-50,1.01,15,RNA,2005-02-28,0,0.0616438356164383,108602.1505376344
PETR4-50,1.01,15,RNA,2005-03-01,0,0.0947368421052632,108602.1505376344
PETR4-50,1.01,15,RNA,2005-03-02,1,0.0505050505050503,114087.10763549471
PETR4-50,1.01,15,RNA,2005-03-03,0,0.0229508196721313,114087.10763549471
PETR4-50,1.01,15,RNA,2005-03-04,1,-0.0801282051282051,104945.51247239418
PETR4-50,1.01,15,RNA,2005-03-07,1,-0.0686274509803921,104945.51247239418
PETR4-50,1.01,15,RNA,2005-03-08,1,0.0198019801980198,104945.51247239418
PETR4-50,1.01,15,RNA,2005-03-09,1,-0.0372881355932204,101032.28997342354
PETR4-50,1.01,15,RNA,2005-03-11,1,-0.017361111111111,101032.28997342354
PETR4-50,1.01,15,RNA,2005-03-14,1,-0.0174216027874565,101032.28997342354
PETR4-50,1.01,15,RNA,2005-03-15,1,0.0474452554744524,101032.28997342354
PETR4-50,1.01,15,RNA,2005-03-16,1,-0.0557491289198607,95399.8278146264
PETR4-50,1.01,15,Random Forest,2005-02-21,1,0.086021505376344,108602.1505376344
PETR4-50,1.01,15,Random Forest,2005-02-22,0,0.0706713780918726,108602.1505376344
PETR4-50,1.01,15,Random Forest,2005-02-23,0,0.0448275862068965,108602.1505376344
PETR4-50,1.01,15,Random Forest,2005-02-24,0,0.0271186440677964,108602.1505376344
PETR4-50,1.01,15,Random Forest,2005-02-25,0,0.0133779264214044,108602.1505376344
PETR4-50,1.01,15,Random Forest,2005-02-28,0,0.0616438356164383,108602.1505376344
PETR4-50,1.01,15,Random Forest,2005-03-01,0,0.0947368421052632,108602.1505376344
PETR4-50,1.01,15,Random Forest,2005-03-02,1,0.0505050505050503,114087.10763549471
PETR4-50,1.01,15,Random Forest,2005-03-03,0,0.0229508196721313,114087.10763549471
PETR4-50,1.01,15,Random Forest,2005-03-04,1,-0.0801282051282051,104945.51247239418
PETR4-50,1.01,15,Random Forest,2005-03-07,1,-0.0686274509803921,104945.51247239418
PETR4-50,1.01,15,Random Forest,2005-03-08,1,0.0198019801980198,104945.51247239418
PETR4-50,1.01,15,Random Forest,2005-03-09,0,-0.0372881355932204,104945.51247239418
PETR4-50,1.01,15,Random Forest,2005-03-11,1,-0.017361111111111,103123.54176974845
PETR4-50,1.01,15,Random Forest,2005-03-14,1,-0.0174216027874565,103123.54176974845
PETR4-50,1.01,15,Random Forest,2005-03-15,1,0.0474452554744524,103123.54176974845
PETR4-50,1.01,15,Random Forest,2005-03-16,1,-0.0557491289198607,97374.49414495411
PETR4-50,1.01,15,SVC,2005-02-21,1,0.086021505376344,108602.1505376344
PETR4-50,1.01,15,SVC,2005-02-22,1,0.0706713780918726,108602.1505376344
PETR4-50,1.01,15,SVC,2005-02-23,0,0.0448275862068965,108602.1505376344
PETR4-50,1.01,15,SVC,2005-02-24,1,0.0271186440677964,108602.1505376344
PETR4-50,1.01,15,SVC,2005-02-25,0,0.0133779264214044,108602.1505376344
PETR4-50,1.01,15,SVC,2005-02-28,0,0.0616438356164383,108602.1505376344
PETR4-50,1.01,15,SVC,2005-03-01,0,0.0947368421052632,108602.1505376344
PETR4-50,1.01,15,SVC,2005-03-02,0,0.0505050505050503,114087.10763549471
PETR4-50,1.01,15,SVC,2005-03-03,0,0.0229508196721313,114087.10763549471
PETR4-50,1.01,15,SVC,2005-03-04,1,-0.0801282051282051,104945.51247239418
PETR4-50,1.01,15,SVC,2005-03-07,0,-0.0686274509803921,104945.51247239418
PETR4-50,1.01,15,SVC,2005-03-08,1,0.0198019801980198,104945.51247239418
PETR4-50,1.01,15,SVC,2005-03-09,1,-0.0372881355932204,101032.28997342354
PETR4-50,1.01,15,SVC,2005-03-11,1,-0.017361111111111,101032.28997342354
PETR4-50,1.01,15,SVC,2005-03-14,1,-0.0174216027874565,101032.28997342354
PETR4-50,1.01,15,SVC,2005-03-15,1,0.0474452554744524,101032.28997342354
PETR4-50,1.01,15,SVC,2005-03-16,0,-0.0557491289198607,95399.8278146264
PETR4-50,1.01,20,RNA,2005-02-28,0,0.0616438356164383,100000.0
PETR4-50,1.01,20,RNA,2005-03-01,0,0.0947368421052632,100000.0
PETR4-50,1.01,20,RNA,2005-03-02,0,0.0505050505050503,100000.0
PETR4-50,1.01,20,RNA,2005-03-03,0,0.0229508196721313,102295.08196721313
PETR4-50,1.01,20,RNA,2005-03-04,1,-0.0801282051282051,94098.36065573774
PETR4-50,1.01,20,RNA,2005-03-07,1,-0.0686274509803921,94098.36065573774
PETR4-50,1.01,20,RNA,2005-03-08,1,0.0198019801980198,94098.36065573774
PETR4-50,1.01,20,RNA,2005-03-09,1,-0.0372881355932204,94098.36065573774
PETR4-50,1.01,20,RNA,2005-03-11,1,-0.017361111111111,92464.70856102007
PETR4-50,1.01,20,RNA,2005-03-14,1,-0.0174216027874565,92464.70856102007
PETR4-50,1.01,20,RNA,2005-03-15,0,0.0474452554744524,92464.70856102007
PETR4-50,1.01,20,RNA,2005-03-16,1,-0.0557491289198607,92464.70856102007
PETR4-50,1.01,20,Random Forest,2005-02-28,0,0.0616438356164383,100000.0
PETR4-50,1.01,20,Random Forest,2005-03-01,0,0.0947368421052632,100000.0
PETR4-50,1.01,20,Random Forest,2005-03-02,1,0.0505050505050503,105050.50505050505
PETR4-50,1.01,20,Random Forest,2005-03-03,0,0.0229508196721313,105050.50505050505
PETR4-50,1.01,20,Random Forest,2005-03-04,1,-0.0801282051282051,96632.99663299664
PETR4-50,1.01,20,Random Forest,2005-03-07,1,-0.0686274509803921,96632.99663299664
PETR4-50,1.01,20,Random Forest,2005-03-08,1,0.0198019801980198,96632.99663299664
PETR4-50,1.01,20,Random Forest,2005-03-09,1,-0.0372881355932204,96632.99663299664
PETR4-50,1.01,20,Random Forest,2005-03-11,1,-0.017361111111111,94955.34044145157
PETR4-50,1.01,20,Random Forest,2005-03-14,1,-0.0174216027874565,94955.34044145157
PETR4-50,1.01,20,Random Forest,2005-03-15,1,0.0474452554744524,94955.34044145157
PETR4-50,1.01,20,Random Forest,2005-03-16,0,-0.0557491289198607,94955.34044145157
PETR4-50,1.01,20,SVC,2005-02-28,0,0.0616438356164383,100000.0
PETR4-50,1.01,20,SVC,2005-03-01,0,0.0947368421052632,100000.0
PETR4-50,1.01,20,SVC,2005-03-02,0,0.0505050505050503,100000.0
PETR4-50,1.01,20,SVC,2005-03-03,0,0.0229508196721313,102295.08196721313
PETR4-50,1.01,20,SVC,2005-03-04,1,-0.0801282051282051,94098.36065573774
PETR4-50,1.01,20,SVC,2005-03-07,1,-0.0686274509803921,94098.36065573774
PETR4-50,1.01,20,SVC,2005-03-08,1,0.0198019801980198,94098.36065573774
PETR4-50,1.01,20,SVC,2005-03-09,1,-0.0372881355932204,94098.36065573774
PETR4-50,1.01,20,SVC,2005-03-11,1,-0.017361111111111,92464.70856102007
PETR4-50,1.01,20,SVC,2005-03-14,1,-0.0174216027874565,92464.70856102007
PETR4-50,1.01,20,SVC,2005-03-15,1,0.0474452554744524,92464.70856102007
PETR4-50,1.01,20,SVC,2005-03-16,0,-0.0557491289198607,92464.70856102007
PETR4-50,1.01,25,RNA,2005-03-07,1,-0.0686274509803921,93137.25490196078
PETR4-50,1.01,25,RNA,2005-03-08,1,0.0198019801980198,93137.25490196078
PETR4-50,1.01,25,RNA,2005-03-09,1,-0.0372881355932204,93137.25490196078
PETR4-50,1.01,25,RNA,2005-03-11,1,-0.017361111111111,93137.25490196078
PETR4-50,1.01,25,RNA,2005-03-14,1,-0.0174216027874565,91514.65464234473
PETR4-50,1.01,25,RNA,2005-03-15,1,0.0474452554744524,91514.65464234473
PETR4-50,1.01,25,RNA,2005-03-16,1,-0.0557491289198607,91514.65464234473
PETR4-50,1.01,25,Random Forest,2005-03-07,1,-0.0686274509803921,93137.25490196078
PETR4-50,1.01,25,Random Forest,2005-03-08,1,0.0198019801980198,93137.25490196078
PETR4-50,1.01,25,Random Forest,2005-03-09,1,-0.0372881355932204,93137.25490196078
PETR4-50,1.01,25,Random Forest,2005-03-11,1,-0.017361111111111,93137.25490196078
PETR4-50,1.01,25,Random Forest,2005-03-14,1,-0.0174216027874565,91514.65464234473
PETR4-50,1.01,25,Random Forest,2005-03-15,1,0.0474452554744524,91514.65464234473
PETR4-50,1.01,25,Random Forest,2005-03-16,0,-0.0557491289198607,91514.65464234473
PETR4-50,1.01,25,SVC,2005-03-07,1,-0.0686274509803921,93137.25490196078
