ativo,target,janela,tecnica,data,target_real,target_pred,resultado_real,valor_obtido,investido,disponivel,inicio_janela,fim_janela
PETR4,1.01,15,RNA,2005-02-18,1,1,0.0763636363636364,101000.0,101000.0,0,2005-02-18 00:00:00,2005-02-18 00:00:00
PETR4,1.01,15,RNA,2005-02-21,1,0,0.086021505376344,101000.0,0,101000.0,2005-02-21 00:00:00,2005-02-24 00:00:00
PETR4,1.01,15,RNA,2005-02-22,1,0,0.0706713780918726,101000.0,0,101000.0,2005-02-21 00:00:00,2005-02-24 00:00:00
PETR4,1.01,15,RNA,2005-02-23,1,0,0.0448275862068965,101000.0,0,101000.0,2005-02-21 00:00:00,2005-02-24 00:00:00
PETR4,1.01,15,RNA,2005-02-24,1,1,0.0271186440677964,102010.0,102010.0,0,2005-02-21 00:00:00,2005-02-24 00:00:00
PETR4,1.01,15,RNA,2005-02-25,1,0,0.0133779264214044,102010.0,0,102010.0,2005-02-25 00:00:00,2005-03-02 00:00:00
PETR4,1.01,15,RNA,2005-02-28,1,0,0.0616438356164383,102010.0,0,102010.0,2005-02-25 00:00:00,2005-03-02 00:00:00
PETR4,1.01,15,RNA,2005-03-01,1,0,0.0947368421052632,102010.0,0,102010.0,2005-02-25 00:00:00,2005-03-02 00:00:00
PETR4,1.01,15,RNA,2005-03-02,1,1,0.0505050505050503,103030.1,103030.1,0,2005-02-25 00:00:00,2005-03-02 00:00:00
PETR4,1.01,15,RNA,2005-03-03,1,0,0.0229508196721313,103030.1,0,103030.1,2005-03-03 00:00:00,2005-03-08 00:00:00
PETR4,1.01,15,RNA,2005-03-04,0,0,-0.0641025641025642,103030.1,0,103030.1,2005-03-03 00:00:00,2005-03-08 00:00:00
PETR4,1.01,15,RNA,2005-03-07,0,0,-0.0620915032679738,103030.1,0,103030.1,2005-03-03 00:00:00,2005-03-08 00:00:00
PETR4,1.01,15,RNA,2005-03-08,1,1,0.0198019801980198,104060.40100000001,104060.40100000001,0,2005-03-03 00:00:00,2005-03-08 00:00:00
PETR4,1.01,15,RNA,2005-03-09,0,1,-0.0733333333333333,105101.00501000001,105101.00501000001,0,2005-03-09 00:00:00,2005-03-09 00:00:00
PETR4,1.01,15,RNA,2005-03-10,0,1,-0.0372881355932204,106152.0150601,106152.0150601,0,2005-03-10 00:00:00,2005-03-10 00:00:00
PETR4,1.01,15,RNA,2005-03-11,0,1,-0.003472222222222,107213.53521070101,107213.53521070101,0,2005-03-11 00:00:00,2005-03-11 00:00:00
PETR4,1.01,15,RNA,2005-03-14,0,1,-0.0139372822299651,108285.67056280802,108285.67056280802,0,2005-03-14 00:00:00,2005-03-14 00:00:00
PETR4,1.01,15,RNA,2005-03-15,1,1,0.0510948905109487,109368.52726843611,109368.52726843611,0,2005-03-15 00:00:00,2005-03-15 00:00:00
PETR4,1.01,15,RNA,2005-03-16,1,1,0.032258064516129,110462.21254112048,110462.21254112048,0,2005-03-16 00:00:00,2005-03-16 00:00:00
PETR4,1.01,15,RNA,2005-03-17,0,0,-0.0557491289198607,104304.04041339249,104304.04041339249,0,2005-03-17 00:00:00,2005-03-17 00:00:00
PETR4,1.01,15,Random Forest,2005-02-18,1,1,0.0763636363636364,101000.0,101000.0,0,2005-02-18 00:00:00,2005-02-18 00:00:00
PETR4,1.01,15,Random Forest,2005-02-21,1,1,0.086021505376344,102010.0,102010.0,0,2005-02-21 00:00:00,2005-02-21 00:00:00
PETR4,1.01,15,Random Forest,2005-02-22,1,1,0.0706713780918726,103030.1,103030.1,0,2005-02-22 00:00:00,2005-02-22 00:00:00
PETR4,1.01,15,Random Forest,2005-02-23,1,0,0.0448275862068965,103030.1,0,103030.1,2005-02-23 00:00:00,2005-02-24 00:00:00
PETR4,1.01,15,Random Forest,2005-02-24,1,1,0.0271186440677964,104060.40100000001,104060.40100000001,0,2005-02-23 00:00:00,2005-02-24 00:00:00
PETR4,1.01,15,Random Forest,2005-02-25,1,1,0.0133779264214044,105101.00501000001,105101.00501000001,0,2005-02-25 00:00:00,2005-02-25 00:00:00
