Exchange Date,Close,Open,Low,High,Volume
2-jan.-2020,"9,128804","9,072306","9,012835","9,128804",37774500.0
3-jan.-2020,"9,054465","9,182328","9,054465","9,289375",71595600.0
6-jan.-2020,"9,161513","9,048518","8,905787","9,200169",81844000.0
7-jan.-2020,"9,12583","9,164486","9,060412","9,182328",32822000.0
8-jan.-2020,"9,069333","9,12583","8,99202","9,149618",48215600.0
9-jan.-2020,"9,039597","9,060412","8,994994","9,105015",36102700.0
10-jan.-2020,"9,000941","9,036624","8,959311","9,051491",25397500.0
13-jan.-2020,"9,018782","9,024729","8,9831","9,048518",30676800.0
14-jan.-2020,"8,920655","8,989047","8,852263","9,000941",39796500.0
15-jan.-2020,"8,786845","8,890919","8,783872","8,89984",34405700.0
16-jan.-2020,"8,777925","8,801713","8,721427","8,831448",28997400.0
17-jan.-2020,"8,876052","8,837396","8,783872","8,876052",34908000.0
20-jan.-2020,"8,920655","8,831448","8,816581","8,950391",31241400.0
21-jan.-2020,"8,80766","8,861184","8,786845","8,902814",28577400.0
22-jan.-2020,"8,709533","8,840369","8,703586","8,864158",32491500.0
23-jan.-2020,"8,801713","8,650062","8,569776","8,84929",53752100.0
24-jan.-2020,"8,712506","8,789819","8,66493","8,855237",36898700.0
27-jan.-2020,"8,334865","8,513278","8,227817","8,516252",66105300.0
28-jan.-2020,"8,563829","8,453807","8,450834","8,66493",47259100.0
29-jan.-2020,"8,578697","8,6233","8,525173","8,647088",42297500.0
30-jan.-2020,"8,605459","8,409204","8,379469","8,635194",44266800.0
31-jan.-2020,"8,459755","8,513278","8,418125","8,575723",55446700.0
3-fev.-2020,"8,379469","8,480569","8,373522","8,543014",39452800.0
4-fev.-2020,"8,513278","8,519226","8,492464","8,635194",57658400.0
5-fev.-2020,"8,441913","8,638168","8,441913","8,688718",67994500.0
6-fev.-2020,"8,676824","8,534093","8,361627","8,774951",126114000.0
7-fev.-2020,"8,602485","8,6233","8,543014","8,727374",54514600.0
10-fev.-2020,"8,661956","8,590591","8,516252","8,661956",45328100.0
11-fev.-2020,"8,76603","8,742242","8,700612","8,810634",37518200.0
12-fev.-2020,"8,959311","8,813607","8,810634","9,003914",64851000.0
13-fev.-2020,"8,837396","8,852263","8,813607","8,9831",55277100.0
14-fev.-2020,"8,748189","8,879025","8,724401","8,908761",30399900.0
17-fev.-2020,"8,730348","8,810634","8,71548","8,852263",38684900.0
18-fev.-2020,"8,846316","8,641141","8,608432","8,852263",33890900.0
19-fev.-2020,"9,0842","8,881999","8,84929","9,0842",44181800.0
20-fev.-2020,"8,896867","9,158539","8,846316","9,185301",73522900.0
21-fev.-2020,"8,66493","8,774951","8,63222","8,825501",47805100.0
26-fev.-2020,"7,793679","8,040484","7,740155","8,144558",89207100.0
27-fev.-2020,"7,523086","7,647975","7,40117","7,888833",100112100.0
28-fev.-2020,"7,53498","7,481456","7,320884","7,600398",89095300.0
2-mar.-2020,"7,888833","7,582557","7,57661","7,954251",71596400.0
3-mar.-2020,"7,746102","7,900727","7,659869","8,17132",86855700.0
4-mar.-2020,"7,99588","8,001828","7,8026","8,010748",42320500.0
5-mar.-2020,"7,520112","7,829362","7,347646","7,930462",69722300.0
6-mar.-2020,"6,788618","7,16626","6,705359","7,17518",138597600.0
9-mar.-2020,"4,77255","5,295896","4,582243","5,420785",252818600.0
10-mar.-2020,"5,221557","5,545674","4,867704","5,545674",169491500.0
11-mar.-2020,"4,713079","4,965831","4,460328","5,093694",129762400.0
12-mar.-2020,"3,746675","4,061872","3,294695","4,121343",149988500.0
13-mar.-2020,"4,57927","4,490063","3,776411","4,57927",173046800.0
16-mar.-2020,"3,892379","3,838855","3,731807","4,192708",125346000.0
17-mar.-2020,"3,865617","4,04403","3,865617","4,115396",148051800.0
18-mar.-2020,"3,35714","3,505817","3,232251","3,654495",161408100.0
19-mar.-2020,"3,630707","3,291722","3,226304","3,886432",155410800.0
20-mar.-2020,"3,568262","3,898326","3,517712","4,014295",148237800.0
23-mar.-2020,"3,419584","3,600971","3,354166","3,621786",106106400.0
24-mar.-2020,"3,939956","3,737754","3,651521","4,026189",113403000.0
25-mar.-2020,"4,258126","3,936982","3,815067","4,397883",157331500.0
26-mar.-2020,"4,278941","4,281914","4,106475","4,516825",129591700.0
27-mar.-2020,"3,954824","3,954824","3,939956","4,070792",100330500.0
30-mar.-2020,"3,978612","3,91022","3,815067","4,08566",110533100.0
31-mar.-2020,"4,159999","4,04403","4,04403","4,323544",155314800.0
1-abr.-2020,"4,252179","3,999427","3,960771","4,326518",113484400.0
2-abr.-2020,"4,611979","4,57927","4,463301","4,921228",233805800.0
3-abr.-2020,"4,561428","4,846889","4,439513","4,864731",142008100.0
6-abr.-2020,"4,689291","4,77255","4,513851","4,787418",122543300.0
7-abr.-2020,"4,876625","4,939069","4,858783","5,075853",139719500.0
8-abr.-2020,"5,150191","4,90636","4,876625","5,212636",114581800.0
9-abr.-2020,"5,001514","5,334552","4,90636","5,557568",184868500.0
13-abr.-2020,"5,034223","5,001514","4,85581","5,0818",93256500.0
