Exchange Date,Close,Open,Low,High,Volume
2-jan.-2020,"32,831476","32,619972","32,480984","32,897949",17509700.0
3-jan.-2020,"32,589757","32,438683","32,378253","32,934207",17284800.0
6-jan.-2020,"32,396382","32,511199","32,118405","32,511199",32787800.0
7-jan.-2020,"32,632058","32,32991","32,26948","32,746875",16326400.0
8-jan.-2020,"32,638101","32,752918","32,402425","32,855648",15298500.0
9-jan.-2020,"32,20905","32,480984","32,057976","32,5535",14638000.0
10-jan.-2020,"32,245308","32,480984","32,094234","32,5535",9129200.0
13-jan.-2020,"33,417645","32,414511","32,335953","33,623106",27497400.0
14-jan.-2020,"33,623106","33,417645","33,236356","34,052157",27817000.0
15-jan.-2020,"33,514332","33,417645","33,302828","33,888997",21425300.0
16-jan.-2020,"33,339086","33,598934","33,296785","33,810438",13149100.0
17-jan.-2020,"34,44495","33,991727","33,901083","34,499337",36524100.0
20-jan.-2020,"34,662497","34,44495","34,160931","34,662497",16746300.0
21-jan.-2020,"33,858782","34,324091","33,683536","34,450993",25436800.0
22-jan.-2020,"34,021942","34,203231","33,876911","34,354306",17269400.0
23-jan.-2020,"33,538504","33,496204","33,061109","33,677493",23028900.0
24-jan.-2020,"32,511199","33,61102","32,444726","33,677493",19744800.0
27-jan.-2020,"30,52306","31,218002","30,504932","31,31469",38779700.0
28-jan.-2020,"30,940026","30,940026","30,86751","31,47785",23046400.0
29-jan.-2020,"30,668092","31,242174","30,492846","31,356991",23323000.0
30-jan.-2020,"31,121315","30,19674","30,094009","31,121315",23083200.0
31-jan.-2020,"30,378029","30,794994","30,094009","30,855424",29988200.0
3-fev.-2020,"30,764779","30,517017","30,094009","30,873553",18858200.0
4-fev.-2020,"31,586624","31,544323","31,405335","31,773956",21559200.0
5-fev.-2020,"32,021718","32,221136","32,021718","32,402425",26797700.0
6-fev.-2020,"32,196964","32,426597","31,918987","32,583714",22155800.0
7-fev.-2020,"31,483893","31,955245","31,37512","32,003589",14450900.0
10-fev.-2020,"30,329685","31,363034","30,166525","31,363034",28244800.0
11-fev.-2020,"31,453678","30,909811","30,831252","31,544323",27560600.0
12-fev.-2020,"32,070062","32,088191","31,92503","32,257394",28539800.0
13-fev.-2020,"31,508065","31,556409","31,157573","31,665182",20105600.0
14-fev.-2020,"30,819166","31,550366","30,788951","31,592667",19896200.0
17-fev.-2020,"32,275523","31,248217","31,193831","32,275523",28134200.0
18-fev.-2020,"31,906901","31,755827","31,495979","32,057976",18054400.0
19-fev.-2020,"31,912944","31,98546","31,665182","32,100277",14439700.0
20-fev.-2020,"31,544323","32,190921","31,459721","32,323867",18818800.0
21-fev.-2020,"30,293427","30,819166","30,094009","30,903768",32249900.0
26-fev.-2020,"27,404886","28,196516","27,22964","28,305289",46923300.0
27-fev.-2020,"26,873104","26,981878","26,323194","27,519702",42419000.0
28-fev.-2020,"26,776417","26,583042","26,105647","26,776417",33228600.0
2-mar.-2020,"28,015226","27,120866","27,078565","28,456363",48372500.0
3-mar.-2020,"28,009183","28,244859","27,83998","29,664958",52401800.0
4-mar.-2020,"29,350724","29,006274","28,401977","29,664958",31476600.0
5-mar.-2020,"28,311332","28,800813","27,767464","28,976059",29092300.0
6-mar.-2020,"26,957706","26,709944","26,37758","27,688906",39718600.0
9-mar.-2020,"22,86057","24,443829","22,848484","25,102513",58884700.0
10-mar.-2020,"27,078565","25,32006","24,655333","27,398843",62965600.0
11-mar.-2020,"24,619075","25,99083","23,567598","26,764331",49607200.0
12-mar.-2020,"21,361912","21,754706","19,60945","21,754706",61994500.0
13-mar.-2020,"25,924357","25,38049","22,359003","26,607213",67248300.0
16-mar.-2020,"23,59177","21,760748","21,760748","25,017911",58833500.0
17-mar.-2020,"25,084384","24,474044","23,63407","26,329237",52585900.0
18-mar.-2020,"23,356094","23,446738","21,573416","24,697634",59550300.0
19-mar.-2020,"21,996424","22,661152","21,307525","23,567598",52142800.0
20-mar.-2020,"21,265225","22,902871","20,975162","23,81536",50199700.0
23-mar.-2020,"20,60654","21,482772","20,165403","21,670104",41743200.0
24-mar.-2020,"22,745753","22,274401","22,274401","23,356094",36949000.0
25-mar.-2020,"24,685548","23,078117","23,017687","24,987696",37932500.0
