Exchange Date,Close,Open,Low,High,Volume,data_adicional,ibov_status
2005-01-24,2.53,2.51,2.51,2.54,61143555.0,0,1.0
2005-01-26,2.49,2.53,2.48,2.53,186350114.0,0,1.0
2005-01-27,2.45,2.49,2.44,2.5,128313834.0,0,1.0
2005-01-28,2.45,2.45,2.43,2.46,59614981.0,0,1.0
2005-01-31,2.52,2.49,2.49,2.54,75036002.0,0,1.0
2005-02-01,2.58,2.52,2.51,2.59,106097877.0,0,1.0
2005-02-02,2.65,2.59,2.57,2.66,70610325.0,0,1.0
2005-02-03,2.74,2.65,2.65,2.75,88839065.0,0,1.0
2005-02-04,2.84,2.73,2.73,2.85,124679923.0,0,1.0
2005-02-09,2.81,2.78,2.78,2.84,115562835.0,0,1.0
2005-02-10,2.8,2.81,2.78,2.82,80950392.0,0,1.0
2005-02-11,2.8,2.8,2.76,2.82,124783197.0,0,1.0
2005-02-14,2.9,2.81,2.8,2.9,68733881.0,0,1.0
2005-02-15,2.93,2.89,2.89,2.94,135732640.0,0,1.0
2005-02-16,2.87,2.92,2.87,2.93,106406491.0,0,1.0
2005-02-17,2.89,2.89,2.86,2.93,114153237.0,0,1.0
2005-02-18,2.8,2.89,2.8,2.89,52964387.0,0,1.0
2005-02-19,2.8,2.89,2.8,2.89,52964387.0,1,
2005-02-21,2.79,2.81,2.77,2.85,59997880.0,0,1.0
2005-02-22,2.86,2.82,2.79,2.89,121202432.0,0,1.0
2005-02-23,2.86,2.89,2.84,2.89,65761889.0,0,1.0
2005-02-24,3.0,2.88,2.88,3.02,111824442.0,0,1.0
2005-02-25,2.96,3.01,2.95,3.02,93148786.0,0,1.0
2005-02-28,2.91,2.97,2.88,2.97,77751923.0,0,1.0
2005-03-01,2.93,2.88,2.87,2.95,165157233.0,0,1.0
2005-03-02,2.96,2.94,2.92,2.97,137461723.0,0,1.0
2005-03-03,3.07,3.0,2.99,3.08,100269850.0,0,1.0
2005-03-04,3.15,3.1,3.1,3.18,152690086.0,0,1.0
2005-03-07,3.13,3.13,3.13,3.15,116285752.0,0,1.0
2005-03-08,3.13,3.13,3.1,3.13,60862119.0,0,1.0
2005-03-09,3.07,3.09,3.02,3.14,64682647.0,0,1.0
2005-03-10,3.06,3.07,3.04,3.09,62294062.0,0,1.0
2005-03-11,3.04,3.09,3.01,3.09,88128831.0,0,1.0
2005-03-14,3.0,3.0,3.0,3.04,78799156.0,0,1.0
2005-03-15,2.97,3.04,2.96,3.04,89471995.0,0,1.0
2005-03-16,3.02,2.95,2.93,3.02,42018567.0,0,1.0
2005-03-17,3.04,3.01,2.95,3.04,60815011.0,0,1.0
2005-03-18,2.96,3.01,2.93,3.03,80740825.0,0,1.0
2005-03-21,2.86,2.96,2.85,2.96,50721955.0,0,1.0
2005-03-22,2.82,2.86,2.81,2.92,73257396.0,0,1.0
2005-03-23,2.74,2.79,2.74,2.82,109101878.0,0,1.0
2005-03-24,2.86,2.74,2.74,2.87,95908190.0,0,1.0
2005-03-28,2.79,2.83,2.78,2.86,52199194.0,0,1.0
2005-03-29,2.73,2.8,2.73,2.83,130739259.0,0,1.0
2005-03-30,2.78,2.74,2.73,2.79,58062250.0,0,1.0
2005-03-31,2.82,2.78,2.78,2.82,101763999.0,0,1.0
2005-04-01,2.81,2.82,2.81,2.87,60545654.0,0,1.0
2005-04-04,2.78,2.81,2.76,2.81,40105886.0,0,1.0
2005-04-05,2.77,2.77,2.76,2.82,70562613.0,0,1.0
2005-04-06,2.77,2.77,2.76,2.8,68092496.0,0,1.0
2005-04-07,2.78,2.77,2.76,2.78,68142019.0,0,1.0
