Exchange Date,Close,Open,Low,High,Volume,data_adicional,ibov_status
2005-01-24,2.46,2.43,2.43,2.48,14510592,0,1.0
2005-01-26,2.52,2.49,2.49,2.52,35121120,0,1.0
2005-01-27,2.51,2.51,2.49,2.53,39477216,0,1.0
2005-01-28,2.48,2.51,2.47,2.51,27937952,0,1.0
2005-01-31,2.52,2.5,2.48,2.52,20391776,0,1.0
2005-02-01,2.51,2.51,2.49,2.52,39912800,0,1.0
2005-02-02,2.54,2.51,2.51,2.55,31782048,0,1.0
2005-02-03,2.57,2.55,2.53,2.57,31958816,0,1.0
2005-02-04,2.6,2.48,2.47,2.61,87421312,0,1.0
2005-02-09,2.71,2.72,2.67,2.76,69923328,0,1.0
2005-02-10,2.7,2.68,2.66,2.71,31607392,0,1.0
2005-02-11,2.75,2.7,2.7,2.77,51271968,0,1.0
2005-02-14,2.72,2.73,2.71,2.74,30236064,0,1.0
2005-02-15,2.7,2.68,2.67,2.72,44371904,0,1.0
2005-02-16,2.74,2.71,2.68,2.74,91332448,0,1.0
2005-02-17,2.74,2.75,2.74,2.79,56661856,0,1.0
2005-02-18,2.74,2.75,2.71,2.75,28768576,0,1.0
2005-02-19,5.0,3.0,2.0,6.0,60000000,0,
2005-02-21,2.78,2.75,2.75,2.78,41726112,0,1.0
2005-02-22,2.8,2.79,2.77,2.85,45945952,0,1.0
2005-02-23,2.86,2.83,2.82,2.86,47778304,0,1.0
2005-02-24,2.95,2.9,2.9,2.96,50220864,0,1.0
2005-02-25,3.02,2.95,2.93,3.03,52230368,0,1.0
2005-02-28,2.97,2.99,2.89,3.03,52230784,0,1.0
2005-03-01,2.85,2.92,2.83,2.92,58305696,0,1.0
2005-03-02,2.93,2.85,2.82,2.94,48295104,0,1.0
2005-03-03,3.03,2.97,2.97,3.03,58471200,0,1.0
2005-03-04,3.08,3.05,3.05,3.1,34130432,0,1.0
2005-03-07,3.09,3.12,3.04,3.12,26649728,0,1.0
2005-03-08,3.06,3.06,3.04,3.06,31497568,0,1.0
2005-03-09,3.0,3.03,2.99,3.09,29061920,0,1.0
2005-03-10,2.92,3.0,2.9,3.02,39286528,0,1.0
2005-03-11,2.87,2.95,2.86,2.96,34795520,0,1.0
2005-03-14,2.85,2.88,2.8,2.89,42610816,0,1.0
2005-03-15,2.78,2.87,2.77,2.88,47739584,0,1.0
2005-03-16,2.84,2.74,2.72,2.84,50365088,0,1.0
2005-03-17,2.87,2.79,2.79,2.88,34710656,0,1.0
2005-03-18,2.83,2.87,2.79,2.87,30921056,0,1.0
2005-03-21,2.82,2.83,2.8,2.84,49182976,0,1.0
2005-03-22,2.75,2.83,2.72,2.84,50603680,0,1.0
2005-03-23,2.71,2.76,2.7,2.76,49730528,0,1.0
2005-03-24,2.74,2.75,2.71,2.77,22459328,0,1.0
2005-03-28,2.69,2.73,2.69,2.74,20220064,0,1.0
2005-03-29,2.65,2.71,2.63,2.74,31816544,0,1.0
2005-03-30,2.71,2.66,2.64,2.72,34635584,0,1.0
2005-03-31,2.75,2.73,2.71,2.77,33314048,0,1.0
2005-04-01,2.77,2.78,2.74,2.8,40746816,0,1.0
2005-04-04,2.77,2.78,2.75,2.82,30847296,0,1.0
2005-04-05,2.71,2.78,2.7,2.81,29362112,0,1.0
2005-04-06,2.7,2.72,2.67,2.75,35820352,0,1.0
2005-04-07,2.71,2.74,2.66,2.74,33674848,0,1.0
