Exchange Date,Close,Open,Low,High,Volume,data_adicional,ibov_status
2005-01-24,8.05,7.88,7.88,8.18,900620.0,0,1.0
2005-01-26,8.02,7.99,7.88,8.07,985196.0,0,1.0
2005-01-27,7.95,7.92,7.78,7.95,1026908.0,0,1.0
2005-01-28,7.81,7.92,7.76,7.94,662780.0,0,1.0
2005-01-31,7.8,7.88,7.74,7.88,537136.0,0,1.0
2005-02-01,7.84,7.82,7.78,7.92,1494632.0,0,1.0
2005-02-02,7.76,7.88,7.76,7.94,681256.0,0,1.0
2005-02-03,7.66,7.76,7.61,7.77,349128.0,0,1.0
2005-02-04,7.65,7.66,7.48,7.77,548868.0,0,1.0
2005-02-09,7.53,7.67,7.53,7.67,775716.0,0,1.0
2005-02-10,7.49,7.54,7.41,7.63,972612.0,0,1.0
2005-02-11,7.46,7.53,7.41,7.6,1022480.0,0,1.0
2005-02-14,7.58,7.46,7.43,7.63,1139928.0,0,1.0
2005-02-15,7.73,7.56,7.56,7.77,1059248.0,0,1.0
2005-02-16,7.68,7.78,7.65,7.8,2161144.0,0,1.0
2005-02-17,7.86,7.83,7.68,7.94,1703176.0,0,1.0
2005-02-18,8.0,7.88,7.83,8.1,579432.0,0,1.0
2005-02-19,8.0,7.88,7.83,8.1,579432.0,1,
2005-02-21,8.22,8.06,8.0,8.22,435432.0,0,1.0
2005-02-22,8.53,8.71,8.5,8.9,5532668.0,0,1.0
2005-02-23,8.87,8.65,8.58,8.88,4433908.0,0,1.0
2005-02-24,9.43,8.96,8.96,9.44,2512408.0,0,1.0
2005-02-25,9.11,9.45,8.91,9.5,2181500.0,0,1.0
2005-02-28,8.91,9.25,8.84,9.25,2010212.0,0,1.0
2005-03-01,8.62,8.88,8.62,8.96,2934516.0,0,1.0
2005-03-02,8.83,8.63,8.49,8.87,3135432.0,0,1.0
2005-03-03,9.11,9.15,9.01,9.2,1987732.0,0,1.0
2005-03-04,9.4,9.21,9.17,9.4,2000836.0,0,1.0
2005-03-07,9.34,9.5,9.28,9.55,2073064.0,0,1.0
2005-03-08,9.18,9.29,9.02,9.3,1529444.0,0,1.0
2005-03-09,9.11,9.13,9.11,9.31,1140748.0,0,1.0
2005-03-10,8.9,9.14,8.75,9.2,1332244.0,0,1.0
2005-03-11,8.89,9.06,8.86,9.09,1225856.0,0,1.0
2005-03-14,8.76,8.89,8.69,8.99,956472.0,0,1.0
2005-03-15,8.69,8.86,8.68,8.91,2198700.0,0,1.0
2005-03-16,8.61,8.71,8.47,8.71,2670752.0,0,1.0
2005-03-17,9.03,8.56,8.5,9.03,1739588.0,0,1.0
2005-03-18,8.87,9.01,8.81,9.03,1459368.0,0,1.0
2005-03-21,8.77,9.03,8.77,9.09,1130800.0,0,1.0
2005-03-22,8.73,8.84,8.7,9.01,1495260.0,0,1.0
2005-03-23,8.21,8.69,8.2,8.81,1508180.0,0,1.0
2005-03-24,8.5,8.46,8.34,8.6,937224.0,0,1.0
2005-03-28,8.28,8.56,8.24,8.61,1574764.0,0,1.0
2005-03-29,7.9,8.29,7.88,8.42,1721068.0,0,1.0
2005-03-30,8.14,8.05,7.93,8.17,1419688.0,0,1.0
2005-03-31,8.37,8.17,8.17,8.41,1483464.0,0,1.0
2005-04-01,8.32,8.47,8.3,8.56,869288.0,0,1.0
2005-04-04,8.08,8.25,8.05,8.25,948328.0,0,1.0
2005-04-05,7.99,8.18,7.93,8.25,1090948.0,0,1.0
2005-04-06,7.88,8.07,7.87,8.07,1962504.0,0,1.0
2005-04-07,8.02,7.96,7.85,8.02,1591872.0,0,1.0
