Exchange Date,Close,Open,Low,High,Volume
2-jan.-2020,"21,773935","21,344526","21,178487","21,773935",22732707.726729
3-jan.-2020,"21,544917","21,470486","21,441859","21,89417",27380537.261946
6-jan.-2020,"21,224291","21,499113","21,132684","21,51629",24524167.547583
7-jan.-2020,"20,731901","21,224291","20,731901","21,321624",22000987.799901
8-jan.-2020,"20,394099","20,869312","20,394099","21,075429",28578987.142101
9-jan.-2020,"19,987591","20,491432","19,764298","20,571588",53266174.673383
10-jan.-2020,"19,810102","20,084924","19,792925","20,296766",28073757.192624
13-jan.-2020,"20,073473","20,050571","19,890258","20,268139",32120766.787923
14-jan.-2020,"20,073473","19,993316","19,827278","20,073473",20276627.972337
15-jan.-2020,"19,827278","19,97614","19,695592","20,004767",36033246.396675
16-jan.-2020,"19,867356","19,981866","19,707043","20,079198",25143247.485675
17-jan.-2020,"20,004767","19,981866","19,884533","20,210884",21695187.830481
20-jan.-2020,"19,59826","19,924611","19,558181","20,03912",20154417.984558
21-jan.-2020,"19,180301","19,472299","19,145948","19,741396",29565907.043409
22-jan.-2020,"19,29481","19,380692","19,180301","19,506652",19187848.081215
23-jan.-2020,"19,752847","19,180301","19,123046","19,930336",36385356.361464
24-jan.-2020,"19,603985","19,815827","19,437947","19,821553",16231708.376829
27-jan.-2020,"19,180301","19,317712","19,128772","19,518103",15825808.417419
28-jan.-2020,"19,174575","19,334888","19,065792","19,449398",18903938.109606
29-jan.-2020,"18,876851","19,289085","18,848224","19,346339",22078537.792146
30-jan.-2020,"19,151673","18,693636","18,653558","19,151673",45968775.403122
31-jan.-2020,"18,790969","18,888302","18,630656","19,117321",28005777.199422
3-fev.-2020,"18,845385","18,902666","18,782376","19,080237",19344598.06554
4-fev.-2020,"18,994315","19,108877","18,845385","19,166158",17303328.269667
5-fev.-2020,"19,108877","19,30936","19,108877","19,544211",38271086.172891
6-fev.-2020,"19,063052","19,303632","18,965675","19,326544",29136577.086342
7-fev.-2020,"19,30936","18,931307","18,902666","19,561395",40828695.91713
10-fev.-2020,"19,63586","19,320816","19,292176","19,801975",50615174.938483
11-fev.-2020,"20,088379","20,139932","19,842071","20,306046",105065279.493472
12-fev.-2020,"20,008186","20,14566","19,910808","20,32323",72906012.709399
13-fev.-2020,"19,698869","19,882168","19,590036","19,927993",22312947.768705
14-fev.-2020,"19,366641","19,630132","19,286448","19,704597",34655936.534406
17-fev.-2020,"19,18907","19,469746","19,108877","19,469746",35458496.45415
18-fev.-2020,"19,269263","19,120333","18,885482","19,326544",26344997.3655
19-fev.-2020,"19,544211","19,303632","19,200526","19,716054",21751617.824838
20-fev.-2020,"19,475474","19,60722","19,378097","19,630132",52809564.719044
21-fev.-2020,"19,290542","19,34957","19,154776","19,420405",21451317.854868
26-fev.-2020,"18,328376","18,35789","18,163096","18,653033",38754316.124568
27-fev.-2020,"18,340181","18,121776","18,045038","19,083942",67110443.288956
28-fev.-2020,"18,889147","18,35789","18,180804","18,93637",61673143.832686
2-mar.-2020,"18,827143","18,838954","18,4669","19,069274",56402934.359707
3-mar.-2020,"18,484616","18,691313","18,283825","18,880294",48060095.19399
4-mar.-2020,"18,661785","18,785803","18,266108","18,797615",34352886.564711
5-mar.-2020,"18,023977","18,460994","17,823186","18,596823",33448026.655197
6-mar.-2020,"17,640112","17,48066","17,315302","17,923582",35671126.432887
9-mar.-2020,"16,417647","16,535759","16,163705","16,801512",52008984.799102
10-mar.-2020,"16,825135","17,421603","16,281817","17,539716",48876955.112304
11-mar.-2020,"15,455029","16,417647","14,781788","16,618438",52362634.763737
12-mar.-2020,"13,937283","13,701058","13,234513","14,504223",64112833.588717
13-mar.-2020,"15,478652","15,909763","13,966811","16,051498",98438000.1562
16-mar.-2020,"14,055395","13,878226","13,417587","15,153842",68368513.163149
17-mar.-2020,"14,882183","14,474695","13,878226","15,773933",77186772.281323
18-mar.-2020,"13,848698","14,155791","12,720723","14,321149",91951630.804837
19-mar.-2020,"13,494361","13,447116","12,478593","14,014056",80756161.924384
20-mar.-2020,"13,02191","13,813264","12,756157","14,155791",80471371.952863
23-mar.-2020,"12,118349","13,145929","11,811257","13,281758",58634174.136583
24-mar.-2020,"13,287664","12,815213","12,697101","13,748303",56468604.35314
25-mar.-2020,"13,937283","13,128212","12,998288","14,604619",48037985.196201
26-mar.-2020,"14,321149","14,309337","14,00815","14,657769",55708614.429139
27-mar.-2020,"13,565228","13,594756","13,293569","14,185319",46000675.399932
30-mar.-2020,"14,23847","13,647907","13,482549","14,403827",33160816.683918
31-mar.-2020,"13,636096","14,14398","13,470738","14,321149",44266525.573347
1-abr.-2020,"12,646265","13,130841","12,522166","13,225393",48427605.157239
2-abr.-2020,"12,705359","12,634446","12,498528","13,000833",42925955.707404
3-abr.-2020,"12,208964","12,658083","11,824848","12,69354",40952995.9047
6-abr.-2020,"13,107203","13,083565","12,935829","13,402677",43081825.691817
7-abr.-2020,"13,59178","13,887253","13,544504","14,111813",41757315.824268
8-abr.-2020,"14,289097","13,597689","13,556323","14,413196",44879335.512066
9-abr.-2020,"13,887253","14,454562","13,887253","14,596389",40801525.919847
13-abr.-2020,"14,182727","13,857706","13,603599","14,182727",23550997.6449
14-abr.-2020,"14,360011","14,454562","14,360011","14,862316",37066036.293396
15-abr.-2020,"13,828158","14,094085","13,81043","14,466381",38030846.196915
16-abr.-2020,"13,4795","14,005443","13,47359","14,076356",33909476.609052
17-abr.-2020,"13,721788","13,851796","13,36131","13,952257",27607247.239275
20-abr.-2020,"13,379039","13,426315","13,296306","13,574051",31218436.878156
22-abr.-2020,"13,219483","13,237211","13,124932","13,668603",52588904.74111
23-abr.-2020,"13,03038","13,390858","12,906281","13,438133",45107035.489296
24-abr.-2020,"12,338972","12,847187","12,037589","12,894462",75336132.466387
27-abr.-2020,"12,746726","12,728997","12,46898","13,083565",42121965.787803
28-abr.-2020,"13,798611","13,579961","13,349491","13,952257",63669643.633036
