Exchange Date,Close,Open,Low,High,Volume
24-jan.-2005,"2,46","2,43","2,43","2,48",14.510.592
26-jan.-2005,"2,52","2,49","2,49","2,52",35.121.120
27-jan.-2005,"2,51","2,51","2,49","2,53",39.477.216
28-jan.-2005,"2,48","2,51","2,47","2,51",27.937.952
31-jan.-2005,"2,52","2,50","2,48","2,52",20.391.776
01-feb.-2005,"2,51","2,51","2,49","2,52",39.912.800
02-feb.-2005,"2,54","2,51","2,51","2,55",31.782.048
03-feb.-2005,"2,57","2,55","2,53","2,57",31.958.816
04-feb.-2005,"2,60","2,48","2,47","2,61",87.421.312
09-feb.-2005,"2,71","2,72","2,67","2,76",69.923.328
10-feb.-2005,"2,70","2,68","2,66","2,71",31.607.392
11-feb.-2005,"2,75","2,70","2,70","2,77",51.271.968
14-feb.-2005,"2,72","2,73","2,71","2,74",30.236.064
15-feb.-2005,"2,70","2,68","2,67","2,72",44.371.904
16-feb.-2005,"2,74","2,71","2,68","2,74",91.332.448
17-feb.-2005,"2,74","2,75","2,74","2,79",56.661.856
18-feb.-2005,"2,74","2,75","2,71","2,75",28.768.576
19-feb.-2005,"5,00","3,00","2,00","6,00",60.000.000
21-feb.-2005,"2,78","2,75","2,75","2,78",41.726.112
22-feb.-2005,"2,80","2,79","2,77","2,85",45.945.952
23-feb.-2005,"2,86","2,83","2,82","2,86",47.778.304
24-feb.-2005,"2,95","2,90","2,90","2,96",50.220.864
25-feb.-2005,"3,02","2,95","2,93","3,03",52.230.368
28-feb.-2005,"2,97","2,99","2,89","3,03",52.230.784
01-mar.-2005,"2,85","2,92","2,83","2,92",58.305.696
02-mar.-2005,"2,93","2,85","2,82","2,94",48.295.104
03-mar.-2005,"3,03","2,97","2,97","3,03",58.471.200
04-mar.-2005,"3,08","3,05","3,05","3,10",34.130.432
07-mar.-2005,"3,09","3,12","3,04","3,12",26.649.728
08-mar.-2005,"3,06","3,06","3,04","3,06",31.497.568
09-mar.-2005,"3,00","3,03","2,99","3,09",29.061.920
10-mar.-2005,"2,92","3,00","2,90","3,02",39.286.528
11-mar.-2005,"2,87","2,95","2,86","2,96",34.795.520
14-mar.-2005,"2,85","2,88","2,80","2,89",42.610.816
15-mar.-2005,"2,78","2,87","2,77","2,88",47.739.584
16-mar.-2005,"2,84","2,74","2,72","2,84",50.365.088
17-mar.-2005,"2,87","2,79","2,79","2,88",34.710.656
18-mar.-2005,"2,83","2,87","2,79","2,87",30.921.056
21-mar.-2005,"2,82","2,83","2,80","2,84",49.182.976
22-mar.-2005,"2,75","2,83","2,72","2,84",50.603.680
23-mar.-2005,"2,71","2,76","2,70","2,76",49.730.528
24-mar.-2005,"2,74","2,75","2,71","2,77",22.459.328
28-mar.-2005,"2,69","2,73","2,69","2,74",20.220.064
29-mar.-2005,"2,65","2,71","2,63","2,74",31.816.544
30-mar.-2005,"2,71","2,66","2,64","2,72",34.635.584
31-mar.-2005,"2,75","2,73","2,71","2,77",33.314.048
01-apr.-2005,"2,77","2,78","2,74","2,80",40.746.816
04-apr.-2005,"2,77","2,78","2,75","2,82",30.847.296
05-apr.-2005,"2,71","2,78","2,70","2,81",29.362.112
06-apr.-2005,"2,70","2,72","2,67","2,75",35.820.352
07-apr.-2005,"2,71","2,74","2,66","2,74",33.674.848
