Exchange Date,Close,Open,Low,High,Volume
24-jan.-2005,"8,05","7,88","7,88","8,18",900.620
26-jan.-2005,"8,02","7,99","7,88","8,07",985.196
27-jan.-2005,"7,95","7,92","7,78","7,95",1.026.908
28-jan.-2005,"7,81","7,92","7,76","7,94",662.780
31-jan.-2005,"7,80","7,88","7,74","7,88",537.136
01-feb.-2005,"7,84","7,82","7,78","7,92",1.494.632
02-feb.-2005,"7,76","7,88","7,76","7,94",681.256
03-feb.-2005,"7,66","7,76","7,61","7,77",349.128
04-feb.-2005,"7,65","7,66","7,48","7,77",548.868
09-feb.-2005,"7,53","7,67","7,53","7,67",775.716
10-feb.-2005,"7,49","7,54","7,41","7,63",972.612
11-feb.-2005,"7,46","7,53","7,41","7,60",1.022.480
14-feb.-2005,"7,58","7,46","7,43","7,63",1.139.928
15-feb.-2005,"7,73","7,56","7,56","7,77",1.059.248
16-feb.-2005,"7,68","7,78","7,65","7,80",2.161.144
17-feb.-2005,"7,86","7,83","7,68","7,94",1.703.176
18-feb.-2005,"8,00","7,88","7,83","8,10",579.432
21-feb.-2005,"8,22","8,06","8,00","8,22",435.432
22-feb.-2005,"8,53","8,71","8,50","8,90",5.532.668
23-feb.-2005,"8,87","8,65","8,58","8,88",4.433.908
24-feb.-2005,"9,43","8,96","8,96","9,44",2.512.408
25-feb.-2005,"9,11","9,45","8,91","9,50",2.181.500
28-feb.-2005,"8,91","9,25","8,84","9,25",2.010.212
01-mar.-2005,"8,62","8,88","8,62","8,96",2.934.516
02-mar.-2005,"8,83","8,63","8,49","8,87",3.135.432
03-mar.-2005,"9,11","9,15","9,01","9,20",1.987.732
04-mar.-2005,"9,40","9,21","9,17","9,40",2.000.836
07-mar.-2005,"9,34","9,50","9,28","9,55",2.073.064
08-mar.-2005,"9,18","9,29","9,02","9,30",1.529.444
09-mar.-2005,"9,11","9,13","9,11","9,31",1.140.748
10-mar.-2005,"8,90","9,14","8,75","9,20",1.332.244
11-mar.-2005,"8,89","9,06","8,86","9,09",1.225.856
14-mar.-2005,"8,76","8,89","8,69","8,99",956.472
15-mar.-2005,"8,69","8,86","8,68","8,91",2.198.700
16-mar.-2005,"8,61","8,71","8,47","8,71",2.670.752
17-mar.-2005,"9,03","8,56","8,50","9,03",1.739.588
18-mar.-2005,"8,87","9,01","8,81","9,03",1.459.368
21-mar.-2005,"8,77","9,03","8,77","9,09",1.130.800
22-mar.-2005,"8,73","8,84","8,70","9,01",1.495.260
23-mar.-2005,"8,21","8,69","8,20","8,81",1.508.180
24-mar.-2005,"8,50","8,46","8,34","8,60",937.224
28-mar.-2005,"8,28","8,56","8,24","8,61",1.574.764
29-mar.-2005,"7,90","8,29","7,88","8,42",1.721.068
30-mar.-2005,"8,14","8,05","7,93","8,17",1.419.688
31-mar.-2005,"8,37","8,17","8,17","8,41",1.483.464
01-apr.-2005,"8,32","8,47","8,30","8,56",869.288
04-apr.-2005,"8,08","8,25","8,05","8,25",948.328
05-apr.-2005,"7,99","8,18","7,93","8,25",1.090.948
06-apr.-2005,"7,88","8,07","7,87","8,07",1.962.504
07-apr.-2005,"8,02","7,96","7,85","8,02",1.591.872
