Exchange Date,Close,Open,Low,High,Volume
24-jan.-2005,"2,53","2,51","2,51","2,54",61.143.555
26-jan.-2005,"2,49","2,53","2,48","2,53",186.350.114
27-jan.-2005,"2,45","2,49","2,44","2,50",128.313.834
28-jan.-2005,"2,45","2,45","2,43","2,46",59.614.981
31-jan.-2005,"2,52","2,49","2,49","2,54",75.036.002
01-feb.-2005,"2,58","2,52","2,51","2,59",106.097.877
02-feb.-2005,"2,65","2,59","2,57","2,66",70.610.325
03-feb.-2005,"2,74","2,65","2,65","2,75",88.839.065
04-feb.-2005,"2,84","2,73","2,73","2,85",124.679.923
09-feb.-2005,"2,81","2,78","2,78","2,84",115.562.835
10-feb.-2005,"2,80","2,81","2,78","2,82",80.950.392
11-feb.-2005,"2,80","2,80","2,76","2,82",124.783.197
14-feb.-2005,"2,90","2,81","2,80","2,90",68.733.881
15-feb.-2005,"2,93","2,89","2,89","2,94",135.732.640
16-feb.-2005,"2,87","2,92","2,87","2,93",106.406.491
17-feb.-2005,"2,89","2,89","2,86","2,93",114.153.237
18-feb.-2005,"2,80","2,89","2,80","2,89",52.964.387
21-feb.-2005,"2,79","2,81","2,77","2,85",59.997.880
22-feb.-2005,"2,86","2,82","2,79","2,89",121.202.432
23-feb.-2005,"2,86","2,89","2,84","2,89",65.761.889
24-feb.-2005,"3,00","2,88","2,88","3,02",111.824.442
25-feb.-2005,"2,96","3,01","2,95","3,02",93.148.786
28-feb.-2005,"2,91","2,97","2,88","2,97",77.751.923
01-mar.-2005,"2,93","2,88","2,87","2,95",165.157.233
02-mar.-2005,"2,96","2,94","2,92","2,97",137.461.723
03-mar.-2005,"3,07","3,00","2,99","3,08",100.269.850
04-mar.-2005,"3,15","3,10","3,10","3,18",152.690.086
07-mar.-2005,"3,13","3,13","3,13","3,15",116.285.752
08-mar.-2005,"3,13","3,13","3,10","3,13",60.862.119
09-mar.-2005,"3,07","3,09","3,02","3,14",64.682.647
10-mar.-2005,"3,06","3,07","3,04","3,09",62.294.062
11-mar.-2005,"3,04","3,09","3,01","3,09",88.128.831
14-mar.-2005,"3,00","3,00","3,00","3,04",78.799.156
15-mar.-2005,"2,97","3,04","2,96","3,04",89.471.995
16-mar.-2005,"3,02","2,95","2,93","3,02",42.018.567
17-mar.-2005,"3,04","3,01","2,95","3,04",60.815.011
18-mar.-2005,"2,96","3,01","2,93","3,03",80.740.825
21-mar.-2005,"2,86","2,96","2,85","2,96",50.721.955
22-mar.-2005,"2,82","2,86","2,81","2,92",73.257.396
23-mar.-2005,"2,74","2,79","2,74","2,82",109.101.878
24-mar.-2005,"2,86","2,74","2,74","2,87",95.908.190
28-mar.-2005,"2,79","2,83","2,78","2,86",52.199.194
29-mar.-2005,"2,73","2,80","2,73","2,83",130.739.259
30-mar.-2005,"2,78","2,74","2,73","2,79",58.062.250
31-mar.-2005,"2,82","2,78","2,78","2,82",101.763.999
01-apr.-2005,"2,81","2,82","2,81","2,87",60.545.654
04-apr.-2005,"2,78","2,81","2,76","2,81",40.105.886
05-apr.-2005,"2,77","2,77","2,76","2,82",70.562.613
06-apr.-2005,"2,77","2,77","2,76","2,80",68.092.496
07-apr.-2005,"2,78","2,77","2,76","2,78",68.142.019
