ativo,target,janela,tecnica,acuracia,precisao
PETR4-50,1.01,15,RNA,0.6470588235294118,0.5454545454545454
PETR4-50,1.01,15,Random Forest,0.5294117647058824,0.4444444444444444
PETR4-50,1.01,15,SVC,0.5294117647058824,0.4444444444444444
PETR4-50,1.01,20,RNA,0.5833333333333334,0.5714285714285714
PETR4-50,1.01,20,Random Forest,0.6666666666666666,0.625
PETR4-50,1.01,20,SVC,0.5833333333333334,0.5714285714285714
PETR4-50,1.01,25,RNA,0.4285714285714285,0.4285714285714285
PETR4-50,1.01,25,Random Forest,0.5714285714285714,0.5
PETR4-50,1.01,25,SVC,0.4285714285714285,0.4285714285714285
PETR4-50,1.015,15,RNA,0.5294117647058824,0.1666666666666666
PETR4-50,1.015,15,Random Forest,0.6470588235294118,0.25
PETR4-50,1.015,15,SVC,0.6470588235294118,0.25
PETR4-50,1.015,20,RNA,0.4166666666666667,0.1666666666666666
PETR4-50,1.015,20,Random Forest,0.4166666666666667,0.0
PETR4-50,1.015,20,SVC,0.75,0.5
PETR4-50,1.015,25,RNA,0.2857142857142857,0.1666666666666666
PETR4-50,1.015,25,Random Forest,0.5714285714285714,0.25
PETR4-50,1.015,25,SVC,0.4285714285714285,0.2
PETR4-50,1.02,15,RNA,0.4705882352941176,0.1428571428571428
PETR4-50,1.02,15,Random Forest,0.6470588235294118,0.0
PETR4-50,1.02,15,SVC,0.6470588235294118,0.0
PETR4-50,1.02,20,RNA,0.3333333333333333,0.1428571428571428
PETR4-50,1.02,20,Random Forest,0.5,0.2
PETR4-50,1.02,20,SVC,0.5833333333333334,0.25
PETR4-50,1.02,25,RNA,0.1428571428571428,0.1428571428571428
PETR4-50,1.02,25,Random Forest,0.5714285714285714,0.25
PETR4-50,1.02,25,SVC,0.5714285714285714,0.25
ITUB4-50,1.01,15,RNA,0.55,0.5333333333333333
ITUB4-50,1.01,15,Random Forest,0.55,0.5294117647058824
ITUB4-50,1.01,15,SVC,0.45,0.4666666666666667
ITUB4-50,1.01,20,RNA,0.4666666666666667,0.5
ITUB4-50,1.01,20,Random Forest,0.4666666666666667,0.5
ITUB4-50,1.01,20,SVC,0.6,0.5714285714285714
ITUB4-50,1.01,25,RNA,0.5,0.5
ITUB4-50,1.01,25,Random Forest,0.6,0.5555555555555556
ITUB4-50,1.01,25,SVC,0.5,0.5
ITUB4-50,1.015,15,RNA,0.4,0.375
ITUB4-50,1.015,15,Random Forest,0.5,0.4285714285714285
ITUB4-50,1.015,15,SVC,0.4,0.3571428571428571
ITUB4-50,1.015,20,RNA,0.4666666666666667,0.4545454545454545
ITUB4-50,1.015,20,Random Forest,0.4666666666666667,0.4545454545454545
ITUB4-50,1.015,20,SVC,0.4,0.4166666666666667
ITUB4-50,1.015,25,RNA,0.4,0.4
ITUB4-50,1.015,25,Random Forest,0.5,0.4444444444444444
ITUB4-50,1.015,25,SVC,0.3,0.3333333333333333
ITUB4-50,1.02,15,RNA,0.45,0.3571428571428571
ITUB4-50,1.02,15,Random Forest,0.45,0.3333333333333333
ITUB4-50,1.02,15,SVC,0.45,0.3
ITUB4-50,1.02,20,RNA,0.4666666666666667,0.4285714285714285
ITUB4-50,1.02,20,Random Forest,0.4666666666666667,0.4166666666666667
ITUB4-50,1.02,20,SVC,0.4666666666666667,0.4
ITUB4-50,1.02,25,RNA,0.2,0.2222222222222222
ITUB4-50,1.02,25,Random Forest,0.4,0.3333333333333333
ITUB4-50,1.02,25,SVC,0.4,0.3333333333333333
VALE3-50,1.01,15,RNA,0.65,0.6111111111111112
VALE3-50,1.01,15,Random Forest,0.6,0.5789473684210527
VALE3-50,1.01,15,SVC,0.6,0.5789473684210527
VALE3-50,1.01,20,RNA,0.6666666666666666,0.5833333333333334
VALE3-50,1.01,20,Random Forest,0.6,0.5384615384615384
VALE3-50,1.01,20,SVC,0.6,0.5384615384615384
VALE3-50,1.01,25,RNA,0.4,0.375
VALE3-50,1.01,25,Random Forest,0.4,0.375
VALE3-50,1.01,25,SVC,0.5,0.4285714285714285
VALE3-50,1.015,15,RNA,0.55,0.5
VALE3-50,1.015,15,Random Forest,0.5,0.4736842105263157
VALE3-50,1.015,15,SVC,0.5,0.4736842105263157
VALE3-50,1.015,20,RNA,0.4666666666666667,0.3333333333333333
VALE3-50,1.015,20,Random Forest,0.4666666666666667,0.3846153846153846
VALE3-50,1.015,20,SVC,0.5333333333333333,0.4
VALE3-50,1.015,25,RNA,0.5,0.375
VALE3-50,1.015,25,Random Forest,0.4,0.2
VALE3-50,1.015,25,SVC,0.2,0.2222222222222222
VALE3-50,1.02,15,RNA,0.35,0.1
VALE3-50,1.02,15,Random Forest,0.45,0.0
VALE3-50,1.02,15,SVC,0.45,0.2
VALE3-50,1.02,20,RNA,0.2,0.0
VALE3-50,1.02,20,Random Forest,0.4666666666666667,0.1428571428571428
VALE3-50,1.02,20,SVC,0.4666666666666667,0.0
VALE3-50,1.02,25,RNA,0.2,0.0
VALE3-50,1.02,25,Random Forest,0.3,0.0
VALE3-50,1.02,25,SVC,0.7,0.5
