ativo,target,total_linhas,acertos_esmble_jan_tot,acc_esmble_jan_tot (%),precision_esmble_jan_tot,acertos_esmble_jan_par,acc_esmble_jan_par (%),precision_esmble_jan_par
PETR4,GERAL,1911,1108,57.98,76.99,1382,72.32,75.75
PETR4,1.01,637,444,69.7,82.75,523,82.1,83.25
PETR4,1.015,637,353,55.42,75.19,457,71.74,75.13
PETR4,1.02,637,311,48.82,68.75,402,63.11,67.84
ITUB4,GERAL,1911,1026,53.69,73.71,1259,65.88,70.93
ITUB4,1.01,637,408,64.05,80.48,472,74.1,77.97
ITUB4,1.015,637,317,49.76,68.99,423,66.41,70.48
ITUB4,1.02,637,301,47.25,61.76,364,57.14,61.61
VALE3,GERAL,1911,1038,54.32,75.05,1269,66.41,72.28
VALE3,1.01,637,405,63.58,80.09,490,76.92,80.41
VALE3,1.015,637,324,50.86,70.78,415,65.15,70.39
VALE3,1.02,637,309,48.51,68.63,364,57.14,63.27
