ativo,modelo,acc
CPFE3,in_precision,65.73
CPFE3,esmble_jan_tot,60.04
CPFE3,esmble_jan_par,67.02
CSNA3,in_precision,69.98
CSNA3,esmble_jan_tot,65.36
CSNA3,esmble_jan_par,73.34
CPLE6,in_precision,64.83
CPLE6,esmble_jan_tot,60.53
CPLE6,esmble_jan_par,67.14
BRFS3,in_precision,64.81
BRFS3,esmble_jan_tot,59.74
BRFS3,esmble_jan_par,67.24
CYRE3,in_precision,72.31
CYRE3,esmble_jan_tot,69.53
CYRE3,esmble_jan_par,75.16
AZUL4,in_precision,71.83
AZUL4,esmble_jan_tot,66.94
AZUL4,esmble_jan_par,75.36
BPAC11,in_precision,69.39
BPAC11,esmble_jan_tot,64.92
BPAC11,esmble_jan_par,71.95
EGIE3,in_precision,62.5
EGIE3,esmble_jan_tot,58.01
EGIE3,esmble_jan_par,64.71
ENGI11,in_precision,68.86
ENGI11,esmble_jan_tot,65.74
ENGI11,esmble_jan_par,70.93
ELET3,in_precision,66.55
ELET3,esmble_jan_tot,61.76
ELET3,esmble_jan_par,70.04
BRAV3,in_precision,59.52
BRAV3,esmble_jan_tot,53.21
BRAV3,esmble_jan_par,63.1
HAPV3,in_precision,72.41
HAPV3,esmble_jan_tot,68.97
HAPV3,esmble_jan_par,82.76
HYPE3,in_precision,68.22
HYPE3,esmble_jan_tot,63.11
HYPE3,esmble_jan_par,71.69
AZZA3,in_precision,64.88
AZZA3,esmble_jan_tot,61.55
AZZA3,esmble_jan_par,67.5
ENEV3,in_precision,77.23
ENEV3,esmble_jan_tot,72.99
ENEV3,esmble_jan_par,79.91
VALE3,in_precision,63.62
VALE3,esmble_jan_tot,53.91
VALE3,esmble_jan_par,65.29
CMIG4,in_precision,63.88
CMIG4,esmble_jan_tot,58.94
CMIG4,esmble_jan_par,66.8
BBSE3,in_precision,59.91
BBSE3,esmble_jan_tot,55.33
BBSE3,esmble_jan_par,62.25
PETR4,in_precision,67.32
PETR4,esmble_jan_tot,62.03
PETR4,esmble_jan_par,70.41
BBDC3,in_precision,62.55
BBDC3,esmble_jan_tot,57.51
BBDC3,esmble_jan_par,64.84
BBAS3,in_precision,63.85
BBAS3,esmble_jan_tot,59.13
BBAS3,esmble_jan_par,66.04
CVCB3,in_precision,73.17
CVCB3,esmble_jan_tot,70.5
CVCB3,esmble_jan_par,76.05
IRBR3,in_precision,79.46
IRBR3,esmble_jan_tot,76.44
IRBR3,esmble_jan_par,80.97
BRAP4,in_precision,63.23
BRAP4,esmble_jan_tot,58.03
BRAP4,esmble_jan_par,65.15
ALOS3,in_precision,56.31
ALOS3,esmble_jan_tot,53.81
ALOS3,esmble_jan_par,59.29
BRKM5,in_precision,66.43
BRKM5,esmble_jan_tot,61.48
BRKM5,esmble_jan_par,69.2
COGN3,in_precision,70.51
COGN3,esmble_jan_tot,66.03
COGN3,esmble_jan_par,73.04
GGBR4,in_precision,67.53
GGBR4,esmble_jan_tot,63.43
GGBR4,esmble_jan_par,70.39
BBDC4,in_precision,61.59
BBDC4,esmble_jan_tot,55.99
BBDC4,esmble_jan_par,64.0
ISAE4,in_precision,67.56
ISAE4,esmble_jan_tot,63.29
ISAE4,esmble_jan_par,70.48
ASAI3,in_precision,67.38
ASAI3,esmble_jan_tot,63.57
ASAI3,esmble_jan_par,67.02
CRFB3,in_precision,63.45
CRFB3,esmble_jan_tot,57.86
CRFB3,esmble_jan_par,66.19
FLRY3,in_precision,67.97
FLRY3,esmble_jan_tot,61.77
FLRY3,esmble_jan_par,71.36
EMBR3,in_precision,64.08
EMBR3,esmble_jan_tot,59.48
EMBR3,esmble_jan_par,67.68
ITSA4,in_precision,62.57
ITSA4,esmble_jan_tot,56.56
ITSA4,esmble_jan_par,65.44
IGTI11,in_precision,66.79
IGTI11,esmble_jan_tot,64.64
IGTI11,esmble_jan_par,67.14
CSAN3,in_precision,65.09
CSAN3,esmble_jan_tot,59.9
CSAN3,esmble_jan_par,67.64
GOAU4,in_precision,68.94
GOAU4,esmble_jan_tot,64.66
GOAU4,esmble_jan_par,71.78
ABEV3,in_precision,61.15
ABEV3,esmble_jan_tot,56.97
ABEV3,esmble_jan_par,62.48
CMIN3,in_precision,63.21
CMIN3,esmble_jan_tot,57.86
CMIN3,esmble_jan_par,66.67
EQTL3,in_precision,65.42
EQTL3,esmble_jan_tot,59.52
EQTL3,esmble_jan_par,68.54
B3SA3,in_precision,65.41
B3SA3,esmble_jan_tot,60.54
B3SA3,esmble_jan_par,67.84
ITUB4,in_precision,69.52
ITUB4,esmble_jan_tot,64.51
ITUB4,esmble_jan_par,73.08
BEEF3,in_precision,60.36
BEEF3,esmble_jan_tot,57.98
BEEF3,esmble_jan_par,62.86
ELET6,in_precision,68.54
ELET6,esmble_jan_tot,63.71
ELET6,esmble_jan_par,71.97
