ativo,target,janela,tecnica,data,target_real,target_pred,resultado_real
ITUB4,1.01,60,RNA,2020-04-22,1,1,0.01
ITUB4,1.01,60,Random Forest,2020-04-22,1,0,0.01
ITUB4,1.01,60,SVC,2020-04-22,1,1,0.01
ITUB4,1.01,60,RNA,2020-04-23,1,0,0.01
ITUB4,1.01,60,Random Forest,2020-04-23,1,1,0.01
ITUB4,1.01,60,SVC,2020-04-23,1,1,0.01
ITUB4,1.01,60,RNA,2020-04-24,1,1,0.01
ITUB4,1.01,60,Random Forest,2020-04-24,1,1,0.01
ITUB4,1.01,60,SVC,2020-04-24,1,1,0.01
ITUB4,1.01,60,RNA,2020-04-27,1,1,0.01
ITUB4,1.01,60,Random Forest,2020-04-27,1,1,0.01
ITUB4,1.01,60,SVC,2020-04-27,1,1,0.01
ITUB4,1.01,60,RNA,2020-04-28,0,1,-0.0535429469946082
ITUB4,1.01,60,Random Forest,2020-04-28,0,1,-0.0535429469946082
ITUB4,1.01,60,SVC,2020-04-28,0,1,-0.0535429469946082
ITUB4,1.01,60,RNA,2020-04-29,1,1,0.01
ITUB4,1.01,60,Random Forest,2020-04-29,1,1,0.01
ITUB4,1.01,60,SVC,2020-04-29,1,1,0.01
ITUB4,1.01,60,RNA,2020-04-30,1,1,0.01
ITUB4,1.01,60,Random Forest,2020-04-30,1,0,0.01
ITUB4,1.01,60,SVC,2020-04-30,1,1,0.01
ITUB4,1.01,60,RNA,2020-05-04,1,1,0.01
ITUB4,1.01,60,Random Forest,2020-05-04,1,1,0.01
ITUB4,1.01,60,SVC,2020-05-04,1,1,0.01
ITUB4,1.01,60,RNA,2020-05-05,1,1,0.01
ITUB4,1.01,60,Random Forest,2020-05-05,1,1,0.01
ITUB4,1.01,60,SVC,2020-05-05,1,1,0.01
ITUB4,1.01,60,RNA,2020-05-06,1,1,0.01
ITUB4,1.01,60,Random Forest,2020-05-06,1,1,0.01
ITUB4,1.01,60,SVC,2020-05-06,1,1,0.01
ITUB4,1.01,60,RNA,2020-05-07,1,1,0.01
ITUB4,1.01,60,Random Forest,2020-05-07,1,1,0.01
ITUB4,1.01,60,SVC,2020-05-07,1,1,0.01
ITUB4,1.01,60,RNA,2020-05-08,1,1,0.01
ITUB4,1.01,60,Random Forest,2020-05-08,1,1,0.01
ITUB4,1.01,60,SVC,2020-05-08,1,1,0.01
ITUB4,1.01,60,RNA,2020-05-11,1,1,0.01
ITUB4,1.01,60,Random Forest,2020-05-11,1,1,0.01
ITUB4,1.01,60,SVC,2020-05-11,1,1,0.01
ITUB4,1.01,60,RNA,2020-05-12,1,1,0.01
ITUB4,1.01,60,Random Forest,2020-05-12,1,1,0.01
ITUB4,1.01,60,SVC,2020-05-12,1,1,0.01
ITUB4,1.01,60,RNA,2020-05-13,1,1,0.01
