ativo,target,janela,tecnica,data,target_real,target_pred,resultado_real
ITUB4,1.01,60,RNA,2020-04-22,1,1,0.0419240499749904
ITUB4,1.01,60,Random Forest,2020-04-22,1,0,0.0419240499749904
ITUB4,1.01,60,SVC,2020-04-22,1,1,0.0419240499749904
ITUB4,1.01,60,RNA,2020-04-23,1,1,0.1094755606811048
ITUB4,1.01,60,Random Forest,2020-04-23,1,1,0.1094755606811048
ITUB4,1.01,60,SVC,2020-04-23,1,1,0.1094755606811048
ITUB4,1.01,60,RNA,2020-04-24,1,1,0.1197771513340761
ITUB4,1.01,60,Random Forest,2020-04-24,1,1,0.1197771513340761
ITUB4,1.01,60,SVC,2020-04-24,1,1,0.1197771513340761
ITUB4,1.01,60,RNA,2020-04-27,1,1,0.0496083162536329
ITUB4,1.01,60,Random Forest,2020-04-27,1,1,0.0496083162536329
ITUB4,1.01,60,SVC,2020-04-27,1,1,0.0496083162536329
ITUB4,1.01,60,RNA,2020-04-28,0,1,-0.0535429469946082
ITUB4,1.01,60,Random Forest,2020-04-28,0,1,-0.0535429469946082
ITUB4,1.01,60,SVC,2020-04-28,0,1,-0.0535429469946082
ITUB4,1.01,60,RNA,2020-04-29,1,1,0.0352107806956834
ITUB4,1.01,60,Random Forest,2020-04-29,1,1,0.0352107806956834
ITUB4,1.01,60,SVC,2020-04-29,1,1,0.0352107806956834
ITUB4,1.01,60,RNA,2020-04-30,1,1,0.0646924819329424
ITUB4,1.01,60,Random Forest,2020-04-30,1,0,0.0646924819329424
ITUB4,1.01,60,SVC,2020-04-30,1,1,0.0646924819329424
ITUB4,1.01,60,RNA,2020-05-04,1,0,0.0527027143348253
ITUB4,1.01,60,Random Forest,2020-05-04,1,1,0.0527027143348253
ITUB4,1.01,60,SVC,2020-05-04,1,1,0.0527027143348253
ITUB4,1.01,60,RNA,2020-05-05,1,1,0.0190265670812666
ITUB4,1.01,60,Random Forest,2020-05-05,1,1,0.0190265670812666
ITUB4,1.01,60,SVC,2020-05-05,1,1,0.0190265670812666
ITUB4,1.01,60,RNA,2020-05-06,1,1,0.029043803007893
ITUB4,1.01,60,Random Forest,2020-05-06,1,1,0.029043803007893
ITUB4,1.01,60,SVC,2020-05-06,1,1,0.029043803007893
ITUB4,1.01,60,RNA,2020-05-07,1,1,0.0458673921279189
ITUB4,1.01,60,Random Forest,2020-05-07,1,1,0.0458673921279189
ITUB4,1.01,60,SVC,2020-05-07,1,1,0.0458673921279189
ITUB4,1.01,60,RNA,2020-05-08,1,1,0.0387911974836179
ITUB4,1.01,60,Random Forest,2020-05-08,1,1,0.0387911974836179
ITUB4,1.01,60,SVC,2020-05-08,1,1,0.0387911974836179
ITUB4,1.01,60,RNA,2020-05-11,1,1,0.0115503822856724
ITUB4,1.01,60,Random Forest,2020-05-11,1,1,0.0115503822856724
ITUB4,1.01,60,SVC,2020-05-11,1,1,0.0115503822856724
ITUB4,1.01,60,RNA,2020-05-12,1,1,0.0551977969544617
ITUB4,1.01,60,Random Forest,2020-05-12,1,1,0.0551977969544617
ITUB4,1.01,60,SVC,2020-05-12,1,1,0.0551977969544617
ITUB4,1.01,60,RNA,2020-05-13,1,1,0.0764898522257555
ITUB4,1.01,60,Random Forest,2020-05-13,1,1,0.0764898522257555
ITUB4,1.01,60,SVC,2020-05-13,1,1,0.0764898522257555
ITUB4,1.01,60,RNA,2020-05-14,1,1,0.019555547004098
ITUB4,1.01,60,Random Forest,2020-05-14,1,1,0.019555547004098
ITUB4,1.01,60,SVC,2020-05-14,1,1,0.019555547004098
ITUB4,1.01,60,RNA,2020-05-15,1,0,0.021826285052616
ITUB4,1.01,60,Random Forest,2020-05-15,1,1,0.021826285052616
ITUB4,1.01,60,SVC,2020-05-15,1,1,0.021826285052616
ITUB4,1.01,60,RNA,2020-05-18,1,1,0.0318161451531571
ITUB4,1.01,60,Random Forest,2020-05-18,1,1,0.0318161451531571
ITUB4,1.01,60,SVC,2020-05-18,1,1,0.0318161451531571
ITUB4,1.01,60,RNA,2020-05-19,1,1,0.103055194581868
ITUB4,1.01,60,Random Forest,2020-05-19,1,1,0.103055194581868
ITUB4,1.01,60,SVC,2020-05-19,1,1,0.103055194581868
ITUB4,1.01,60,RNA,2020-05-20,1,1,0.1243093961366046
ITUB4,1.01,60,Random Forest,2020-05-20,1,1,0.1243093961366046
ITUB4,1.01,60,SVC,2020-05-20,1,1,0.1243093961366046
ITUB4,1.01,60,RNA,2020-05-21,1,1,0.0805309974223686
ITUB4,1.01,60,Random Forest,2020-05-21,1,1,0.0805309974223686
ITUB4,1.01,60,SVC,2020-05-21,1,1,0.0805309974223686
ITUB4,1.01,60,RNA,2020-05-22,1,1,0.0213300097270932
ITUB4,1.01,60,Random Forest,2020-05-22,1,1,0.0213300097270932
ITUB4,1.01,60,SVC,2020-05-22,1,1,0.0213300097270932
ITUB4,1.01,60,RNA,2020-05-25,0,1,-0.0530209449775563
ITUB4,1.01,60,Random Forest,2020-05-25,0,1,-0.0530209449775563
ITUB4,1.01,60,SVC,2020-05-25,0,1,-0.0530209449775563
ITUB4,1.01,60,RNA,2020-05-26,1,1,0.017343484225633
ITUB4,1.01,60,Random Forest,2020-05-26,1,1,0.017343484225633
ITUB4,1.01,60,SVC,2020-05-26,1,1,0.017343484225633
ITUB4,1.01,60,RNA,2020-05-27,1,1,0.0777557491283429
ITUB4,1.01,60,Random Forest,2020-05-27,1,1,0.0777557491283429
ITUB4,1.01,60,SVC,2020-05-27,1,1,0.0777557491283429
ITUB4,1.01,60,RNA,2020-05-28,1,1,0.1556272357347239
ITUB4,1.01,60,Random Forest,2020-05-28,1,1,0.1556272357347239
ITUB4,1.01,60,SVC,2020-05-28,1,1,0.1556272357347239
ITUB4,1.01,60,RNA,2020-05-29,1,1,0.1752080278273537
ITUB4,1.01,60,Random Forest,2020-05-29,1,1,0.1752080278273537
ITUB4,1.01,60,SVC,2020-05-29,1,1,0.1752080278273537
ITUB4,1.01,60,RNA,2020-06-01,1,1,0.1958333603261217
ITUB4,1.01,60,Random Forest,2020-06-01,1,1,0.1958333603261217
ITUB4,1.01,60,SVC,2020-06-01,1,1,0.1958333603261217
ITUB4,1.01,60,RNA,2020-06-02,1,1,0.091254792676962
ITUB4,1.01,60,Random Forest,2020-06-02,1,1,0.091254792676962
ITUB4,1.01,60,SVC,2020-06-02,1,1,0.091254792676962
ITUB4,1.01,60,RNA,2020-06-03,1,1,0.1136980977753343
ITUB4,1.01,60,Random Forest,2020-06-03,1,1,0.1136980977753343
ITUB4,1.01,60,SVC,2020-06-03,1,1,0.1136980977753343
ITUB4,1.01,60,RNA,2020-06-04,1,1,0.0191761487670174
ITUB4,1.01,60,Random Forest,2020-06-04,1,1,0.0191761487670174
ITUB4,1.01,60,SVC,2020-06-04,1,1,0.0191761487670174
ITUB4,1.01,60,RNA,2020-06-05,1,1,0.0315103223026373
ITUB4,1.01,60,Random Forest,2020-06-05,1,1,0.0315103223026373
ITUB4,1.01,60,SVC,2020-06-05,1,1,0.0315103223026373
ITUB4,1.01,60,RNA,2020-06-08,1,1,0.0243017999946182
ITUB4,1.01,60,Random Forest,2020-06-08,1,1,0.0243017999946182
ITUB4,1.01,60,SVC,2020-06-08,1,1,0.0243017999946182
ITUB4,1.01,60,RNA,2020-06-09,0,1,-0.0686588308598515
ITUB4,1.01,60,Random Forest,2020-06-09,0,1,-0.0686588308598515
ITUB4,1.01,60,SVC,2020-06-09,0,1,-0.0686588308598515
ITUB4,1.01,60,RNA,2020-06-10,1,1,0.0397529584979643
ITUB4,1.01,60,Random Forest,2020-06-10,1,1,0.0397529584979643
ITUB4,1.01,60,SVC,2020-06-10,1,1,0.0397529584979643
ITUB4,1.01,60,RNA,2020-06-12,1,1,0.1119522350129791
ITUB4,1.01,60,Random Forest,2020-06-12,1,1,0.1119522350129791
ITUB4,1.01,60,SVC,2020-06-12,1,1,0.1119522350129791
ITUB4,1.01,60,RNA,2020-06-15,1,1,0.0656603762514884
ITUB4,1.01,60,Random Forest,2020-06-15,1,1,0.0656603762514884
ITUB4,1.01,60,SVC,2020-06-15,1,1,0.0656603762514884
ITUB4,1.01,60,RNA,2020-06-16,1,1,0.0786860193200329
ITUB4,1.01,60,Random Forest,2020-06-16,1,1,0.0786860193200329
ITUB4,1.01,60,SVC,2020-06-16,1,1,0.0786860193200329
ITUB4,1.01,60,RNA,2020-06-17,1,1,0.0656603762514884
ITUB4,1.01,60,Random Forest,2020-06-17,1,1,0.0656603762514884
ITUB4,1.01,60,SVC,2020-06-17,1,1,0.0656603762514884
ITUB4,1.01,60,RNA,2020-06-18,0,1,-0.0804270834185341
ITUB4,1.01,60,Random Forest,2020-06-18,0,1,-0.0804270834185341
ITUB4,1.01,60,SVC,2020-06-18,0,1,-0.0804270834185341
ITUB4,1.01,60,RNA,2020-06-19,0,1,-0.0674036938550665
ITUB4,1.01,60,Random Forest,2020-06-19,0,1,-0.0674036938550665
ITUB4,1.01,60,SVC,2020-06-19,0,1,-0.0674036938550665
ITUB4,1.01,60,RNA,2020-06-22,0,1,-0.0718411269320794
ITUB4,1.01,60,Random Forest,2020-06-22,0,1,-0.0718411269320794
ITUB4,1.01,60,SVC,2020-06-22,0,1,-0.0718411269320794
ITUB4,1.01,60,RNA,2020-06-23,0,1,-0.0115714964483225
ITUB4,1.01,60,Random Forest,2020-06-23,0,1,-0.0115714964483225
ITUB4,1.01,60,SVC,2020-06-23,0,1,-0.0115714964483225
ITUB4,1.01,60,RNA,2020-06-24,1,1,0.0188243871782018
ITUB4,1.01,60,Random Forest,2020-06-24,1,1,0.0188243871782018
ITUB4,1.01,60,SVC,2020-06-24,1,1,0.0188243871782018
ITUB4,1.01,60,RNA,2020-06-25,1,1,0.0315052044712051
ITUB4,1.01,60,Random Forest,2020-06-25,1,1,0.0315052044712051
ITUB4,1.01,60,SVC,2020-06-25,1,1,0.0315052044712051
ITUB4,1.01,60,RNA,2020-06-26,1,1,0.052743593136606
ITUB4,1.01,60,Random Forest,2020-06-26,1,1,0.052743593136606
ITUB4,1.01,60,SVC,2020-06-26,1,1,0.052743593136606
ITUB4,1.01,60,RNA,2020-06-29,1,1,0.0398954633876609
ITUB4,1.01,60,Random Forest,2020-06-29,1,1,0.0398954633876609
ITUB4,1.01,60,SVC,2020-06-29,1,1,0.0398954633876609
ITUB4,1.01,60,RNA,2020-06-30,1,1,0.0878905710078512
ITUB4,1.01,60,Random Forest,2020-06-30,1,1,0.0878905710078512
ITUB4,1.01,60,SVC,2020-06-30,1,1,0.0878905710078512
ITUB4,1.01,60,RNA,2020-07-01,1,1,0.0509433793906513
ITUB4,1.01,60,Random Forest,2020-07-01,1,1,0.0509433793906513
ITUB4,1.01,60,SVC,2020-07-01,1,1,0.0509433793906513
ITUB4,1.01,60,RNA,2020-07-02,1,1,0.0553239855096487
ITUB4,1.01,60,Random Forest,2020-07-02,1,1,0.0553239855096487
ITUB4,1.01,60,SVC,2020-07-02,1,1,0.0553239855096487
ITUB4,1.01,60,RNA,2020-07-03,1,1,0.0269173717505821
