ativo,target,janela,tecnica,data,target_real,target_pred,resultado_real
PETR4,1.01,60,RNA,2020-04-22,1,1,0.0133721536123996
PETR4,1.01,60,Random Forest,2020-04-22,1,1,0.0133721536123996
PETR4,1.01,60,SVC,2020-04-22,1,1,0.0133721536123996
PETR4,1.01,60,RNA,2020-04-23,1,1,0.1072496936241176
PETR4,1.01,60,Random Forest,2020-04-23,1,1,0.1072496936241176
PETR4,1.01,60,SVC,2020-04-23,1,1,0.1072496936241176
PETR4,1.01,60,RNA,2020-04-24,1,1,0.144981405668146
PETR4,1.01,60,Random Forest,2020-04-24,1,1,0.144981405668146
PETR4,1.01,60,SVC,2020-04-24,1,1,0.144981405668146
PETR4,1.01,60,RNA,2020-04-27,1,1,0.0845069560830893
PETR4,1.01,60,Random Forest,2020-04-27,1,1,0.0845069560830893
PETR4,1.01,60,SVC,2020-04-27,1,1,0.0845069560830893
PETR4,1.01,60,RNA,2020-04-28,1,1,0.0382021499655578
PETR4,1.01,60,Random Forest,2020-04-28,1,1,0.0382021499655578
PETR4,1.01,60,SVC,2020-04-28,1,1,0.0382021499655578
PETR4,1.01,60,RNA,2020-04-29,1,1,0.0278085666627887
PETR4,1.01,60,Random Forest,2020-04-29,1,1,0.0278085666627887
PETR4,1.01,60,SVC,2020-04-29,1,1,0.0278085666627887
PETR4,1.01,60,RNA,2020-04-30,1,1,0.0602407802116999
PETR4,1.01,60,Random Forest,2020-04-30,1,1,0.0602407802116999
PETR4,1.01,60,SVC,2020-04-30,1,1,0.0602407802116999
PETR4,1.01,60,RNA,2020-05-04,1,1,0.0379889216983171
PETR4,1.01,60,Random Forest,2020-05-04,1,1,0.0379889216983171
PETR4,1.01,60,SVC,2020-05-04,1,1,0.0379889216983171
PETR4,1.01,60,RNA,2020-05-05,1,1,0.0593171999291648
PETR4,1.01,60,Random Forest,2020-05-05,1,1,0.0593171999291648
PETR4,1.01,60,SVC,2020-05-05,1,1,0.0593171999291648
PETR4,1.01,60,RNA,2020-05-06,1,1,0.0664788575486343
PETR4,1.01,60,Random Forest,2020-05-06,1,1,0.0664788575486343
PETR4,1.01,60,SVC,2020-05-06,1,1,0.0664788575486343
PETR4,1.01,60,RNA,2020-05-07,1,1,0.0670799178249585
PETR4,1.01,60,Random Forest,2020-05-07,1,1,0.0670799178249585
PETR4,1.01,60,SVC,2020-05-07,1,1,0.0670799178249585
PETR4,1.01,60,RNA,2020-05-08,1,1,0.0344260879153188
PETR4,1.01,60,Random Forest,2020-05-08,1,1,0.0344260879153188
PETR4,1.01,60,SVC,2020-05-08,1,1,0.0344260879153188
PETR4,1.01,60,RNA,2020-05-11,1,1,0.0161900445935392
PETR4,1.01,60,Random Forest,2020-05-11,1,1,0.0161900445935392
PETR4,1.01,60,SVC,2020-05-11,1,1,0.0161900445935392
PETR4,1.01,60,RNA,2020-05-12,1,1,0.0153341664049888
PETR4,1.01,60,Random Forest,2020-05-12,1,1,0.0153341664049888
PETR4,1.01,60,SVC,2020-05-12,1,1,0.0153341664049888
PETR4,1.01,60,RNA,2020-05-13,1,1,0.0879309545069753
PETR4,1.01,60,Random Forest,2020-05-13,1,1,0.0879309545069753
PETR4,1.01,60,SVC,2020-05-13,1,1,0.0879309545069753
PETR4,1.01,60,RNA,2020-05-14,1,1,0.0806003418315148
PETR4,1.01,60,Random Forest,2020-05-14,1,1,0.0806003418315148
PETR4,1.01,60,SVC,2020-05-14,1,1,0.0806003418315148
PETR4,1.01,60,RNA,2020-05-15,1,1,0.0922651612400966
PETR4,1.01,60,Random Forest,2020-05-15,1,1,0.0922651612400966
PETR4,1.01,60,SVC,2020-05-15,1,1,0.0922651612400966
PETR4,1.01,60,RNA,2020-05-18,1,1,0.0680714034989544
