ativo,target,janela,tecnica,data,target_real,target_pred,resultado_real
VALE3,1.01,60,RNA,2020-04-22,1,1,0.0462000563990114
VALE3,1.01,60,Random Forest,2020-04-22,1,1,0.0462000563990114
VALE3,1.01,60,SVC,2020-04-22,1,1,0.0462000563990114
VALE3,1.01,60,RNA,2020-04-23,1,1,0.0924602465845176
VALE3,1.01,60,Random Forest,2020-04-23,1,1,0.0924602465845176
VALE3,1.01,60,SVC,2020-04-23,1,1,0.0924602465845176
VALE3,1.01,60,RNA,2020-04-24,1,1,0.0656770385119533
VALE3,1.01,60,Random Forest,2020-04-24,1,1,0.0656770385119533
VALE3,1.01,60,SVC,2020-04-24,1,1,0.0656770385119533
VALE3,1.01,60,RNA,2020-04-27,1,1,0.0482301155649904
VALE3,1.01,60,Random Forest,2020-04-27,1,1,0.0482301155649904
VALE3,1.01,60,SVC,2020-04-27,1,1,0.0482301155649904
VALE3,1.01,60,RNA,2020-04-28,1,1,0.0447629667206057
VALE3,1.01,60,Random Forest,2020-04-28,1,1,0.0447629667206057
VALE3,1.01,60,SVC,2020-04-28,1,1,0.0447629667206057
VALE3,1.01,60,RNA,2020-04-29,1,1,0.0100634509639321
VALE3,1.01,60,Random Forest,2020-04-29,1,1,0.0100634509639321
VALE3,1.01,60,SVC,2020-04-29,1,1,0.0100634509639321
VALE3,1.01,60,RNA,2020-04-30,1,1,0.0750572321543694
VALE3,1.01,60,Random Forest,2020-04-30,1,1,0.0750572321543694
VALE3,1.01,60,SVC,2020-04-30,1,1,0.0750572321543694
VALE3,1.01,60,RNA,2020-05-04,1,1,0.1014623124112421
VALE3,1.01,60,Random Forest,2020-05-04,1,1,0.1014623124112421
VALE3,1.01,60,SVC,2020-05-04,1,1,0.1014623124112421
VALE3,1.01,60,RNA,2020-05-05,1,1,0.1145055548251172
VALE3,1.01,60,Random Forest,2020-05-05,1,1,0.1145055548251172
VALE3,1.01,60,SVC,2020-05-05,1,1,0.1145055548251172
VALE3,1.01,60,RNA,2020-05-06,1,1,0.0793337905016553
VALE3,1.01,60,Random Forest,2020-05-06,1,1,0.0793337905016553
VALE3,1.01,60,SVC,2020-05-06,1,1,0.0793337905016553
VALE3,1.01,60,RNA,2020-05-07,1,1,0.0368421263494358
VALE3,1.01,60,Random Forest,2020-05-07,1,1,0.0368421263494358
VALE3,1.01,60,SVC,2020-05-07,1,1,0.0368421263494358
VALE3,1.01,60,RNA,2020-05-08,1,1,0.0215723132967033
VALE3,1.01,60,Random Forest,2020-05-08,1,1,0.0215723132967033
VALE3,1.01,60,SVC,2020-05-08,1,1,0.0215723132967033
VALE3,1.01,60,RNA,2020-05-11,1,1,0.017964081472769
VALE3,1.01,60,Random Forest,2020-05-11,1,1,0.017964081472769
VALE3,1.01,60,SVC,2020-05-11,1,1,0.017964081472769
VALE3,1.01,60,RNA,2020-05-12,1,1,0.0712061439406808
VALE3,1.01,60,Random Forest,2020-05-12,1,1,0.0712061439406808
VALE3,1.01,60,SVC,2020-05-12,1,1,0.0712061439406808
VALE3,1.01,60,RNA,2020-05-13,1,1,0.0992700905254231
VALE3,1.01,60,Random Forest,2020-05-13,1,1,0.0992700905254231
VALE3,1.01,60,SVC,2020-05-13,1,1,0.0992700905254231
VALE3,1.01,60,RNA,2020-05-14,1,1,0.102279732017267
VALE3,1.01,60,Random Forest,2020-05-14,1,1,0.102279732017267
VALE3,1.01,60,SVC,2020-05-14,1,1,0.102279732017267
VALE3,1.01,60,RNA,2020-05-15,1,1,0.0661501699685702
VALE3,1.01,60,Random Forest,2020-05-15,1,1,0.0661501699685702
VALE3,1.01,60,SVC,2020-05-15,1,1,0.0661501699685702
VALE3,1.01,60,RNA,2020-05-18,1,1,0.0461988380493125
VALE3,1.01,60,Random Forest,2020-05-18,1,1,0.0461988380493125
VALE3,1.01,60,SVC,2020-05-18,1,1,0.0461988380493125
VALE3,1.01,60,RNA,2020-05-19,0,1,-0.0612703635267868
VALE3,1.01,60,Random Forest,2020-05-19,0,1,-0.0612703635267868
VALE3,1.01,60,SVC,2020-05-19,0,1,-0.0612703635267868
VALE3,1.01,60,RNA,2020-05-20,0,1,-0.0590935199569855
VALE3,1.01,60,Random Forest,2020-05-20,0,1,-0.0590935199569855
VALE3,1.01,60,SVC,2020-05-20,0,1,-0.0590935199569855
VALE3,1.01,60,RNA,2020-05-21,1,1,0.0179239507671695
VALE3,1.01,60,Random Forest,2020-05-21,1,0,0.0179239507671695
VALE3,1.01,60,SVC,2020-05-21,1,1,0.0179239507671695
VALE3,1.01,60,RNA,2020-05-22,0,1,-0.0256759213527646
VALE3,1.01,60,Random Forest,2020-05-22,0,1,-0.0256759213527646
VALE3,1.01,60,SVC,2020-05-22,0,1,-0.0256759213527646
VALE3,1.01,60,RNA,2020-05-25,1,1,0.0520047593486665
VALE3,1.01,60,Random Forest,2020-05-25,1,1,0.0520047593486665
VALE3,1.01,60,SVC,2020-05-25,1,1,0.0520047593486665
VALE3,1.01,60,RNA,2020-05-26,1,1,0.0804574818114016
VALE3,1.01,60,Random Forest,2020-05-26,1,1,0.0804574818114016
VALE3,1.01,60,SVC,2020-05-26,1,1,0.0804574818114016
VALE3,1.01,60,RNA,2020-05-27,1,1,0.0558823687831138
VALE3,1.01,60,Random Forest,2020-05-27,1,1,0.0558823687831138
VALE3,1.01,60,SVC,2020-05-27,1,1,0.0558823687831138
VALE3,1.01,60,RNA,2020-05-28,1,1,0.0571984346228384
VALE3,1.01,60,Random Forest,2020-05-28,1,1,0.0571984346228384
VALE3,1.01,60,SVC,2020-05-28,1,1,0.0571984346228384
VALE3,1.01,60,RNA,2020-05-29,1,1,0.0545248193496865
VALE3,1.01,60,Random Forest,2020-05-29,1,1,0.0545248193496865
VALE3,1.01,60,SVC,2020-05-29,1,1,0.0545248193496865
VALE3,1.01,60,RNA,2020-06-01,1,1,0.0539033334328888
VALE3,1.01,60,Random Forest,2020-06-01,1,1,0.0539033334328888
VALE3,1.01,60,SVC,2020-06-01,1,1,0.0539033334328888
VALE3,1.01,60,RNA,2020-06-02,1,1,0.051948031214527
VALE3,1.01,60,Random Forest,2020-06-02,1,0,0.051948031214527
VALE3,1.01,60,SVC,2020-06-02,1,1,0.051948031214527
VALE3,1.01,60,RNA,2020-06-03,1,1,0.0554728165467885
VALE3,1.01,60,Random Forest,2020-06-03,1,1,0.0554728165467885
VALE3,1.01,60,SVC,2020-06-03,1,1,0.0554728165467885
VALE3,1.01,60,RNA,2020-06-04,0,1,-0.0388366657687804
VALE3,1.01,60,Random Forest,2020-06-04,0,1,-0.0388366657687804
VALE3,1.01,60,SVC,2020-06-04,0,1,-0.0388366657687804
VALE3,1.01,60,RNA,2020-06-05,1,1,0.0121862421657421
VALE3,1.01,60,Random Forest,2020-06-05,1,1,0.0121862421657421
VALE3,1.01,60,SVC,2020-06-05,1,1,0.0121862421657421
VALE3,1.01,60,RNA,2020-06-08,1,1,0.0192023550184292
VALE3,1.01,60,Random Forest,2020-06-08,1,1,0.0192023550184292
VALE3,1.01,60,SVC,2020-06-08,1,1,0.0192023550184292
VALE3,1.01,60,RNA,2020-06-09,1,0,0.0107448415734461
VALE3,1.01,60,Random Forest,2020-06-09,1,1,0.0107448415734461
VALE3,1.01,60,SVC,2020-06-09,1,1,0.0107448415734461
VALE3,1.01,60,RNA,2020-06-10,1,1,0.0508285286922203
VALE3,1.01,60,Random Forest,2020-06-10,1,1,0.0508285286922203
VALE3,1.01,60,SVC,2020-06-10,1,0,0.0508285286922203
VALE3,1.01,60,RNA,2020-06-12,1,1,0.0769524004769395
VALE3,1.01,60,Random Forest,2020-06-12,1,1,0.0769524004769395
VALE3,1.01,60,SVC,2020-06-12,1,1,0.0769524004769395
VALE3,1.01,60,RNA,2020-06-15,1,1,0.0200036018829636
VALE3,1.01,60,Random Forest,2020-06-15,1,1,0.0200036018829636
VALE3,1.01,60,SVC,2020-06-15,1,1,0.0200036018829636
VALE3,1.01,60,RNA,2020-06-16,1,1,0.0200036018829636
VALE3,1.01,60,Random Forest,2020-06-16,1,1,0.0200036018829636
VALE3,1.01,60,SVC,2020-06-16,1,1,0.0200036018829636
VALE3,1.01,60,RNA,2020-06-17,0,1,-0.0126110085073921
VALE3,1.01,60,Random Forest,2020-06-17,0,1,-0.0126110085073921
VALE3,1.01,60,SVC,2020-06-17,0,1,-0.0126110085073921
VALE3,1.01,60,RNA,2020-06-18,0,1,-0.0166873623735978
VALE3,1.01,60,Random Forest,2020-06-18,0,1,-0.0166873623735978
VALE3,1.01,60,SVC,2020-06-18,0,1,-0.0166873623735978
VALE3,1.01,60,RNA,2020-06-19,1,1,0.0283636389019301
VALE3,1.01,60,Random Forest,2020-06-19,1,0,0.0283636389019301
VALE3,1.01,60,SVC,2020-06-19,1,1,0.0283636389019301
VALE3,1.01,60,RNA,2020-06-22,1,1,0.0255717848688812
VALE3,1.01,60,Random Forest,2020-06-22,1,1,0.0255717848688812
VALE3,1.01,60,SVC,2020-06-22,1,1,0.0255717848688812
VALE3,1.01,60,RNA,2020-06-23,1,1,0.01244446920864
VALE3,1.01,60,Random Forest,2020-06-23,1,1,0.01244446920864
VALE3,1.01,60,SVC,2020-06-23,1,0,0.01244446920864
VALE3,1.01,60,RNA,2020-06-24,1,1,0.0261261504090937
VALE3,1.01,60,Random Forest,2020-06-24,1,1,0.0261261504090937
VALE3,1.01,60,SVC,2020-06-24,1,1,0.0261261504090937
VALE3,1.01,60,RNA,2020-06-25,1,1,0.018783564572679
VALE3,1.01,60,Random Forest,2020-06-25,1,1,0.018783564572679
VALE3,1.01,60,SVC,2020-06-25,1,1,0.018783564572679
VALE3,1.01,60,RNA,2020-06-26,1,1,0.0198412966103826
VALE3,1.01,60,Random Forest,2020-06-26,1,1,0.0198412966103826
VALE3,1.01,60,SVC,2020-06-26,1,1,0.0198412966103826
VALE3,1.01,60,RNA,2020-06-29,1,1,0.0198412966103826
VALE3,1.01,60,Random Forest,2020-06-29,1,1,0.0198412966103826
VALE3,1.01,60,SVC,2020-06-29,1,1,0.0198412966103826
VALE3,1.01,60,RNA,2020-06-30,1,1,0.0117688936028408
VALE3,1.01,60,Random Forest,2020-06-30,1,1,0.0117688936028408
VALE3,1.01,60,SVC,2020-06-30,1,1,0.0117688936028408
VALE3,1.01,60,RNA,2020-07-01,1,1,0.0388331690938836
VALE3,1.01,60,Random Forest,2020-07-01,1,1,0.0388331690938836
VALE3,1.01,60,SVC,2020-07-01,1,1,0.0388331690938836
VALE3,1.01,60,RNA,2020-07-02,1,1,0.045652192486693
VALE3,1.01,60,Random Forest,2020-07-02,1,1,0.045652192486693
VALE3,1.01,60,SVC,2020-07-02,1,1,0.045652192486693
VALE3,1.01,60,RNA,2020-07-03,1,1,0.0290604466022168
VALE3,1.01,60,Random Forest,2020-07-03,1,1,0.0290604466022168
VALE3,1.01,60,SVC,2020-07-03,1,1,0.0290604466022168
VALE3,1.01,60,RNA,2020-07-06,1,1,0.0172717826757964
VALE3,1.01,60,Random Forest,2020-07-06,1,1,0.0172717826757964
VALE3,1.01,60,SVC,2020-07-06,1,1,0.0172717826757964
VALE3,1.01,60,RNA,2020-07-07,1,1,0.0407732886550897
VALE3,1.01,60,Random Forest,2020-07-07,1,1,0.0407732886550897
VALE3,1.01,60,SVC,2020-07-07,1,1,0.0407732886550897
VALE3,1.01,60,RNA,2020-07-08,1,1,0.077364385845065
VALE3,1.01,60,Random Forest,2020-07-08,1,1,0.077364385845065
VALE3,1.01,60,SVC,2020-07-08,1,1,0.077364385845065
VALE3,1.01,60,RNA,2020-07-09,1,1,0.1134111755834186
VALE3,1.01,60,Random Forest,2020-07-09,1,1,0.1134111755834186
VALE3,1.01,60,SVC,2020-07-09,1,1,0.1134111755834186
VALE3,1.01,60,RNA,2020-07-10,1,1,0.0900745044865591
VALE3,1.01,60,Random Forest,2020-07-10,1,1,0.0900745044865591
VALE3,1.01,60,SVC,2020-07-10,1,1,0.0900745044865591
VALE3,1.01,60,RNA,2020-07-13,1,0,0.0864986230069944
VALE3,1.01,60,Random Forest,2020-07-13,1,1,0.0864986230069944
VALE3,1.01,60,SVC,2020-07-13,1,1,0.0864986230069944
VALE3,1.01,60,RNA,2020-07-14,1,1,0.010112377039718
VALE3,1.01,60,Random Forest,2020-07-14,1,1,0.010112377039718
VALE3,1.01,60,SVC,2020-07-14,1,1,0.010112377039718
VALE3,1.01,60,RNA,2020-07-15,0,1,-0.0261011473856809
VALE3,1.01,60,Random Forest,2020-07-15,0,0,-0.0261011473856809
VALE3,1.01,60,SVC,2020-07-15,0,1,-0.0261011473856809
VALE3,1.01,60,RNA,2020-07-16,1,1,0.0163636528247503
VALE3,1.01,60,Random Forest,2020-07-16,1,0,0.0163636528247503
VALE3,1.01,60,SVC,2020-07-16,1,1,0.0163636528247503
VALE3,1.01,60,RNA,2020-07-17,0,1,-0.0371400507967367
VALE3,1.01,60,Random Forest,2020-07-17,0,1,-0.0371400507967367
VALE3,1.01,60,SVC,2020-07-17,0,1,-0.0371400507967367
VALE3,1.01,60,RNA,2020-07-20,0,1,-0.0304434105900401
VALE3,1.01,60,Random Forest,2020-07-20,0,0,-0.0304434105900401
VALE3,1.01,60,SVC,2020-07-20,0,1,-0.0304434105900401
VALE3,1.01,60,RNA,2020-07-21,1,1,0.0283664124093461
VALE3,1.01,60,Random Forest,2020-07-21,1,1,0.0283664124093461
VALE3,1.01,60,SVC,2020-07-21,1,1,0.0283664124093461
VALE3,1.01,60,RNA,2020-07-22,1,1,0.028881456252136
VALE3,1.01,60,Random Forest,2020-07-22,1,1,0.028881456252136
VALE3,1.01,60,SVC,2020-07-22,1,1,0.028881456252136
VALE3,1.01,60,RNA,2020-07-23,1,1,0.0747823263560174
VALE3,1.01,60,Random Forest,2020-07-23,1,1,0.0747823263560174
VALE3,1.01,60,SVC,2020-07-23,1,1,0.0747823263560174
VALE3,1.01,60,RNA,2020-07-24,1,1,0.0651438267512929
VALE3,1.01,60,Random Forest,2020-07-24,1,1,0.0651438267512929
VALE3,1.01,60,SVC,2020-07-24,1,1,0.0651438267512929
VALE3,1.01,60,RNA,2020-07-27,1,1,0.0370675424078903
VALE3,1.01,60,Random Forest,2020-07-27,1,1,0.0370675424078903
VALE3,1.01,60,SVC,2020-07-27,1,1,0.0370675424078903
VALE3,1.01,60,RNA,2020-07-28,1,1,0.0284267432500686
VALE3,1.01,60,Random Forest,2020-07-28,1,1,0.0284267432500686
VALE3,1.01,60,SVC,2020-07-28,1,1,0.0284267432500686
VALE3,1.01,60,RNA,2020-07-29,0,1,-0.0256821620514344
VALE3,1.01,60,Random Forest,2020-07-29,0,1,-0.0256821620514344
VALE3,1.01,60,SVC,2020-07-29,0,1,-0.0256821620514344
VALE3,1.01,60,RNA,2020-07-30,1,1,0.0294598940431287
VALE3,1.01,60,Random Forest,2020-07-30,1,1,0.0294598940431287
VALE3,1.01,60,SVC,2020-07-30,1,1,0.0294598940431287
VALE3,1.01,60,RNA,2020-07-31,1,1,0.0168121490875943
VALE3,1.01,60,Random Forest,2020-07-31,1,1,0.0168121490875943
VALE3,1.01,60,SVC,2020-07-31,1,1,0.0168121490875943
VALE3,1.01,60,RNA,2020-08-03,1,1,0.0438101538488577
VALE3,1.01,60,Random Forest,2020-08-03,1,1,0.0438101538488577
VALE3,1.01,60,SVC,2020-08-03,1,1,0.0438101538488577
VALE3,1.01,60,RNA,2020-08-04,1,1,0.0161550786173174
VALE3,1.01,60,Random Forest,2020-08-04,1,1,0.0161550786173174
VALE3,1.01,60,SVC,2020-08-04,1,1,0.0161550786173174
VALE3,1.01,60,RNA,2020-08-05,0,1,-0.0373682563472914
VALE3,1.01,60,Random Forest,2020-08-05,0,1,-0.0373682563472914
VALE3,1.01,60,SVC,2020-08-05,0,1,-0.0373682563472914
VALE3,1.01,60,RNA,2020-08-06,1,1,0.0232936893104436
VALE3,1.01,60,Random Forest,2020-08-06,1,1,0.0232936893104436
VALE3,1.01,60,SVC,2020-08-06,1,1,0.0232936893104436
VALE3,1.01,60,RNA,2020-08-07,1,1,0.0349258527289895
VALE3,1.01,60,Random Forest,2020-08-07,1,1,0.0349258527289895
VALE3,1.01,60,SVC,2020-08-07,1,1,0.0349258527289895
VALE3,1.01,60,RNA,2020-08-10,0,1,-0.0229335824594626
VALE3,1.01,60,Random Forest,2020-08-10,0,1,-0.0229335824594626
VALE3,1.01,60,SVC,2020-08-10,0,1,-0.0229335824594626
VALE3,1.01,60,RNA,2020-08-11,1,1,0.028252313750203
VALE3,1.01,60,Random Forest,2020-08-11,1,1,0.028252313750203
VALE3,1.01,60,SVC,2020-08-11,1,1,0.028252313750203
VALE3,1.01,60,RNA,2020-08-12,1,1,0.0374592842216223
VALE3,1.01,60,Random Forest,2020-08-12,1,1,0.0374592842216223
VALE3,1.01,60,SVC,2020-08-12,1,0,0.0374592842216223
VALE3,1.01,60,RNA,2020-08-13,1,1,0.0584921084548073
VALE3,1.01,60,Random Forest,2020-08-13,1,1,0.0584921084548073
VALE3,1.01,60,SVC,2020-08-13,1,1,0.0584921084548073
VALE3,1.01,60,RNA,2020-08-14,1,1,0.0339915698215425
VALE3,1.01,60,Random Forest,2020-08-14,1,1,0.0339915698215425
VALE3,1.01,60,SVC,2020-08-14,1,1,0.0339915698215425
VALE3,1.01,60,RNA,2020-08-17,0,1,-0.017377564125757
VALE3,1.01,60,Random Forest,2020-08-17,0,1,-0.017377564125757
VALE3,1.01,60,SVC,2020-08-17,0,1,-0.017377564125757
VALE3,1.01,60,RNA,2020-08-18,0,1,-0.0070966770956596
VALE3,1.01,60,Random Forest,2020-08-18,0,1,-0.0070966770956596
VALE3,1.01,60,SVC,2020-08-18,0,1,-0.0070966770956596
VALE3,1.01,60,RNA,2020-08-19,1,0,0.0271756553086404
VALE3,1.01,60,Random Forest,2020-08-19,1,1,0.0271756553086404
VALE3,1.01,60,SVC,2020-08-19,1,0,0.0271756553086404
VALE3,1.01,60,RNA,2020-08-20,1,1,0.0115366098587961
VALE3,1.01,60,Random Forest,2020-08-20,1,1,0.0115366098587961
VALE3,1.01,60,SVC,2020-08-20,1,1,0.0115366098587961
VALE3,1.01,60,RNA,2020-08-21,0,1,-0.03415953373041
VALE3,1.01,60,Random Forest,2020-08-21,0,1,-0.03415953373041
VALE3,1.01,60,SVC,2020-08-21,0,1,-0.03415953373041
VALE3,1.01,60,RNA,2020-08-24,0,1,-0.0270700496378446
VALE3,1.01,60,Random Forest,2020-08-24,0,1,-0.0270700496378446
VALE3,1.01,60,SVC,2020-08-24,0,1,-0.0270700496378446
VALE3,1.01,60,RNA,2020-08-25,1,1,0.0111903939392246
VALE3,1.01,60,Random Forest,2020-08-25,1,1,0.0111903939392246
VALE3,1.01,60,SVC,2020-08-25,1,0,0.0111903939392246
VALE3,1.01,60,RNA,2020-08-26,0,1,0.0011347107179746
VALE3,1.01,60,Random Forest,2020-08-26,0,1,0.0011347107179746
VALE3,1.01,60,SVC,2020-08-26,0,1,0.0011347107179746
VALE3,1.01,60,RNA,2020-08-27,1,1,0.0189604460133292
VALE3,1.01,60,Random Forest,2020-08-27,1,1,0.0189604460133292
VALE3,1.01,60,SVC,2020-08-27,1,1,0.0189604460133292
VALE3,1.01,60,RNA,2020-08-28,1,1,0.0202945786276522
VALE3,1.01,60,Random Forest,2020-08-28,1,1,0.0202945786276522
VALE3,1.01,60,SVC,2020-08-28,1,1,0.0202945786276522
VALE3,1.01,60,RNA,2020-08-31,1,1,0.0340023048827946
VALE3,1.01,60,Random Forest,2020-08-31,1,1,0.0340023048827946
VALE3,1.01,60,SVC,2020-08-31,1,1,0.0340023048827946
VALE3,1.01,60,RNA,2020-09-01,0,1,-0.0424879072901872
VALE3,1.01,60,Random Forest,2020-09-01,0,1,-0.0424879072901872
VALE3,1.01,60,SVC,2020-09-01,0,1,-0.0424879072901872
VALE3,1.01,60,RNA,2020-09-02,0,1,0.0
VALE3,1.01,60,Random Forest,2020-09-02,0,1,0.0
VALE3,1.01,60,SVC,2020-09-02,0,1,0.0
VALE3,1.01,60,RNA,2020-09-03,1,1,0.0132306167771296
VALE3,1.01,60,Random Forest,2020-09-03,1,1,0.0132306167771296
VALE3,1.01,60,SVC,2020-09-03,1,1,0.0132306167771296
VALE3,1.01,60,RNA,2020-09-04,1,1,0.0454774039525209
VALE3,1.01,60,Random Forest,2020-09-04,1,1,0.0454774039525209
VALE3,1.01,60,SVC,2020-09-04,1,1,0.0454774039525209
