ativo,target,janela,tecnica,data,target_real,target_pred,resultado_real
PETR4,1.01,60,RNA,2022-04-22,1,1,0.0216883549379307
PETR4,1.01,60,Random Forest,2022-04-22,1,1,0.0216883549379307
PETR4,1.01,60,SVC,2022-04-22,1,1,0.0216883549379307
PETR4,1.01,60,RNA,2022-04-25,1,1,0.0491531264960036
PETR4,1.01,60,Random Forest,2022-04-25,1,1,0.0491531264960036
PETR4,1.01,60,SVC,2022-04-25,1,1,0.0491531264960036
PETR4,1.01,60,RNA,2022-04-26,1,1,0.0401712770922295
PETR4,1.01,60,Random Forest,2022-04-26,1,1,0.0401712770922295
PETR4,1.01,60,SVC,2022-04-26,1,1,0.0401712770922295
PETR4,1.01,60,RNA,2022-04-27,1,1,0.0374384500151121
PETR4,1.01,60,Random Forest,2022-04-27,1,1,0.0374384500151121
PETR4,1.01,60,SVC,2022-04-27,1,1,0.0374384500151121
PETR4,1.01,60,RNA,2022-04-28,1,1,0.0461789037710276
PETR4,1.01,60,Random Forest,2022-04-28,1,1,0.0461789037710276
PETR4,1.01,60,SVC,2022-04-28,1,1,0.0461789037710276
PETR4,1.01,60,RNA,2022-04-29,1,1,0.0772290451082937
PETR4,1.01,60,Random Forest,2022-04-29,1,1,0.0772290451082937
PETR4,1.01,60,SVC,2022-04-29,1,1,0.0772290451082937
PETR4,1.01,60,RNA,2022-05-02,1,1,0.0996015644357295
PETR4,1.01,60,Random Forest,2022-05-02,1,1,0.0996015644357295
PETR4,1.01,60,SVC,2022-05-02,1,1,0.0996015644357295
PETR4,1.01,60,RNA,2022-05-03,1,1,0.0823529103242595
PETR4,1.01,60,Random Forest,2022-05-03,1,1,0.0823529103242595
PETR4,1.01,60,SVC,2022-05-03,1,1,0.0823529103242595
PETR4,1.01,60,RNA,2022-05-04,1,1,0.0411820418264301
PETR4,1.01,60,Random Forest,2022-05-04,1,1,0.0411820418264301
PETR4,1.01,60,SVC,2022-05-04,1,1,0.0411820418264301
PETR4,1.01,60,RNA,2022-05-05,1,1,0.0373202538820542
PETR4,1.01,60,Random Forest,2022-05-05,1,1,0.0373202538820542
PETR4,1.01,60,SVC,2022-05-05,1,1,0.0373202538820542
PETR4,1.01,60,RNA,2022-05-06,1,1,0.0422018613163204
PETR4,1.01,60,Random Forest,2022-05-06,1,1,0.0422018613163204
PETR4,1.01,60,SVC,2022-05-06,1,1,0.0422018613163204
PETR4,1.01,60,RNA,2022-05-09,1,1,0.0642768700042513
PETR4,1.01,60,Random Forest,2022-05-09,1,1,0.0642768700042513
PETR4,1.01,60,SVC,2022-05-09,1,1,0.0642768700042513
PETR4,1.01,60,RNA,2022-05-10,1,1,0.0640634818439154
PETR4,1.01,60,Random Forest,2022-05-10,1,1,0.0640634818439154
PETR4,1.01,60,SVC,2022-05-10,1,1,0.0640634818439154
PETR4,1.01,60,RNA,2022-05-11,1,1,0.056524349180087
PETR4,1.01,60,Random Forest,2022-05-11,1,1,0.056524349180087
PETR4,1.01,60,SVC,2022-05-11,1,1,0.056524349180087
PETR4,1.01,60,RNA,2022-05-12,1,1,0.0304985636578332
PETR4,1.01,60,Random Forest,2022-05-12,1,0,0.0304985636578332
PETR4,1.01,60,SVC,2022-05-12,1,1,0.0304985636578332
PETR4,1.01,60,RNA,2022-05-13,1,1,0.0259854022935739
PETR4,1.01,60,Random Forest,2022-05-13,1,1,0.0259854022935739
PETR4,1.01,60,SVC,2022-05-13,1,1,0.0259854022935739
PETR4,1.01,60,RNA,2022-05-16,0,1,-0.0048571406257958
PETR4,1.01,60,Random Forest,2022-05-16,0,1,-0.0048571406257958
PETR4,1.01,60,SVC,2022-05-16,0,1,-0.0048571406257958
PETR4,1.01,60,RNA,2022-05-17,1,1,0.0623171632250512
PETR4,1.01,60,Random Forest,2022-05-17,1,1,0.0623171632250512
PETR4,1.01,60,SVC,2022-05-17,1,1,0.0623171632250512
PETR4,1.01,60,RNA,2022-05-18,1,1,0.0832339327988547
PETR4,1.01,60,Random Forest,2022-05-18,1,1,0.0832339327988547
PETR4,1.01,60,SVC,2022-05-18,1,1,0.0832339327988547
PETR4,1.01,60,RNA,2022-05-19,1,1,0.0497253738922032
PETR4,1.01,60,Random Forest,2022-05-19,1,1,0.0497253738922032
PETR4,1.01,60,SVC,2022-05-19,1,1,0.0497253738922032
PETR4,1.01,60,RNA,2022-05-20,1,1,0.0321205244427944
PETR4,1.01,60,Random Forest,2022-05-20,1,1,0.0321205244427944
PETR4,1.01,60,SVC,2022-05-20,1,1,0.0321205244427944
PETR4,1.01,60,RNA,2022-05-23,1,1,0.0435897979611328
