ativo,target,janela,tecnica,data,target_real,target_pred,resultado_real
VALE3,1.01,15,RNA,2005-02-18,1,1,0.1712158808933002
VALE3,1.01,15,Random Forest,2005-02-18,1,1,0.1712158808933002
VALE3,1.01,15,SVC,2005-02-18,1,1,0.1712158808933002
VALE3,1.01,15,RNA,2005-02-21,1,1,0.09070034443168762
VALE3,1.01,15,Random Forest,2005-02-21,1,1,0.09070034443168762
VALE3,1.01,15,SVC,2005-02-21,1,1,0.09070034443168762
VALE3,1.01,15,RNA,2005-02-22,1,0,0.09826589595375723
VALE3,1.01,15,Random Forest,2005-02-22,1,1,0.09826589595375723
VALE3,1.01,15,SVC,2005-02-22,1,1,0.09826589595375723
VALE3,1.01,15,RNA,2005-02-23,1,1,0.060267857142856984
VALE3,1.01,15,Random Forest,2005-02-23,1,1,0.060267857142856984
VALE3,1.01,15,SVC,2005-02-23,1,1,0.060267857142856984
VALE3,1.01,15,RNA,2005-02-24,0,1,-0.06560846560846556
VALE3,1.01,15,Random Forest,2005-02-24,0,1,-0.06560846560846556
VALE3,1.01,15,SVC,2005-02-24,0,1,-0.06560846560846556
VALE3,1.01,15,RNA,2005-02-25,0,1,-0.015135135135135203
VALE3,1.01,15,Random Forest,2005-02-25,0,1,-0.015135135135135203
VALE3,1.01,15,SVC,2005-02-25,0,1,-0.015135135135135203
VALE3,1.01,15,RNA,2005-02-28,1,1,0.058558558558558405
VALE3,1.01,15,Random Forest,2005-02-28,1,1,0.058558558558558405
VALE3,1.01,15,SVC,2005-02-28,1,1,0.058558558558558405
VALE3,1.01,15,RNA,2005-03-01,1,1,0.10660486674391656
VALE3,1.01,15,Random Forest,2005-03-01,1,1,0.10660486674391656
VALE3,1.01,15,SVC,2005-03-01,1,1,0.10660486674391656
VALE3,1.01,15,RNA,2005-03-02,1,1,0.04371584699453557
VALE3,1.01,15,Random Forest,2005-03-02,1,1,0.04371584699453557
VALE3,1.01,15,SVC,2005-03-02,1,1,0.04371584699453557
VALE3,1.01,15,RNA,2005-03-03,1,1,0.036916395222584164
VALE3,1.01,15,Random Forest,2005-03-03,1,1,0.036916395222584164
VALE3,1.01,15,SVC,2005-03-03,1,1,0.036916395222584164
VALE3,1.01,15,RNA,2005-03-04,0,1,-0.06315789473684208
VALE3,1.01,15,Random Forest,2005-03-04,0,1,-0.06315789473684208
VALE3,1.01,15,SVC,2005-03-04,0,1,-0.06315789473684208
VALE3,1.01,15,RNA,2005-03-07,0,1,-0.04305705059203435
VALE3,1.01,15,Random Forest,2005-03-07,0,1,-0.04305705059203435
VALE3,1.01,15,SVC,2005-03-07,0,1,-0.04305705059203435
VALE3,1.01,15,RNA,2005-03-08,1,1,0.019715224534501585
VALE3,1.01,15,Random Forest,2005-03-08,1,1,0.019715224534501585
VALE3,1.01,15,SVC,2005-03-08,1,1,0.019715224534501585
VALE3,1.01,15,RNA,2005-03-09,0,1,-0.049234135667396206
VALE3,1.01,15,Random Forest,2005-03-09,0,1,-0.049234135667396206
VALE3,1.01,15,SVC,2005-03-09,0,1,-0.049234135667396206
VALE3,1.01,15,RNA,2005-03-10,0,1,-0.04966887417218557
VALE3,1.01,15,Random Forest,2005-03-10,0,1,-0.04966887417218557
VALE3,1.01,15,SVC,2005-03-10,0,1,-0.04966887417218557
VALE3,1.01,15,RNA,2005-03-11,1,1,0.015748031496062964
VALE3,1.01,15,Random Forest,2005-03-11,1,1,0.015748031496062964
VALE3,1.01,15,SVC,2005-03-11,1,1,0.015748031496062964
VALE3,1.01,15,RNA,2005-03-14,1,1,0.019187358916478603
VALE3,1.01,15,Random Forest,2005-03-14,1,1,0.019187358916478603
VALE3,1.01,15,SVC,2005-03-14,1,1,0.019187358916478603
VALE3,1.01,15,RNA,2005-03-15,1,1,0.04362801377726733
VALE3,1.01,15,Random Forest,2005-03-15,1,1,0.04362801377726733
VALE3,1.01,15,SVC,2005-03-15,1,1,0.04362801377726733
VALE3,1.01,15,RNA,2005-03-16,1,0,0.06191588785046731
VALE3,1.01,15,Random Forest,2005-03-16,1,1,0.06191588785046731
VALE3,1.01,15,SVC,2005-03-16,1,1,0.06191588785046731
VALE3,1.01,15,RNA,2005-03-17,0,0,-0.08879023307436174
VALE3,1.01,15,Random Forest,2005-03-17,0,0,-0.08879023307436174
VALE3,1.01,15,SVC,2005-03-17,0,0,-0.08879023307436174
VALE3,1.01,20,RNA,2005-02-25,0,1,-0.015135135135135203
VALE3,1.01,20,Random Forest,2005-02-25,0,1,-0.015135135135135203
VALE3,1.01,20,SVC,2005-02-25,0,1,-0.015135135135135203
VALE3,1.01,20,RNA,2005-02-28,1,1,0.058558558558558405
VALE3,1.01,20,Random Forest,2005-02-28,1,1,0.058558558558558405
VALE3,1.01,20,SVC,2005-02-28,1,1,0.058558558558558405
VALE3,1.01,20,RNA,2005-03-01,1,1,0.10660486674391656
VALE3,1.01,20,Random Forest,2005-03-01,1,1,0.10660486674391656
VALE3,1.01,20,SVC,2005-03-01,1,1,0.10660486674391656
VALE3,1.01,20,RNA,2005-03-02,1,1,0.04371584699453557
VALE3,1.01,20,Random Forest,2005-03-02,1,1,0.04371584699453557
VALE3,1.01,20,SVC,2005-03-02,1,1,0.04371584699453557
VALE3,1.01,20,RNA,2005-03-03,1,1,0.036916395222584164
VALE3,1.01,20,Random Forest,2005-03-03,1,1,0.036916395222584164
VALE3,1.01,20,SVC,2005-03-03,1,1,0.036916395222584164
VALE3,1.01,20,RNA,2005-03-04,0,0,-0.06315789473684208
VALE3,1.01,20,Random Forest,2005-03-04,0,1,-0.06315789473684208
VALE3,1.01,20,SVC,2005-03-04,0,0,-0.06315789473684208
VALE3,1.01,20,RNA,2005-03-07,0,1,-0.04305705059203435
VALE3,1.01,20,Random Forest,2005-03-07,0,1,-0.04305705059203435
VALE3,1.01,20,SVC,2005-03-07,0,1,-0.04305705059203435
VALE3,1.01,20,RNA,2005-03-08,1,0,0.019715224534501585
VALE3,1.01,20,Random Forest,2005-03-08,1,1,0.019715224534501585
VALE3,1.01,20,SVC,2005-03-08,1,1,0.019715224534501585
VALE3,1.01,20,RNA,2005-03-09,0,1,-0.049234135667396206
VALE3,1.01,20,Random Forest,2005-03-09,0,1,-0.049234135667396206
VALE3,1.01,20,SVC,2005-03-09,0,1,-0.049234135667396206
VALE3,1.01,20,RNA,2005-03-10,0,1,-0.04966887417218557
VALE3,1.01,20,Random Forest,2005-03-10,0,1,-0.04966887417218557
